Feature_Name,Importance_Score(Total),Average
ICU_97,23.46421007337034,1.9553508394475283
INTUBATED_97,23.46421007337034,1.9553508394475283
INTUBATED_2,23.161639028842476,1.930136585736873
AGE,14.425525671062747,1.2021271392552288
TYPE_OF_PATIENT,11.591325269479691,0.965943772456641
PNEUMONIA,10.828988746022482,0.9024157288352068
CHRONIC_KIDNEY_FAILURE,8.007899398801035,0.6673249499000863
PREGNANCY_2,6.608862992339448,0.550738582694954
CONTACT_WITH_COVID-19_CASE,5.238135706930235,0.43651130891085294
IMMUNOSUPPRESSED,3.799075991811436,0.31658966598428634
OTHER_CHRONIC_DISEASE,3.260162377374455,0.2716801981145379
PREGNANCY_97,3.2554418764360222,0.27128682303633517
SEX,3.2554418764360222,0.27128682303633517
OBESITY,2.638171494224913,0.21984762451874273
ICU_2,2.6029367475524925,0.21691139562937437
DAYS_FROM_SYMPTOM_TO_HOSPITALIZATION,2.511024925184026,0.20925207709866886
DIABETIC,2.3534915271829866,0.19612429393191555
ASTHMA,1.7823583443881708,0.14852986203234755
SMOKER,1.7759761546416737,0.14799801288680614
HYPERTENSION,1.6422267184208277,0.13685222653506898
COPD,1.0723959532728606,0.08936632943940505
CARDIOVASCULAR,0.851998857010768,0.07099990475089733
