Feature_Name,Importance_Score(Total),Average
ICU_97,249.4461720036467204,62.3615430009
AGE,209.4421699621053743,52.3605424905
INTUBATED_97,198.6526922832286197,49.6631730708 
TYPE_OF_PATIENT,195.4506807349637140,48.8626701837 
INTUBATED_2,154.3417394960433831,38.585434874
DAYS_FROM_SYMPTOM_TO_HOSPITALIZATION,86.8392126565178580,21.7098031641
PNEUMONIA,85.5863719442291398,21.3965929861
ICU_2,42.3872769577776435,10.5968192394 
CHRONIC_KIDNEY_FAILURE,38.8179224945908711,9.70448062365
PREGNANCY_2,29.8844670643809656,7.4711167661
CONTACT_WITH_COVID-19_CASE,27.8068575301136417,6.95171438253
DIABETIC,20.1729483040387875,6.95171438253
IMMUNOSUPPRESSED,19.7128255811795728,4.92820639529 
OBESITY,19.3557442965410360,4.83893607414
HYPERTENSION,19.3101510045714751,4.82753775114
OTHER_CHRONIC_DISEASE,18.8396548368294742,4.70991370921 
SEX,15.5601893973437551,3.89004734934
PREGNANCY_97,15.3875418650942744,3.84688546627 
SMOKER,14.2783748685902454,3.56959371715
ASTHMA,10.9930789295535196,2.74826973239
CARDIOVASCULAR,9.0160730284775701,2.25401825712
COPD,8.9675275842995639,2.24188189607
