Dataset,Precision,Recall,Accuracy,F1,Runtime,dtc__ccp_alpha,dtc__class_weight,dtc__criterion,dtc__max_depth,dtc__max_features,dtc__max_leaf_nodes,dtc__min_impurity_decrease,dtc__min_samples_leaf,dtc__min_samples_split,dtc__min_weight_fraction_leaf,dtc__random_state,dtc__splitter
fc_valid_lb_none,0.9308745686491888,0.9433918346445697,0.9308745686491888,0.9015281268767934,25.75821018218994,0.0,None,gini,15,None,None,0.0,1,2,0.0,42,random
fc_valid_lb_none,0.9316460834673453,0.943161221359855,0.9316460834673453,0.9026375483698795,25.11875057220459,0.0,None,entropy,15,None,None,0.0,1,2,0.0,42,random
fc_valid_lb_none,0.9304061333791359,0.9413900656394023,0.9304061333791359,0.9007371773457161,25.609741687774658,0.0,None,entropy,15,None,None,0.0,1,2,0.0,42,random
fc_valid_lb_none,0.932281424602803,0.9475830745701441,0.932281424602803,0.9040702173288232,24.498494148254395,0.0,None,entropy,15,None,None,0.0,1,2,0.0,42,random
fc_valid_lb_none,0.9318990819958783,0.9396207120944501,0.9318990819958783,0.9026165386676193,25.68301558494568,0.0,None,entropy,15,None,None,0.0,1,2,0.0,42,random
fc_valid_lb_std,0.9300546448087431,0.9343314211090901,0.9300546448087431,0.8994298029003727,23.72932004928589,0.0,None,entropy,15,None,None,0.0,1,2,0.0,42,random
fc_valid_lb_std,0.9294703641246643,0.9326407975031443,0.9294703641246643,0.898628784308445,23.244218111038208,0.0,None,entropy,15,None,None,0.0,1,2,0.0,42,random
fc_valid_lb_std,0.9296689569019363,0.9387517466231952,0.9296689569019363,0.8994956933101264,23.712562084197998,0.0,None,entropy,15,None,None,0.0,1,2,0.0,42,random
fc_valid_lb_std,0.929514593413454,0.944214587885268,0.929514593413454,0.8999512605786697,23.05016851425171,0.0,None,gini,15,auto,None,0.0,1,2,0.0,42,random
fc_valid_lb_std,0.9286773775508611,0.938353928654698,0.9286773775508611,0.8980675681706609,23.35123610496521,0.0,None,gini,15,None,None,0.0,1,2,0.0,42,random
fc_valid_lb_mm_0-1,0.9279473257192785,0.9376045344731463,0.9279473257192785,0.8973321476211649,22.43702983856201,0.0,None,gini,15,auto,None,0.0,1,2,0.0,42,random
fc_valid_lb_mm_0-1,0.9269864552774484,0.9354085966304195,0.9269864552774484,0.8954763766335306,21.936918020248413,0.0,None,entropy,15,auto,None,0.0,1,2,0.0,42,random
fc_valid_lb_mm_0-1,0.9285803529595502,0.9387964387265184,0.9285803529595502,0.8980447238757719,22.50104594230652,0.0,None,entropy,15,auto,None,0.0,1,2,0.0,42,random
fc_valid_lb_mm_0-1,0.9277653779518956,0.9412257044545708,0.9277653779518956,0.8974108884553998,22.171972513198853,0.0,None,entropy,15,auto,None,0.0,1,2,0.0,42,random
fc_valid_lb_mm_0-1,0.9292962407893094,0.9356676003734827,0.9292962407893094,0.8984825050994105,22.352011919021606,0.0,None,entropy,15,None,None,0.0,1,2,0.0,42,random
fc_valid_lb_mm_0-10,0.926668540554046,0.932601005399367,0.926668540554046,0.8951036454610436,22.658081531524658,0.0,None,entropy,15,None,None,0.0,1,2,0.0,42,random
fc_valid_lb_mm_0-10,0.9296363948605061,0.9487322893363161,0.9296363948605061,0.900329507507906,22.68508505821228,0.0,None,entropy,15,auto,None,0.0,1,2,0.0,42,random
fc_valid_lb_mm_0-10,0.9292104482505582,0.9384672584468094,0.9292104482505582,0.8990650044523596,22.276995182037354,0.0,None,entropy,15,None,None,0.0,1,2,0.0,42,random
fc_valid_lb_mm_0-10,0.9255564921482314,0.9341397849462365,0.9255564921482314,0.8942079460502673,22.748101234436035,0.0,None,gini,15,auto,None,0.0,1,2,0.0,42,random
fc_valid_lb_mm_0-10,0.9292404233398894,0.9414009774261113,0.9292404233398894,0.8992330776925642,21.747143268585205,0.0,None,entropy,15,auto,None,0.0,1,2,0.0,42,random
fc_valid_lb_mm_0-100,0.9285145329314196,0.9408679508006498,0.9285145329314196,0.8985571488729803,22.723536014556885,0.0,None,entropy,15,auto,None,0.0,1,2,0.0,42,random
fc_valid_lb_mm_0-100,0.9277772572535057,0.9334853844721653,0.9277772572535057,0.8966133899631161,23.039539337158203,0.0,None,entropy,15,None,None,0.0,1,2,0.0,42,random
fc_valid_lb_mm_0-100,0.9315158328649054,0.9374708787624639,0.9315158328649054,0.901716488145924,22.590648412704468,0.0,None,entropy,15,None,None,0.0,1,2,0.0,42,random
fc_valid_lb_mm_0-100,0.9295326110712168,0.9413431172208806,0.9295326110712168,0.8998046701589274,23.353803396224976,0.0,None,entropy,15,None,None,0.0,1,2,0.0,42,random
fc_valid_lb_mm_0-100,0.9305321341577666,0.9417575249277793,0.9305321341577666,0.9008535199340361,23.109098196029663,0.0,None,gini,15,auto,None,0.0,1,2,0.0,42,random
fc_valid_lb_mm_0-1000,0.9342345576872044,0.9453691649618746,0.9342345576872044,0.9061253592994497,25.30180811882019,0.0,None,entropy,15,None,None,0.0,1,2,0.0,42,random
fc_valid_lb_mm_0-1000,0.9322147755854463,0.9456380208333334,0.9322147755854463,0.9035970583661045,24.36586093902588,0.0,None,entropy,15,None,None,0.0,1,2,0.0,42,random
fc_valid_lb_mm_0-1000,0.9330970522108418,0.9424774649196171,0.9330970522108418,0.9044656990613783,25.915675163269043,0.0,None,entropy,15,None,None,0.0,1,2,0.0,42,random
fc_valid_lb_mm_0-1000,0.93345511889706,0.9495453485660993,0.93345511889706,0.9052636258557838,25.881216764450073,0.0,None,entropy,15,None,None,0.0,1,2,0.0,42,random
fc_valid_lb_mm_0-1000,0.93194027986007,0.9448467966573816,0.93194027986007,0.9032888020948914,24.963754415512085,0.0,None,entropy,15,None,None,0.0,1,2,0.0,42,random
lr_valid_lb_none,0.9253388231257506,0.9469847837435471,0.9253388231257506,0.9183964298438057,58.14229393005371,0.0,None,gini,15,None,None,0.0,1,2,0.0,42,best
lr_valid_lb_none,0.9234813535733615,0.9562369175905109,0.9234813535733615,0.9172081090878671,54.932114601135254,0.0,None,entropy,15,None,None,0.0,1,2,0.0,42,best
lr_valid_lb_none,0.9231741283268001,0.9376891440987041,0.9231741283268001,0.9153765304093402,54.21889662742615,0.0,None,entropy,25,None,None,0.0,1,2,0.0,42,best
lr_valid_lb_none,0.9234999914064246,0.9575725859596077,0.9234999914064246,0.9173536838978015,54.86675262451172,0.0,None,gini,15,None,None,0.0,1,2,0.0,42,best
lr_valid_lb_none,0.922949297663463,0.9576327005036808,0.922949297663463,0.91687764886997,54.19860577583313,0.0,None,gini,15,None,None,0.0,1,2,0.0,42,best
lr_valid_lb_std,0.9239111752775773,0.924035424297037,0.9239111752775773,0.9150450969103819,50.90327858924866,0.0,None,entropy,35,None,None,0.0,1,2,0.0,42,best
