Dataset,Precision,Recall,Accuracy,F1,Runtime,knc__algorithm,knc__leaf_size,knc__metric,knc__metric_params,knc__n_neighbors,knc__p,knc__weights
fc_valid_lb_none,0.9256373827106524,0.9237559819727733,0.9256373827106524,0.893031194556112,719.7105152606964,auto,30,minkowski,None,15,2,uniform
fc_valid_lb_none,0.926720369676533,0.923249299719888,0.926720369676533,0.8939113140170862,703.313236951828,auto,30,minkowski,None,15,2,uniform
fc_valid_lb_none,0.9249843945068664,0.9227908706363595,0.9249843945068664,0.8920042236750466,702.3044772148132,auto,30,minkowski,None,15,2,uniform
fc_valid_lb_std,0.9314756451461915,0.9421199442119944,0.9314756451461915,0.9022305329237345,678.6260800361633,auto,30,minkowski,None,15,2,uniform
fc_valid_lb_std,0.9297377458632532,0.943153411721137,0.9297377458632532,0.9005281884682534,692.5756249427795,auto,30,minkowski,None,15,2,uniform
fc_valid_lb_std,0.9325402401136559,0.9434548659430374,0.9325402401136559,0.9039756439031978,697.1774418354034,auto,30,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-1,0.9300782286900988,0.943903915087752,0.9300782286900988,0.9005551854319344,702.1444163322449,auto,30,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-1,0.929433089568098,0.9451504391702485,0.929433089568098,0.899590892920669,726.4947543144226,auto,30,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-1,0.931802920277973,0.9452258965999069,0.931802920277973,0.9028584139695252,713.639749288559,auto,30,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-10,0.9312552706374738,0.9396519635213103,0.9312552706374738,0.9017235220575103,706.2409799098969,auto,30,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-10,0.9311152764761013,0.9414822033505035,0.9311152764761013,0.901969501622727,705.6724770069122,auto,30,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-10,0.9317305440636953,0.9471482359503556,0.9317305440636953,0.9030914127423824,691.9550678730011,auto,30,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-100,0.9288101708680848,0.9280414391712166,0.9288101708680848,0.8971848777406839,713.5755300521851,auto,30,minkowski,None,15,2,uniform
