Dataset,Precision,Recall,Accuracy,F1,Runtime,lgr__C,lgr__class_weight,lgr__dual,lgr__fit_intercept,lgr__intercept_scaling,lgr__l1_ratio,lgr__max_iter,lgr__multi_class,lgr__penalty,lgr__random_state,lgr__solver,lgr__tol,lgr__verbose,lgr__warm_start
fc_valid_lb_none,0.9240494474620715,0.9064400798625621,0.9240494474620715,0.8891824185834661,9253.245478153229,0.01,None,False,True,1,None,100,multinomial,l2,42,sag,0.0001,0,True
fc_valid_lb_none,0.9234624572579512,0.9064583819072045,0.9234624572579512,0.888031064412974,9329.808730125427,0.001,None,False,True,1,None,75,multinomial,none,42,sag,0.001,0,True
fc_valid_lb_none,0.9261219900683969,0.9094675107056414,0.9261219900683969,0.8920084914058756,9429.61018705368,0.001,None,False,True,1,None,75,auto,none,42,lbfgs,0.01,0,True
fc_valid_lb_none,0.9268779947246024,0.9120022277917015,0.9268779947246024,0.8934864158235761,9349.721683740616,0.005,None,False,True,1,None,50,multinomial,l2,42,sag,0.01,0,True
fc_valid_lb_std,0.9245713214854608,0.905499720826354,0.9245713214854608,0.8896050466264399,4365.111558198929,0.01,None,False,True,1,None,50,multinomial,l2,42,sag,0.01,0,True
fc_valid_lb_std,0.9258252912333302,0.9109104449823124,0.9258252912333302,0.8917748917748918,5463.980788230896,0.01,None,False,True,1,None,50,multinomial,l2,42,lbfgs,0.01,0,True
fc_valid_lb_std,0.9236557796790108,0.9070837594124755,0.9236557796790108,0.8886612021857924,7084.598163843155,0.001,None,False,True,1,None,75,multinomial,none,42,sag,0.001,0,True
fc_valid_lb_std,0.9260508400474674,0.90930265057996,0.9260508400474674,0.8918128654970761,5141.294590711594,0.01,None,False,True,1,None,50,multinomial,l2,42,sag,0.01,0,True
fc_valid_lb_mm_0-1,0.9241601099038341,0.9088235294117647,0.9241601099038341,0.8890664961636828,5893.854145288467,0.001,None,False,True,1,None,50,multinomial,none,42,sag,0.01,0,True
fc_valid_lb_mm_0-1,0.9243455988005248,0.9073781168589505,0.9243455988005248,0.8895425730834131,6003.425274133682,0.001,None,False,True,1,None,50,multinomial,none,42,lbfgs,0.01,0,True
fc_valid_lb_mm_0-1,0.9270683733999375,0.9112119248217757,0.9270683733999375,0.8939146230699364,5959.668824911118,0.001,None,False,True,1,None,50,multinomial,none,42,sag,0.01,0,True
fc_valid_lb_mm_0-1,0.9253239656518345,0.908073317475864,0.9253239656518345,0.8906067744665279,5974.26026558876,0.001,None,False,True,1,None,75,auto,none,42,lbfgs,0.01,0,True
fc_valid_lb_mm_0-10,0.9254993279779952,0.9098330068103367,0.9254993279779952,0.8911072024122256,5175.543881893158,0.001,None,False,True,1,None,50,multinomial,none,42,sag,0.001,0,True
fc_valid_lb_mm_0-10,0.9263111860806548,0.9104484576975127,0.9263111860806548,0.8921304129132562,5235.24724149704,0.01,None,False,True,1,None,50,multinomial,l2,42,saga,0.01,0,True
fc_valid_lb_mm_0-10,0.9238718136834054,0.9074902179988821,0.9238718136834054,0.8887570995187154,5079.668901443481,0.001,None,False,True,1,None,50,multinomial,none,42,saga,0.01,0,True
fc_valid_lb_mm_0-10,0.923974783097185,0.9081999346618752,0.923974783097185,0.8887468030690536,5233.296565055847,0.01,None,False,True,1,None,50,multinomial,l2,42,newton-cg,0.01,0,True
fc_valid_lb_mm_0-100,0.9270260989010989,0.9095858538855282,0.9270260989010989,0.8931892435285247,8902.123376369476,0.001,None,False,True,1,None,50,multinomial,none,42,sag,0.01,0,True
fc_valid_lb_mm_0-100,0.9243034732633684,0.9052924791086351,0.9243034732633684,0.8894565192601546,8912.593359231949,0.01,None,False,True,1,None,50,multinomial,l2,42,sag,0.01,0,True
fc_valid_lb_mm_0-100,0.9259033698741372,0.9114224539191956,0.9259033698741372,0.89193067164689,8927.516828775406,0.001,None,False,True,1,None,50,multinomial,l2,42,saga,0.01,0,True
fc_valid_lb_mm_0-100,0.926634718948535,0.9130799329234209,0.926634718948535,0.8929482507288629,9046.92139005661,0.005,None,False,True,1,None,50,multinomial,l2,42,sag,0.01,0,True
fc_valid_lb_mm_0-1000,0.9260820685778527,0.9157311221875437,0.9260820685778527,0.8925312145289442,13431.308836698532,0.001,None,False,True,1,None,50,auto,none,42,newton-cg,0.01,0,True
fc_valid_lb_mm_0-1000,0.9270745494862426,0.9125861105939304,0.9270745494862426,0.8935782325327013,13293.49121928215,0.001,None,False,True,1,None,50,multinomial,none,42,newton-cg,0.01,0,True
fc_valid_lb_mm_0-1000,0.9282948157401624,0.9141127154168608,0.9282948157401624,0.8952650305629049,13187.270992040634,0.001,None,False,True,1,None,50,auto,none,42,newton-cg,0.01,0,True
fc_valid_lb_mm_0-1000,0.9296119915684284,0.9185219614222635,0.9296119915684284,0.8976199127906975,13359.587904691696,0.005,None,False,True,1,None,50,auto,l2,42,liblinear,0.0001,0,True
lr_valid_lb_none,0.9029015366125848,0.9201047425080011,0.9029015366125848,0.8934763568556171,20205.429086446762,0.005,None,False,True,1,None,50,auto,l2,42,liblinear,0.01,0,True
lr_valid_lb_none,0.9006815801672189,0.9169084368109551,0.9006815801672189,0.8912409994171947,19620.109153032303,0.01,None,False,True,1,None,75,multinomial,l2,42,lbfgs,0.01,0,True
lr_valid_lb_none,0.9007114746773445,0.9173920629689226,0.9007114746773445,0.8911907340270258,19770.726132154465,0.001,None,False,True,1,None,50,multinomial,none,42,sag,0.01,0,True
lr_valid_lb_none,0.9007037352099606,0.9151852354457864,0.9007037352099606,0.8909523270297814,19627.936166524887,0.005,None,False,True,1,None,50,multinomial,l2,42,sag,0.01,0,True
lr_valid_lb_std,0.8994025359982807,0.9186008182576154,0.8994025359982807,0.8900725209484086,9935.36565065384,0.005,None,False,True,1,None,50,auto,l2,42,sag,0.01,0,True
lr_valid_lb_std,0.8981110376848411,0.91275141800724,0.8981110376848411,0.8881814414346533,11077.180463314056,0.005,None,False,True,1,None,50,auto,l2,42,sag,0.01,0,True
lr_valid_lb_std,0.8995944599099563,0.9158610535288761,0.8995944599099563,0.8899975525726228,10488.849016904831,0.005,None,False,True,1,None,50,auto,l2,42,sag,0.01,0,True
lr_valid_lb_std,0.901004550528033,0.9169117078077845,0.901004550528033,0.8915578796884993,12589.337057352066,0.001,None,False,True,1,None,50,multinomial,l2,42,sag,0.01,0,True
lr_valid_lb_mm_0-1,0.8987626546681665,0.9107502322700527,0.8987626546681665,0.8886643499282314,11205.67683005333,0.001,None,False,True,1,None,50,multinomial,none,42,saga,0.001,0,True
lr_valid_lb_mm_0-1,0.9006142875553074,0.9162572099978638,0.9006142875553074,0.8907916847610596,11171.22956252098,0.001,None,False,True,1,None,50,auto,none,42,saga,0.01,0,True
lr_valid_lb_mm_0-1,0.9007596892570496,0.9140908739664632,0.9007596892570496,0.8911342341918169,11458.481626749039,0.001,None,False,True,1,None,50,auto,none,42,sag,0.01,0,True
lr_valid_lb_mm_0-1,0.898600286988426,0.9129036009147642,0.898600286988426,0.8886792630814364,11574.846066236496,0.001,None,False,True,1,None,50,multinomial,none,42,sag,0.01,0,True
lr_valid_lb_mm_0-10,0.9007854662954178,0.9174995633357269,0.9007854662954178,0.891184482124848,11192.751536369324,0.001,None,False,True,1,None,50,auto,l2,42,saga,0.01,0,True
lr_valid_lb_mm_0-10,0.8978191219797116,0.9165018037937857,0.8978191219797116,0.8881975902708595,11246.019232034683,0.001,None,False,True,1,None,50,auto,l2,42,liblinear,0.01,0,True
lr_valid_lb_mm_0-10,0.9020235754698352,0.9201478957760657,0.9020235754698352,0.8928229305584252,11165.399440288544,0.001,None,False,True,1,None,50,auto,l2,42,liblinear,0.01,0,True
lr_valid_lb_mm_0-10,0.8990325598963028,0.9140653690782226,0.8990325598963028,0.8893966749416987,11305.35212802887,0.005,None,False,True,1,None,50,auto,l2,42,liblinear,0.001,0,True
lr_valid_lb_mm_0-100,0.8997378711701259,0.914277956634731,0.8997378711701259,0.8898914582350165,18597.27752804756,0.001,None,False,True,1,None,50,auto,none,42,lbfgs,0.01,0,True
lr_valid_lb_mm_0-100,0.8993357223267765,0.9148622715025103,0.8993357223267765,0.8895988841136997,18821.367255926132,0.01,None,False,True,1,None,50,auto,l2,42,lbfgs,0.01,0,True
lr_valid_lb_mm_0-100,0.9004466586497165,0.9181876369843086,0.9004466586497165,0.8909361237625626,18523.280469179153,0.001,None,False,True,1,None,50,auto,l2,42,sag,0.01,0,True
lr_valid_lb_mm_0-100,0.9007472300953363,0.9142414860681115,0.9007472300953363,0.8910345868064723,18722.033195257187,0.001,None,False,True,1,None,50,auto,none,42,newton-cg,0.01,0,True
