Dataset,Precision,Recall,Accuracy,F1,Runtime,mlp__activation,mlp__alpha,mlp__batch_size,mlp__beta_1,mlp__beta_2,mlp__early_stopping,mlp__epsilon,mlp__hidden_layer_sizes,mlp__learning_rate,mlp__learning_rate_init,mlp__max_fun,mlp__max_iter,mlp__momentum,mlp__n_iter_no_change,mlp__nesterovs_momentum,mlp__power_t,mlp__random_state,mlp__shuffle,mlp__solver,mlp__tol,mlp__validation_fraction,mlp__verbose,mlp__warm_start
fc_valid_lb_none,0.9335611415375493,0.9624404459040659,0.9335611415375493,0.9071764911056854,455.75197410583496,tanh,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_none,0.9340298927048681,0.9519315698944726,0.9340298927048681,0.9065031652574261,455.35498905181885,tanh,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_none,0.9334821916524835,0.9532144686001582,0.9334821916524835,0.9057772272847916,440.2093722820282,tanh,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_none,0.9338131967648253,0.9486833534939983,0.9338131967648253,0.9058439394949024,463.305371761322,tanh,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_std,0.9340523834795367,0.9512773977383778,0.9340523834795367,0.9063379813341019,363.5956470966339,tanh,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_std,0.9343916830570385,0.9544401186503523,0.9343916830570385,0.907400471479874,345.32255959510803,tanh,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_std,0.9321057070565083,0.9493210135797284,0.9321057070565083,0.9034707880887348,338.02705430984497,logistic,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_std,0.9331116211532156,0.9547213802751224,0.9331116211532156,0.9052882914750618,397.0204563140869,logistic,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-1,0.9328587708206497,0.9478620177352709,0.9328587708206497,0.9047038752132586,368.4840931892395,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-1,0.9328993177524862,0.9549310216256525,0.9328993177524862,0.9050711193568336,325.86432361602783,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-1,0.9339543156712227,0.9520999814160936,0.9339543156712227,0.9063889073177205,342.614853143692,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-1,0.9321671222178837,0.9445322670634183,0.9321671222178837,0.9034309474573634,312.7280991077423,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-10,0.933523800602626,0.9533351887930235,0.933523800602626,0.9061328865570302,313.281378030777,tanh,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-10,0.9317734835950426,0.9475545627995718,0.9317734835950426,0.903071293935026,334.32383275032043,tanh,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-10,0.9345562407306222,0.9567238413982243,0.9345562407306222,0.9075756239527295,315.52199935913086,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-10,0.9316858422967045,0.9543893838158871,0.9316858422967045,0.9038537592828579,318.1781861782074,tanh,0.0001,auto,0.9,0.999,True,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-100,0.9337237448270477,0.9506753609687937,0.9337237448270477,0.9058270092752851,336.90855741500854,logistic,0.0001,auto,0.9,0.999,True,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-100,0.9345989914287053,0.9491241927240627,0.9345989914287053,0.9070041070041069,338.8143880367279,relu,0.0001,auto,0.9,0.999,True,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-100,0.9321247892074199,0.947674960395117,0.9321247892074199,0.9034536368684065,300.57581424713135,logistic,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-100,0.9320982833221387,0.9435615416880272,0.9320982833221387,0.9030531456990566,387.9209187030792,tanh,0.0001,auto,0.9,0.999,True,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-1000,0.9337923067316098,0.9528944911297852,0.9337923067316098,0.9058873133169119,343.67941212654114,logistic,0.0001,auto,0.9,0.999,True,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-1000,0.9332147149256294,0.9574863083635013,0.9332147149256294,0.906036584026878,329.16361784935,logistic,0.0001,auto,0.9,0.999,True,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-1000,0.9339204297045781,0.9535458018823968,0.9339204297045781,0.906292901111554,360.8544485569,relu,0.0001,auto,0.9,0.999,True,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-1000,0.9321327694636475,0.9407424593967517,0.9321327694636475,0.9031295244459293,382.4830539226532,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_none,0.9221300554433317,0.9573122222869007,0.9221300554433317,0.915912487352993,2074.283472061157,tanh,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_none,0.9198448665800992,0.9686039521399344,0.9198448665800992,0.9146561432743987,2057.6861758232117,tanh,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_none,0.9183910218953013,0.9248942856034449,0.9183910218953013,0.9094324868158801,2079.840454339981,tanh,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_none,0.9225259577976451,0.9599192953866449,0.9225259577976451,0.9164575249349423,2135.866838693619,tanh,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_std,0.9093213929664135,0.9502808444702692,0.9093213929664135,0.9029141400664354,910.8448622226715,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_std,0.9094866445148494,0.9565343715497705,0.9094866445148494,0.9035569217257657,877.0285637378693,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_std,0.9092087640372265,0.9480270422098677,0.9092087640372265,0.9024941219860773,815.6143932342529,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_std,0.9114454880595347,0.95504571129098,0.9114454880595347,0.905207384717278,938.1887681484222,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_mm_0-1,0.908792774849333,0.9528933617185988,0.908792774849333,0.9026178778323679,620.414717912674,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_mm_0-1,0.9098916396696771,0.9507137869501125,0.9098916396696771,0.9033690884293561,663.272796869278,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_mm_0-1,0.9074627891787839,0.9460884057128461,0.9074627891787839,0.9006733696153493,681.2150640487671,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_mm_0-1,0.9091135586522106,0.9519301506175708,0.9091135586522106,0.9028745604612517,644.6376020908356,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_mm_0-10,0.9088581933134041,0.9502413305161953,0.9088581933134041,0.9023505807425406,749.4489893913269,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_mm_0-10,0.9097255016442426,0.9516019615064059,0.9097255016442426,0.9032804077051865,813.4638330936432,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_mm_0-10,0.9104916005359167,0.9515589015114861,0.9104916005359167,0.9041725666157893,917.646478176117,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_mm_0-10,0.9084345004035236,0.9523634036115367,0.9084345004035236,0.9020364297721073,788.6628861427307,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_mm_0-100,0.9176280453209085,0.9669120495931809,0.9176280453209085,0.9124179661078917,1977.7319309711456,tanh,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_mm_0-100,0.9195968664276071,0.9545710458366499,0.9195968664276071,0.9131750984325088,2064.6196167469025,tanh,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_mm_0-100,0.9204389221145254,0.9528882162329977,0.9204389221145254,0.9138513356346009,1984.029501914978,tanh,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_mm_0-100,0.9194383170109951,0.9632088252370815,0.9194383170109951,0.913829826300907,2115.6580576896667,tanh,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_mm_0-1000,0.9197309185882676,0.9644741948001552,0.9197309185882676,0.914096045457471,1572.4815940856934,logistic,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_mm_0-1000,0.9230689966081319,0.9675961836798014,0.9230689966081319,0.9176206633380228,1500.0559484958649,logistic,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_mm_0-1000,0.9220955389951578,0.9647001840550228,0.9220955389951578,0.9164918093134548,1435.8134181499481,logistic,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_mm_0-1000,0.9201051293503281,0.9728498895391652,0.9201051293503281,0.9152081966017648,1535.2186150550842,logistic,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_none,0.9335904562630774,0.9426736773533106,0.9335904562630774,0.9050054722923321,878.2345340251923,tanh,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_none,0.9342967725825582,0.9557452335668228,0.9342967725825582,0.90730139158006,850.7826681137085,tanh,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_none,0.9332177877709075,0.9546640574037835,0.9332177877709075,0.905491105955143,757.1280598640442,tanh,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_none,0.9321290282288284,0.9434996747514172,0.9321290282288284,0.9033119064036121,758.8064250946045,tanh,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_std,0.9331782848937034,0.9537903113220717,0.9331782848937034,0.9054403286727187,720.730818271637,tanh,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_std,0.9320083682008368,0.950032536952682,0.9320083682008368,0.9037207348617161,701.468944311142,relu,0.0001,auto,0.9,0.999,True,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_std,0.9328500453082523,0.944126007735682,0.9328500453082523,0.9041010308358248,733.6390933990479,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_std,0.9336952791038722,0.950964928558174,0.9336952791038722,0.9060731966053748,766.0113832950592,relu,0.0001,auto,0.9,0.999,True,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-1,0.9324455130206707,0.9532397508599052,0.9324455130206707,0.904571819244426,555.9571788311005,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-1,0.9323933985979047,0.9552809512706925,0.9323933985979047,0.9044192309390315,582.4431154727936,tanh,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-1,0.9330314622531033,0.9570532186846387,0.9330314622531033,0.9056761452354248,582.3718166351318,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-1,0.9334551759688833,0.9538411276019789,0.9334551759688833,0.9056143926973014,588.270206451416,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-10,0.9339441522156492,0.9537811222593832,0.9339441522156492,0.9065742416883747,540.0287222862244,relu,0.0001,auto,0.9,0.999,True,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-10,0.9320811279216825,0.9546747493588249,0.9320811279216825,0.9039650300247263,580.2626039981842,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-10,0.9316627634660422,0.9535469427731915,0.9316627634660422,0.9033070448671218,575.0384933948517,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-10,0.9328131096371439,0.9567053364269141,0.9328131096371439,0.9054656448319023,579.5768353939056,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-100,0.9320358018713194,0.9424430255860559,0.9320358018713194,0.9028686237303272,572.451737165451,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-100,0.9324225154188461,0.9482221705786661,0.9324225154188461,0.9040992687790826,598.0943875312805,tanh,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-100,0.9308665105386417,0.9351709341915022,0.9308665105386417,0.9005614192679092,626.4673166275024,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-100,0.9320350444302157,0.9478848468018143,0.9320350444302157,0.9039548022598869,529.8106937408447,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-1000,0.9320765914912226,0.9548288053591366,0.9320765914912226,0.9042049384347672,550.6155912876129,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-1000,0.9341868998360527,0.9503602138043226,0.9341868998360527,0.906559666585382,521.3276560306549,tanh,0.0001,auto,0.9,0.999,True,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-1000,0.9340460397971128,0.9509512761020882,0.9340460397971128,0.9065292400247723,592.1307966709137,relu,0.0001,auto,0.9,0.999,True,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_mm_0-1000,0.9319868160019995,0.9496124031007752,0.9319868160019995,0.9032960199004976,697.7757887840271,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_none,0.9197396217989454,0.9324470971242539,0.9197396217989454,0.9114811236763841,3711.3580510616302,tanh,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_none,0.9218527111798573,0.9432142371960331,0.9218527111798573,0.9144464514186799,3483.8745205402374,tanh,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_none,0.9203697181586249,0.9543172788060859,0.9203697181586249,0.9139643235015684,3532.2267651557922,tanh,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_none,0.9197589760781179,0.9452139836262755,0.9197589760781179,0.9125764429335357,3690.1476142406464,tanh,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_std,0.9094118556568199,0.9514050613258811,0.9094118556568199,0.9028859789675305,1787.483704328537,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_std,0.9098928092898615,0.9503895197860548,0.9098928092898615,0.9033755468570112,1808.827083826065,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_std,0.9098348702552005,0.9546263689485701,0.9098348702552005,0.9037321976461968,1793.7548978328705,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_std,0.9088972495662183,0.9459108023133952,0.9088972495662183,0.9018726175937234,1928.3240609169006,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_mm_0-1,0.9102720538951999,0.9416929354657797,0.9102720538951999,0.9031623852360197,1151.2207615375519,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_mm_0-1,0.9081386463350762,0.9558043149862494,0.9081386463350762,0.9022056067932324,1252.9579401016235,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_mm_0-1,0.9085305571555067,0.9526298404803077,0.9085305571555067,0.9021141143351303,1265.9132168293,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_mm_0-1,0.9083485742252905,0.9491571453512057,0.9083485742252905,0.901652938249765,1240.069575548172,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_mm_0-10,0.9099544790861461,0.9545665634674922,0.9099544790861461,0.9039469344376443,1609.6458129882812,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_mm_0-10,0.9097189403768656,0.9569944571495019,0.9097189403768656,0.9038392898000275,1566.1513760089874,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_mm_0-10,0.9084256958357337,0.9517454397109388,0.9084256958357337,0.9019661990500387,1411.0310866832733,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_mm_0-10,0.909235340592903,0.9532795469531826,0.909235340592903,0.9029253731343283,1564.4666969776154,relu,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
lr_valid_lb_mm_0-100,0.918681601647998,0.9468867303896908,0.918681601647998,0.9117449789469763,3866.7174417972565,tanh,0.0001,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
fc_valid_lb_none,0.9336393729311099,0.9513558848196813,0.9336393729311099,0.9057357050969258,989.2495355606079,tanh,1e-05,auto,0.9,0.999,False,1e-08,"(100,)",constant,0.001,15000,200,0.9,10,True,0.5,42,True,adam,0.0001,0.1,False,False
