Dataset,Precision,Recall,Accuracy,F1,Runtime,rfc__bootstrap,rfc__ccp_alpha,rfc__class_weight,rfc__criterion,rfc__max_depth,rfc__max_features,rfc__max_leaf_nodes,rfc__max_samples,rfc__min_impurity_decrease,rfc__min_samples_leaf,rfc__min_samples_split,rfc__min_weight_fraction_leaf,rfc__n_estimators,rfc__oob_score,rfc__random_state,rfc__verbose,rfc__warm_start
fc_valid_lb_none,0.9261034520445284,0.9186224845471023,0.9261034520445284,0.893075793516322,301.90950322151184,True,0.0,balanced_subsample,gini,None,auto,None,None,0.0,1,2,0.0,100,False,42,0,False
fc_valid_lb_std,0.92308652960552,0.9150842657504991,0.92308652960552,0.8888989108620652,298.1694531440735,True,0.0,balanced,gini,None,auto,None,None,0.0,1,2,0.0,100,False,42,0,False
fc_valid_lb_mm_0-1,0.9213837459802054,0.9110626044956344,0.9213837459802054,0.8862435057601084,296.2606921195984,True,0.0,balanced,gini,None,auto,None,None,0.0,1,2,0.0,100,False,42,0,False
fc_valid_lb_mm_0-10,0.9218588962803336,0.9137032210016757,0.9218588962803336,0.8869510211458521,298.9031562805176,True,0.0,balanced,gini,None,auto,None,None,0.0,1,2,0.0,100,False,42,0,False
fc_valid_lb_mm_0-100,0.9257397927331752,0.9204033269829469,0.9257397927331752,0.8927750484517961,300.3674385547638,True,0.0,balanced,gini,None,auto,None,None,0.0,1,2,0.0,100,False,42,0,False
fc_valid_lb_mm_0-1000,0.9257501483123615,0.9118002042521586,0.9257501483123615,0.8920072661217076,303.44876074790955,True,0.0,balanced,gini,None,auto,None,None,0.0,1,2,0.0,100,False,42,0,False
lr_valid_lb_none,0.9311212873626421,0.9393227903366644,0.9311212873626421,0.92352598895386,716.1499526500702,True,0.0,balanced,gini,None,auto,None,None,0.0,1,2,0.0,100,False,42,0,False
lr_valid_lb_std,0.9226109149029414,0.9336285752963701,0.9226109149029414,0.9146835922697991,704.7804915904999,True,0.0,balanced,gini,None,auto,None,None,0.0,1,2,0.0,100,False,42,0,False
lr_valid_lb_mm_0-1,0.9247813461174975,0.9396138546618803,0.9247813461174975,0.9170935881289004,708.8697421550751,True,0.0,balanced_subsample,gini,None,auto,None,None,0.0,1,2,0.0,100,False,42,0,False
lr_valid_lb_mm_0-10,0.9270420574002286,0.9415973699477858,0.9270420574002286,0.9198246873465069,709.7153780460358,True,0.0,balanced,gini,None,auto,None,None,0.0,1,2,0.0,100,False,42,0,False
lr_valid_lb_mm_0-100,0.9311964417578266,0.9399133328174573,0.9311964417578266,0.9238199363027049,746.7976272106171,True,0.0,balanced_subsample,gini,None,auto,None,None,0.0,1,2,0.0,100,False,42,0,False
lr_valid_lb_mm_0-1000,0.9334473189047074,0.9375884325392979,0.9334473189047074,0.9258699230563104,680.1801798343658,True,0.0,balanced,gini,None,auto,None,None,0.0,1,2,0.0,100,False,42,0,False
fc_valid_lb_none,0.9257397142634085,0.9188937950267255,0.9257397142634085,0.8926313888387214,303.8616027832031,True,0.0,balanced,gini,None,auto,None,None,0.0,1,2,0.0,100,False,42,0,False
