Dataset,Precision,Recall,Accuracy,F1,Runtime,xbc__objective,xbc__use_label_encoder,xbc__base_score,xbc__booster,xbc__colsample_bylevel,xbc__colsample_bynode,xbc__colsample_bytree,xbc__enable_categorical,xbc__gamma,xbc__gpu_id,xbc__importance_type,xbc__interaction_constraints,xbc__learning_rate,xbc__max_delta_step,xbc__max_depth,xbc__min_child_weight,xbc__missing,xbc__monotone_constraints,xbc__n_estimators,xbc__n_jobs,xbc__num_parallel_tree,xbc__predictor,xbc__random_state,xbc__reg_alpha,xbc__reg_lambda,xbc__scale_pos_weight,xbc__subsample,xbc__tree_method,xbc__validate_parameters,xbc__verbosity
fc_valid_lb_none,0.9369175291528122,0.9563582339012954,0.9369175291528122,0.9106744180905856,873.0036821365356,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,None,,0.300000012,0,6,1,nan,"(1,0)",100,8,1,auto,42,0,1,1,1,auto,1,None
fc_valid_lb_none,0.9382600415242198,0.9533404522029807,0.9382600415242198,0.9121560091508786,850.9801139831543,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,None,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
fc_valid_lb_std,0.934622467771639,0.9517541826945358,0.934622467771639,0.9074479132144673,843.0920326709747,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,None,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
fc_valid_lb_std,0.9363160771453112,0.9547275267815557,0.9363160771453112,0.9095265563295913,853.6238775253296,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,None,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
fc_valid_lb_mm_0-1,0.9346780740648223,0.950032536952682,0.9346780740648223,0.9071501486840353,839.127432346344,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,None,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
fc_valid_lb_mm_0-1,0.9354037848978827,0.9525673283011835,0.9354037848978827,0.9081177123820099,837.1131896972656,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,None,,0.300000012,0,6,1,nan,"(1,0)",100,8,1,auto,42,0,1,1,1,auto,1,None
fc_valid_lb_mm_0-10,0.9363986827113671,0.9547943933908846,0.9363986827113671,0.9098830137773944,839.2970080375671,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,None,,0.300000012,0,6,1,nan,"(1,0)",100,8,1,auto,42,0,1,1,1,auto,1,None
fc_valid_lb_mm_0-10,0.9358445777111444,0.9515320334261839,0.9358445777111444,0.9089135254988913,847.4036335945129,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,None,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
fc_valid_lb_mm_0-100,0.9357793869779637,0.9523124739063877,0.9357793869779637,0.9089057622916343,835.7438514232635,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,None,,0.300000012,0,6,1,nan,"(1,0)",100,8,1,auto,42,0,1,1,1,auto,1,None
fc_valid_lb_mm_0-100,0.9369711163153787,0.9536868616202603,0.9369711163153787,0.9101551198451028,835.0439100265503,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,None,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
