Dataset,Precision,Recall,Accuracy,F1,ROC_AUC,P_R_AUC,Runtime(seconds)
fc_none,0.9141715320490805,0.8739086011517742,0.9141715320490805,0.8725308355745155,0.9283422433425763,0.8898225004577893,1.2184393405914307
fc_none,0.9152217002481544,0.8776811054762016,0.9152217002481544,0.8741427247451343,0.9298910918313339,0.8908137920744361,1.2009479999542236
fc_none,0.9154966970156013,0.8758215310561881,0.9154966970156013,0.8749104191229166,0.9288237151541153,0.891034499082872,1.1704108715057373
fc_none,0.9154500741666016,0.8773878689286544,0.9154500741666016,0.8745627649470684,0.9283204391710704,0.8886219858397832,1.176405906677246
fc_none,0.915065028337679,0.8773992656968909,0.915065028337679,0.8740682439001807,0.9282875053191183,0.8899092456161599,1.249711036682129
fc_none,0.9158353238724182,0.8788683818046235,0.9158353238724182,0.8749333024011137,0.9295880292874391,0.8908584569003439,1.1559877395629883
fc_none,0.9132721540718545,0.8724104370394401,0.9132721540718545,0.8713806272422172,0.9278458395394216,0.8895518493583465,1.185598373413086
fc_none,0.9167889593155775,0.8802339615634575,0.9167889593155775,0.8767744023674111,0.9307927980236034,0.8933153099747523,1.1657764911651611
fc_none,0.9158563423808707,0.8769645680275272,0.9158563423808707,0.8749507086358469,0.9282897349145119,0.890806762107107,1.218468189239502
fc_none,0.9158948568572634,0.8782548155024368,0.9158948568572634,0.8754308450345832,0.928585531519505,0.8904504685076856,1.1840858459472656
fc_std,0.9129640330464931,0.8732532598027761,0.9129640330464931,0.8702233192837018,0.9262424874213269,0.8854018410880702,1.1559476852416992
fc_std,0.9123436938976224,0.8722160356347439,0.9123436938976224,0.8700562356807293,0.9261260684471636,0.8873602005206661,1.153916597366333
fc_std,0.913103900565254,0.869945558605928,0.913103900565254,0.8704518471960332,0.9267336421890218,0.887390182401845,1.2242848873138428
fc_std,0.914589025056592,0.8760284479152141,0.914589025056592,0.8732479206727984,0.9263580919350701,0.8860176464184443,1.1676557064056396
fc_std,0.9139387127491844,0.8745531361715957,0.9139387127491844,0.8723458448144117,0.9261948091970996,0.8876644788316376,1.191737413406372
fc_std,0.912357129473487,0.8723156472725578,0.912357129473487,0.8696621386276558,0.925966347900926,0.8869501662247795,1.1768999099731445
fc_std,0.9124371427679046,0.8713009491903965,0.9124371427679046,0.8697833205601616,0.9266167557972269,0.8880001614636978,1.2324535846710205
fc_std,0.9113258202478693,0.8724463679091629,0.9113258202478693,0.8684253190355976,0.9244836328118813,0.8840054289245722,1.169665813446045
fc_std,0.911929556134955,0.8704176927008317,0.911929556134955,0.8691456540397596,0.9256075701796181,0.8860849453477505,1.18550705909729
fc_std,0.9122587897333416,0.8701310774379474,0.9122587897333416,0.8694844403158384,0.9233188613539085,0.8838188486319146,1.1866419315338135
fc_mm_0-1,0.9132954296960419,0.8724097788125728,0.9132954296960419,0.870969991399549,0.9253718715723894,0.8856930162287318,1.2432541847229004
fc_mm_0-1,0.9151576646893538,0.8755207851124895,0.9151576646893538,0.874367212963177,0.9251807547186416,0.8879679395474446,1.1715962886810303
fc_mm_0-1,0.9140768966486554,0.8746045040014889,0.9140768966486554,0.8723315388899201,0.9271192988747665,0.8868908807276635,1.140387773513794
fc_mm_0-1,0.9113532754636857,0.8737101422329646,0.9113532754636857,0.8687835089665372,0.9250406943015015,0.8833870490179493,1.1716303825378418
fc_mm_0-1,0.9130475506572169,0.8703789708341074,0.9130475506572169,0.8706215739106197,0.9280899356963854,0.8894126325142478,1.2497029304504395
fc_mm_0-1,0.9147683804587113,0.8759585444067481,0.9147683804587113,0.8735024910207392,0.928595888747205,0.8889736503397786,1.15083909034729
fc_mm_0-1,0.9106133916029343,0.8672772070103668,0.9106133916029343,0.8669346406747369,0.925489829835847,0.8860831162278409,1.1545217037200928
fc_mm_0-1,0.9139810130535257,0.873852890483067,0.9139810130535257,0.8719641155553489,0.9264800008158421,0.8873434761326555,1.1519598960876465
fc_mm_0-1,0.91243851018974,0.8699580810433163,0.91243851018974,0.8694923538859018,0.9258624052389038,0.887279698957478,1.228827714920044
fc_mm_0-1,0.9144606350247544,0.8751801403932872,0.9144606350247544,0.873008880335737,0.9273751592953222,0.8869500626964159,1.1884124279022217
fc_mm_0-10,0.915667540901711,0.8781512605042017,0.915667540901711,0.8744363348984241,0.9276991011089992,0.8879731828522275,1.1655240058898926
fc_mm_0-10,0.9135416991913073,0.8719246123851082,0.9135416991913073,0.8715200445434299,0.9275604006686643,0.888648194487992,1.1403610706329346
fc_mm_0-10,0.9134586876804245,0.870360884749709,0.9134586876804245,0.8708069325382036,0.9273164054741286,0.8892851955696374,1.2799057960510254
fc_mm_0-10,0.9124006681966497,0.8693605518269948,0.9124006681966497,0.8692592678891815,0.9230540606781448,0.8838354085284225,1.1706690788269043
fc_mm_0-10,0.9125345320035586,0.8705096073517126,0.9125345320035586,0.8700250487058169,0.9261046005612154,0.88736715777464,1.1544318199157715
fc_mm_0-10,0.9130394054830451,0.8778005019986985,0.9130394054830451,0.871481310567605,0.9283403005401887,0.8873522489264905,1.1852762699127197
fc_mm_0-10,0.9139187565349022,0.8705613363818767,0.9139187565349022,0.8712117674527201,0.926601649624585,0.8880513127984161,1.2168688774108887
fc_mm_0-10,0.9146457627383313,0.8743797820542546,0.9146457627383313,0.8734077539487703,0.9287176014205376,0.8896915176717121,1.1994822025299072
fc_mm_0-10,0.9144569475442074,0.8754012934443772,0.9144569475442074,0.8728630743893669,0.926419297776984,0.8862929085067383,1.1872284412384033
fc_mm_0-10,0.9141215414402598,0.8737303140434256,0.9141215414402598,0.8721049204725141,0.9269094808719818,0.8870865159082477,1.138498067855835
fc_mm_0-100,0.9117807791396674,0.8698117592377411,0.9117807791396674,0.8688425646501694,0.9250508197546329,0.8862581618381373,1.2303452491760254
fc_mm_0-100,0.909708555899166,0.868402631947361,0.909708555899166,0.8655550129072769,0.9234003081204818,0.8816637597506901,1.1665501594543457
fc_mm_0-100,0.9134291068082449,0.8695854680950164,0.9134291068082449,0.8707210148307062,0.9257660557219163,0.8869467144468752,1.186528205871582
fc_mm_0-100,0.9140065248271233,0.8743245761132848,0.9140065248271233,0.8720295477246858,0.9272835233239314,0.8883854536176419,1.1802270412445068
fc_mm_0-100,0.9144426756562725,0.8747740649765955,0.9144426756562725,0.8731957809030347,0.9295981612431271,0.8919771384105579,1.2171356678009033
fc_mm_0-100,0.9139583528456807,0.8734465906446358,0.9139583528456807,0.8719449865254159,0.9280609377573144,0.888030057331794,1.1560113430023193
fc_mm_0-100,0.9133068923518941,0.8745521381043228,0.9133068923518941,0.8713087014973808,0.925155668398594,0.8862021824639396,1.1541414260864258
fc_mm_0-100,0.9144270687018136,0.8737544607684108,0.9144270687018136,0.8730463775498392,0.9284929707597036,0.889092388418691,1.1560165882110596
fc_mm_0-100,0.9141764843567137,0.8724097788125728,0.9141764843567137,0.8720037235280428,0.9278950051622876,0.8883030703390778,1.2965667247772217
fc_mm_0-100,0.9135222090335479,0.8755117231112766,0.9135222090335479,0.8717604280056511,0.9274735490213092,0.8881960597684253,1.1676177978515625
fc_mm_0-1000,0.9148262029998907,0.8797079884683344,0.9148262029998907,0.8739577318397044,0.928592775288759,0.8892315884858784,1.1835548877716064
fc_mm_0-1000,0.9178060810388962,0.8812740864558667,0.9178060810388962,0.8781751723499746,0.9293075998556564,0.8922181141106169,1.1774704456329346
fc_mm_0-1000,0.9137548790007807,0.8754255864931673,0.9137548790007807,0.8717258034553222,0.9252958551002797,0.8867168264342201,1.265303373336792
fc_mm_0-1000,0.9152597909190201,0.8794761042218197,0.9152597909190201,0.8745814377756737,0.9295872521486832,0.8904554827543891,1.1559929847717285
fc_mm_0-1000,0.9157331419477642,0.8788005578800557,0.9157331419477642,0.8749971069502627,0.9280667338339371,0.8906597759678749,1.1545805931091309
fc_mm_0-1000,0.9167135094622447,0.8789770345180975,0.9167135094622447,0.8761608469539376,0.9290678217263345,0.8915974389579496,1.1670186519622803
fc_mm_0-1000,0.9165288224462408,0.8857341361741548,0.9165288224462408,0.8773024429407043,0.9291682575718039,0.8914886018843409,1.202850103378296
fc_mm_0-1000,0.9160059928834509,0.8799461891728905,0.9160059928834509,0.8757617728531856,0.9283385037540604,0.891553168707218,1.154710292816162
fc_mm_0-1000,0.9161568235734798,0.8784443102086334,0.9161568235734798,0.8755963132786809,0.9282299136170487,0.890816223821621,1.2619726657867432
fc_mm_0-1000,0.9175280267307873,0.883455848143668,0.9175280267307873,0.8779010633379566,0.9284909663313134,0.890851141067456,1.150761365890503
lr_none,0.9198500520175054,0.9231902887393589,0.9198500520175054,0.9108266850331936,0.947195950868955,0.9353643978768827,1.8120670318603516
