Dataset,Precision,Recall,Accuracy,F1,ROC_AUC,P_R_AUC,Runtime(seconds)
fc_none,0.9194772344013491,0.9063679135417152,0.9194772344013491,0.8829842753738286,0.9348220551604777,0.8863602932190044,1.2497198581695557
fc_none,0.9207221840444806,0.9080759211016003,0.9207221840444806,0.8849397044156315,0.9340626912021688,0.8873454511760714,1.1716079711914062
fc_none,0.9218728053062817,0.9093735498839908,0.9218728053062817,0.8867420814479638,0.9374940920517616,0.891902051640912,1.187229871749878
fc_none,0.92175840644416,0.9099944268994984,0.92175840644416,0.8866063348416289,0.9366258705135542,0.8904518468272697,1.1716322898864746
fc_none,0.9225090523161443,0.9072069141768505,0.9225090523161443,0.8871924204212391,0.9349919743765368,0.8890984477763914,1.265324354171753
fc_none,0.9201043000343503,0.9106262212710524,0.9201043000343503,0.8843955448116937,0.9339687363926007,0.8849443355606381,1.2184679508209229
fc_none,0.923233016983017,0.9106561191251745,0.923233016983017,0.8883744155431477,0.9348934392022273,0.8897958944925499,1.2028758525848389
fc_none,0.9231838123936361,0.9195984570339731,0.9231838123936361,0.8894232930282734,0.9367857177932934,0.8919750917455591,1.2028486728668213
fc_none,0.91971327284369,0.9085902064241415,0.91971327284369,0.8842195347161228,0.935108102906068,0.8906310394218335,1.2497100830078125
fc_none,0.921143481996407,0.9103281133482476,0.921143481996407,0.885564018861081,0.9354533829240064,0.8903968942098187,1.177074670791626
fc_std,0.9154606341623344,0.8861390753169277,0.9154606341623344,0.8753481733845906,0.9242001514129868,0.884304694754052,1.1383240222930908
fc_std,0.9135628952916374,0.8795304201993851,0.9135628952916374,0.8721561381221851,0.9218100726441955,0.8828790638663491,1.1584782600402832
fc_std,0.9147032647899199,0.884075542084402,0.9147032647899199,0.8740692930084599,0.9246014685925588,0.8829141043480045,1.1830780506134033
fc_std,0.9142241782938477,0.8794549752050795,0.9142241782938477,0.8735039587552937,0.9233893447714495,0.8844244523912473,1.140390157699585
fc_std,0.9125501396887827,0.8745165649317367,0.9125501396887827,0.870117527063678,0.9212359853819093,0.8817411031725222,1.1665091514587402
fc_std,0.9146341463414634,0.881717928435159,0.9146341463414634,0.8739305891848265,0.9211688118028536,0.8813724339447098,1.138437271118164
fc_std,0.9155635341867,0.8831126747523378,0.9155635341867,0.8758349975896977,0.9231948407913566,0.8865523588893867,1.1870975494384766
fc_std,0.914525375279214,0.878361373910612,0.914525375279214,0.8732335634527173,0.9217303009212453,0.8826612540336771,1.1405696868896484
fc_std,0.9156116826150076,0.8789752650176679,0.9156116826150076,0.8749074416882637,0.923476394659491,0.8861902138464848,1.1483795642852783
fc_std,0.9133854581206985,0.8802284016526624,0.9133854581206985,0.8723316157526684,0.9193033938359534,0.8784212932905894,1.163900375366211
fc_mm_0-1,0.9147232368642877,0.8835466604607866,0.9147232368642877,0.8742084782058073,0.921306891593781,0.8797016350520513,1.2288484573364258
fc_mm_0-1,0.9150816702582841,0.8788400670266244,0.9150816702582841,0.8741203703703704,0.9218475445224221,0.8832345513981463,1.276414394378662
fc_mm_0-1,0.9129402577118313,0.8763250883392226,0.9129402577118313,0.8711809567829907,0.919785766949989,0.8820519769426468,1.1799886226654053
fc_mm_0-1,0.9143842564414688,0.8783714776472773,0.9143842564414688,0.8733844165435746,0.922617395939635,0.8859078512745675,1.1403594017028809
