Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
fc_mm_0-1000_10_,0.92328,0.00586,0.91375,0.93051,0.90919,0.02264,0.87543,0.937,0.92328,0.00586,0.91375,0.93051,0.88823,0.01005,0.87173,0.90022,0.94165,0.01106,0.9253,0.95609,0.89867,0.00736,0.88672,0.9097,1.15074,0.04609,1.0885,1.2653
fc_mm_0-1000_15_,0.92198,0.00743,0.90961,0.93246,0.90643,0.02815,0.86708,0.94256,0.92198,0.00743,0.90961,0.93246,0.88614,0.01278,0.86573,0.90333,0.93791,0.01524,0.9172,0.95765,0.89654,0.01064,0.88191,0.91393,1.27436,0.06684,1.20098,1.47344
fc_none_10_,0.92187,0.00577,0.91327,0.93053,0.90555,0.02422,0.87241,0.93846,0.92187,0.00577,0.91327,0.93053,0.88606,0.01006,0.87138,0.90074,0.94067,0.0112,0.92785,0.95709,0.89635,0.00663,0.88862,0.90966,1.16155,0.04777,1.0913,1.26352
fc_none_15_,0.92083,0.00728,0.91075,0.93072,0.90434,0.02969,0.85919,0.94117,0.92083,0.00728,0.91075,0.93072,0.88442,0.01285,0.86603,0.9011,0.93692,0.01485,0.91723,0.95896,0.89402,0.00973,0.88318,0.91388,1.27415,0.06867,1.17161,1.43194
fc_mm_0-100_10_,0.92077,0.00636,0.90971,0.93051,0.90127,0.0246,0.8684,0.937,0.92077,0.00636,0.90971,0.93051,0.88404,0.01099,0.86556,0.90022,0.9387,0.01145,0.9234,0.95609,0.89504,0.0074,0.88166,0.9097,1.14982,0.05151,1.06039,1.29657
fc_mm_0-10_10_,0.91999,0.00631,0.90971,0.93051,0.8984,0.0249,0.8684,0.937,0.91999,0.00631,0.90971,0.93051,0.8827,0.01099,0.86556,0.90022,0.93759,0.01152,0.92305,0.95609,0.89405,0.00717,0.88166,0.9097,1.14682,0.05566,1.02941,1.29657
fc_mm_0-100_15_,0.91985,0.00757,0.90908,0.93246,0.89955,0.02925,0.85614,0.94256,0.91985,0.00757,0.90908,0.93246,0.88261,0.01316,0.86345,0.90333,0.93487,0.01503,0.91657,0.95765,0.89301,0.00988,0.87972,0.91393,1.27985,0.07822,1.18672,1.54131
fc_mm_0-1000_22_,0.9196,0.01066,0.90424,0.93158,0.89759,0.03886,0.84212,0.93929,0.9196,0.01066,0.90424,0.93158,0.88191,0.01843,0.85573,0.90232,0.93256,0.02163,0.90354,0.95847,0.89733,0.01329,0.88118,0.91796,1.51269,0.10685,1.37465,1.80631
fc_mm_0-1_10_,0.91949,0.00628,0.90971,0.93051,0.89684,0.02488,0.86728,0.937,0.91949,0.00628,0.90971,0.93051,0.88188,0.01095,0.86556,0.90022,0.93694,0.01155,0.92305,0.95609,0.89332,0.00708,0.88166,0.9097,1.14813,0.06218,1.02941,1.35723
fc_mm_0-10_15_,0.91878,0.00777,0.90838,0.93246,0.89633,0.03004,0.85614,0.94256,0.91878,0.00777,0.90838,0.93246,0.88085,0.01351,0.8626,0.90333,0.93316,0.01535,0.91439,0.95765,0.89132,0.00976,0.87626,0.91393,1.27456,0.07941,1.15431,1.54131
fc_mm_0-1_15_,0.91825,0.0078,0.90625,0.93246,0.89463,0.03011,0.85602,0.94256,0.91825,0.0078,0.90625,0.93246,0.87998,0.01356,0.85954,0.90333,0.93228,0.0154,0.91242,0.95765,0.89055,0.00957,0.87601,0.91393,1.27001,0.07818,1.13281,1.54131
fc_none_22_,0.91823,0.01045,0.90217,0.93069,0.89405,0.03926,0.83622,0.94011,0.91823,0.01045,0.90217,0.93069,0.87969,0.01825,0.85218,0.90079,0.93022,0.02135,0.90021,0.95718,0.89266,0.0117,0.87806,0.91118,1.54905,0.27622,1.35525,2.9114
fc_std_10_,0.91772,0.00673,0.91133,0.92812,0.8926,0.02657,0.86995,0.93383,0.91772,0.00673,0.91133,0.92812,0.87908,0.01176,0.86843,0.89693,0.9348,0.0126,0.92202,0.95366,0.89113,0.00757,0.88093,0.90411,1.14295,0.05054,1.04666,1.23245
fc_mm_0-100_22_,0.91745,0.01055,0.90144,0.93158,0.89093,0.03848,0.8353,0.93929,0.91745,0.01055,0.90144,0.93158,0.87838,0.0183,0.85134,0.90232,0.92913,0.02111,0.90171,0.95847,0.89263,0.01226,0.87721,0.91796,1.51482,0.12408,1.37465,1.93679
fc_std_15_,0.91701,0.00783,0.90738,0.92932,0.89045,0.03034,0.85537,0.93481,0.91701,0.00783,0.90738,0.92932,0.87789,0.0137,0.86141,0.89857,0.93055,0.01623,0.9144,0.95588,0.88968,0.00987,0.87842,0.90662,1.25299,0.08161,1.13832,1.43056
fc_mm_0-10_22_,0.91604,0.01071,0.89924,0.93158,0.88735,0.03892,0.83251,0.93929,0.91604,0.01071,0.89924,0.93158,0.87611,0.01856,0.84827,0.90232,0.92675,0.0212,0.89787,0.95847,0.89015,0.01201,0.8746,0.91796,1.50091,0.11851,1.34201,1.93679
fc_mm_0-1_22_,0.91539,0.01065,0.89924,0.93158,0.88567,0.03864,0.82925,0.93929,0.91539,0.01065,0.89924,0.93158,0.87506,0.01848,0.8472,0.90232,0.92561,0.021,0.89787,0.95847,0.88889,0.01163,0.87275,0.91796,1.49281,0.11669,1.31042,1.93679
