Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
lr_mm_0-1000_10_,0.92521,0.00082,0.92357,0.92641,0.94936,0.00941,0.93453,0.95997,0.92521,0.00082,0.92357,0.92641,0.91836,0.00097,0.91692,0.92014,0.96087,0.00777,0.94993,0.96907,0.94974,0.00794,0.93849,0.95926,1.66054,0.04786,1.57779,1.75863
lr_mm_0-1000_22_,0.92784,0.00227,0.92267,0.93045,0.93858,0.01624,0.91327,0.95514,0.92784,0.00227,0.92267,0.93045,0.92014,0.00354,0.9129,0.92374,0.95908,0.0176,0.93334,0.97584,0.95589,0.01388,0.93568,0.97095,2.40238,0.13686,2.23386,2.81044
lr_mm_0-1000_15_,0.92483,0.00113,0.92303,0.92684,0.94698,0.0139,0.92621,0.96159,0.92483,0.00113,0.92303,0.92684,0.91777,0.00195,0.91472,0.92079,0.95844,0.01075,0.94247,0.96925,0.94943,0.00907,0.93543,0.96025,1.96676,0.07591,1.85894,2.11975
lr_mm_0-100_10_,0.92094,0.00453,0.91266,0.92641,0.9449,0.01293,0.91924,0.95997,0.92094,0.00453,0.91266,0.92641,0.91373,0.00486,0.9053,0.92014,0.95654,0.00794,0.94525,0.96907,0.94191,0.00999,0.92707,0.95926,1.68776,0.06613,1.56082,1.84572
lr_none_10_,0.91928,0.00122,0.91678,0.92142,0.94378,0.01384,0.92231,0.95923,0.91928,0.00122,0.91678,0.92142,0.91199,0.00114,0.91,0.91436,0.95629,0.00674,0.946,0.96364,0.94169,0.00511,0.93422,0.94942,1.68149,0.06625,1.57776,1.85369
lr_mm_0-100_22_,0.92392,0.00439,0.91662,0.93045,0.93789,0.0207,0.9016,0.96059,0.92392,0.00439,0.91662,0.93045,0.91611,0.00535,0.90557,0.92374,0.95446,0.01626,0.93042,0.97584,0.94775,0.01352,0.93153,0.97095,2.46701,0.17983,2.23386,3.05176
lr_mm_0-100_15_,0.92077,0.00425,0.91397,0.92684,0.94345,0.01675,0.91148,0.96159,0.92077,0.00425,0.91397,0.92684,0.91344,0.00467,0.90599,0.92079,0.9541,0.01024,0.93836,0.96925,0.9416,0.0105,0.92649,0.96025,1.99172,0.09336,1.84118,2.22448
lr_mm_0-10_10_,0.91923,0.00462,0.91266,0.92641,0.94074,0.01469,0.91884,0.95997,0.91923,0.00462,0.91266,0.92641,0.91168,0.00511,0.90359,0.92014,0.95381,0.00857,0.93925,0.96907,0.93881,0.0097,0.9241,0.95926,1.68173,0.0974,1.45217,2.01864
lr_none_15_,0.91935,0.00086,0.91705,0.92134,0.94201,0.01784,0.91566,0.96255,0.91935,0.00086,0.91705,0.92134,0.91194,0.00169,0.90824,0.9144,0.95343,0.00921,0.93956,0.96396,0.94089,0.00569,0.93209,0.94838,1.98499,0.07918,1.83587,2.10147
lr_none_22_,0.92197,0.00175,0.91907,0.92608,0.93758,0.02293,0.90293,0.96174,0.92197,0.00175,0.91907,0.92608,0.91408,0.00355,0.90826,0.92022,0.95288,0.01484,0.93164,0.96817,0.94532,0.00876,0.93313,0.95719,2.45816,0.11559,2.305,2.74407
