Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
fc_mm_0-1000_22_opt-01,0.93035,0.00081,0.9292,0.93158,0.93688,0.00167,0.93374,0.93929,0.93035,0.00081,0.9292,0.93158,0.90032,0.00116,0.89885,0.90232,0.95666,0.00129,0.95477,0.95847,0.9144,0.0021,0.91063,0.91796,1.45128,0.061,1.37465,1.57581
fc_mm_0-1000_15_opt-01,0.93025,0.00103,0.92919,0.93246,0.9369,0.00373,0.92959,0.94256,0.93025,0.00103,0.92919,0.93246,0.90022,0.00158,0.89832,0.90333,0.95632,0.00107,0.95499,0.95765,0.91063,0.00169,0.90821,0.91393,1.25677,0.04641,1.20098,1.34343
fc_mm_0-1000_10_opt-01,0.92984,0.00069,0.92827,0.93051,0.93372,0.0024,0.92996,0.937,0.92984,0.00069,0.92827,0.93051,0.89936,0.00104,0.89688,0.90022,0.95488,0.00077,0.95364,0.95609,0.90753,0.00128,0.90636,0.9097,1.14701,0.03435,1.10455,1.20103
fc_none_15_opt-01,0.9292,0.00114,0.92777,0.93072,0.93662,0.00388,0.93042,0.94117,0.9292,0.00114,0.92777,0.93072,0.89886,0.00185,0.89623,0.9011,0.95542,0.00152,0.95382,0.95896,0.90699,0.0028,0.90429,0.91388,1.27464,0.04585,1.22756,1.34547
fc_none_22_opt-01,0.92927,0.00121,0.92724,0.93069,0.93538,0.00297,0.93089,0.94011,0.92927,0.00121,0.92724,0.93069,0.89878,0.00163,0.89577,0.90079,0.95577,0.00096,0.9548,0.95718,0.90824,0.00232,0.90327,0.91118,1.45988,0.06985,1.40595,1.64027
fc_mm_0-100_22_opt-01,0.92899,0.00153,0.92721,0.93158,0.93296,0.00438,0.92687,0.93929,0.92899,0.00153,0.92721,0.93158,0.89823,0.00233,0.89549,0.90232,0.95424,0.00271,0.95089,0.95847,0.90729,0.00763,0.89717,0.91796,1.44478,0.04781,1.37465,1.57581
fc_none_10_opt-01,0.92875,0.00101,0.92712,0.93053,0.93452,0.00239,0.93079,0.93846,0.92875,0.00101,0.92712,0.93053,0.89806,0.0014,0.8961,0.90074,0.95526,0.00118,0.95358,0.95709,0.90476,0.00246,0.90058,0.90966,1.15722,0.04364,1.12101,1.26352
fc_mm_0-100_15_opt-01,0.92861,0.00198,0.92517,0.93246,0.93343,0.00479,0.92393,0.94256,0.92861,0.00198,0.92517,0.93246,0.89779,0.00295,0.89259,0.90333,0.95378,0.00296,0.94846,0.95765,0.90505,0.00611,0.89542,0.91393,1.25806,0.04502,1.20098,1.34347
fc_mm_0-10_15_opt-01,0.92813,0.00192,0.92517,0.93246,0.93271,0.00463,0.92163,0.94256,0.92813,0.00192,0.92517,0.93246,0.89709,0.00286,0.89259,0.90333,0.95292,0.00286,0.94841,0.95765,0.90322,0.00582,0.89376,0.91393,1.26166,0.04554,1.20098,1.35154
fc_mm_0-10_22_opt-01,0.92819,0.0019,0.92459,0.93158,0.93168,0.00432,0.92505,0.93929,0.92819,0.0019,0.92459,0.93158,0.89706,0.00281,0.89214,0.90232,0.95273,0.00326,0.94648,0.95847,0.90441,0.00755,0.89428,0.91796,1.44494,0.04815,1.37465,1.57625
fc_mm_0-1_15_opt-01,0.92783,0.00178,0.92517,0.93246,0.93202,0.00454,0.92163,0.94256,0.92783,0.00178,0.92517,0.93246,0.89665,0.00265,0.89259,0.90333,0.95238,0.0027,0.94841,0.95765,0.90237,0.00538,0.89376,0.91393,1.25739,0.0423,1.20098,1.35154
fc_mm_0-100_10_opt-01,0.92801,0.00213,0.92387,0.93051,0.93011,0.00442,0.92153,0.937,0.92801,0.00213,0.92387,0.93051,0.89664,0.00315,0.89092,0.90022,0.95301,0.00215,0.94843,0.95609,0.9029,0.00517,0.89348,0.9097,1.15345,0.04052,1.10455,1.24972
fc_mm_0-1_22_opt-01,0.92775,0.00185,0.92459,0.93158,0.93063,0.00425,0.92505,0.93929,0.92775,0.00185,0.92459,0.93158,0.89639,0.00274,0.89213,0.90232,0.9518,0.00332,0.94648,0.95847,0.90277,0.00725,0.89251,0.91796,1.44535,0.0484,1.37465,1.57625
fc_std_15_opt-01,0.92739,0.00093,0.9259,0.92932,0.93071,0.00292,0.9265,0.93481,0.92739,0.00093,0.9259,0.92932,0.89602,0.0013,0.89352,0.89857,0.95277,0.00143,0.95056,0.95588,0.90312,0.0023,0.89827,0.90662,1.27687,0.04852,1.22693,1.37471
fc_mm_0-10_10_opt-01,0.92752,0.00207,0.92368,0.93051,0.92901,0.00449,0.92005,0.937,0.92752,0.00207,0.92368,0.93051,0.89593,0.00304,0.89048,0.90022,0.95242,0.00209,0.94843,0.95609,0.90208,0.00447,0.89348,0.9097,1.15624,0.04137,1.10455,1.27034
fc_mm_0-1_10_opt-01,0.92719,0.00191,0.92368,0.93051,0.92828,0.00423,0.92005,0.937,0.92719,0.00191,0.92368,0.93051,0.89543,0.00281,0.89048,0.90022,0.95208,0.00196,0.94843,0.95609,0.9015,0.00409,0.89348,0.9097,1.16534,0.05828,1.10455,1.35723
fc_std_10_opt-01,0.92696,0.00077,0.92595,0.92812,0.92932,0.00281,0.92478,0.93383,0.92696,0.00077,0.92595,0.92812,0.89527,0.00118,0.89319,0.89693,0.95219,0.00098,0.95028,0.95366,0.90129,0.00238,0.89698,0.90411,1.15092,0.02615,1.12422,1.20777
fc_std_22_opt-01,0.92683,0.00139,0.92438,0.92819,0.92906,0.00336,0.92389,0.93503,0.92683,0.00139,0.92438,0.92819,0.89509,0.00202,0.89125,0.89715,0.95091,0.00151,0.94851,0.95334,0.9009,0.00246,0.89712,0.90545,1.49245,0.14269,1.40592,1.88159
fc_mm_0-1000_10_opt-02,0.92397,0.00139,0.92179,0.92606,0.91373,0.00267,0.90951,0.91924,0.92397,0.00139,0.92179,0.92606,0.88972,0.00194,0.88723,0.89295,0.94167,0.00169,0.93913,0.94371,0.89793,0.00311,0.89252,0.90138,1.11778,0.03277,1.0885,1.16619
fc_mm_0-1000_15_opt-02,0.92302,0.00117,0.92132,0.92462,0.91216,0.00336,0.90711,0.91676,0.92302,0.00117,0.92132,0.92462,0.8883,0.0016,0.88616,0.89078,0.93759,0.00217,0.93201,0.93935,0.89278,0.00195,0.88923,0.89576,1.23373,0.04003,1.20285,1.3201
fc_mm_0-1000_22_opt-02,0.92299,0.00115,0.92153,0.92469,0.90996,0.00274,0.90738,0.91437,0.92299,0.00115,0.92153,0.92469,0.88803,0.00164,0.88605,0.8904,0.93599,0.00184,0.93326,0.93936,0.89449,0.0022,0.89154,0.89929,1.45123,0.04262,1.40595,1.5382
fc_none_15_opt-02,0.92137,0.00137,0.91948,0.92323,0.91008,0.00365,0.90637,0.9196,0.92137,0.00137,0.91948,0.92323,0.88604,0.002,0.88298,0.88942,0.93542,0.00118,0.93397,0.93749,0.88929,0.00236,0.88494,0.89198,1.20965,0.03486,1.17161,1.26532
fc_none_10_opt-02,0.92156,0.00215,0.917,0.92441,0.90523,0.00579,0.89451,0.91486,0.92156,0.00215,0.917,0.92441,0.88574,0.00317,0.87926,0.89029,0.93787,0.00164,0.93566,0.94055,0.89376,0.00317,0.88872,0.89807,1.13486,0.05217,1.0913,1.24525
fc_none_22_opt-02,0.92075,0.0012,0.91894,0.923,0.90394,0.00543,0.8964,0.91404,0.92075,0.0012,0.91894,0.923,0.88446,0.00211,0.88178,0.88875,0.93035,0.00193,0.92756,0.93249,0.88786,0.00254,0.88476,0.89262,1.465,0.11616,1.35525,1.76088
fc_mm_0-100_15_opt-02,0.91956,0.00383,0.91348,0.92462,0.89963,0.01354,0.87962,0.91676,0.91956,0.00383,0.91348,0.92462,0.88246,0.00639,0.87254,0.89078,0.93168,0.00658,0.92085,0.93935,0.88889,0.00499,0.87972,0.89576,1.24318,0.07046,1.18672,1.4684
