Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
lr_mm_0-1000_22_opt-01,0.92979,0.00062,0.92849,0.93045,0.95009,0.00335,0.9448,0.95491,0.92979,0.00062,0.92849,0.93045,0.92304,0.00071,0.92136,0.92373,0.97482,0.00077,0.97322,0.97584,0.96945,0.00124,0.96711,0.97095,2.28951,0.03031,2.2495,2.36222
lr_mm_0-1000_22_opt-02,0.92869,0.00105,0.92702,0.93043,0.94935,0.00292,0.94575,0.95514,0.92869,0.00105,0.92702,0.93043,0.92188,0.00111,0.92,0.92374,0.9674,0.00095,0.96543,0.96855,0.96093,0.00104,0.95959,0.96263,2.44129,0.13904,2.23386,2.72036
lr_mm_0-1000_15_opt-01,0.92596,0.00073,0.92478,0.92684,0.95868,0.00208,0.95532,0.96159,0.92596,0.00073,0.92478,0.92684,0.91985,0.00086,0.91829,0.92079,0.96831,0.00066,0.96745,0.96925,0.95805,0.00116,0.9565,0.96025,1.90976,0.07739,1.85894,2.11975
lr_mm_0-1000_10_opt-01,0.92545,0.0007,0.92435,0.92641,0.95735,0.00149,0.9553,0.95997,0.92545,0.0007,0.92435,0.92641,0.91925,0.00075,0.91793,0.92014,0.96823,0.00048,0.96739,0.96907,0.95791,0.00079,0.95678,0.95926,1.64959,0.04166,1.5887,1.71835
lr_mm_0-100_22_opt-01,0.92538,0.0046,0.91914,0.93045,0.95421,0.00499,0.9448,0.96059,0.92538,0.0046,0.91914,0.93045,0.91898,0.00426,0.91321,0.92373,0.96915,0.00586,0.96247,0.97584,0.95883,0.01096,0.9464,0.97095,2.35456,0.11396,2.2495,2.7831
lr_mm_0-1000_10_opt-02,0.92457,0.00085,0.92357,0.92573,0.95407,0.00275,0.94879,0.95872,0.92457,0.00085,0.92357,0.92573,0.91809,0.00088,0.91702,0.9193,0.96396,0.00142,0.96245,0.96728,0.95192,0.00185,0.94997,0.95625,1.63592,0.04902,1.57779,1.73927
lr_mm_0-100_22_opt-02,0.92467,0.00421,0.91898,0.93043,0.94961,0.00231,0.94575,0.95514,0.92467,0.00421,0.91898,0.93043,0.91789,0.00421,0.91211,0.92374,0.96081,0.00685,0.95195,0.96855,0.94909,0.0122,0.9358,0.96263,2.4634,0.17519,2.23386,2.8488
lr_mm_0-1000_15_opt-02,0.92431,0.001,0.92303,0.92601,0.95425,0.00237,0.9499,0.95814,0.92431,0.001,0.92303,0.92601,0.91785,0.00094,0.91659,0.91953,0.96319,0.00086,0.96182,0.96472,0.95301,0.00113,0.95162,0.95448,1.95664,0.05289,1.87375,2.02076
lr_mm_0-1000_10_default,0.9256,0.00053,0.92487,0.92634,0.93666,0.00096,0.93453,0.93767,0.9256,0.00053,0.92487,0.92634,0.91774,0.00055,0.91692,0.91853,0.95042,0.00041,0.94993,0.95121,0.93937,0.00067,0.93849,0.94052,1.69612,0.03207,1.66857,1.75863
lr_none_22_opt-01,0.92342,0.00125,0.92143,0.92608,0.95646,0.00274,0.95135,0.96174,0.92342,0.00125,0.92143,0.92608,0.91712,0.00137,0.91498,0.92022,0.96684,0.00067,0.96593,0.96817,0.95514,0.00097,0.954,0.95719,2.38106,0.1297,2.305,2.74407
