Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
fc_mm_0-1000_opt-01_,0.93014,0.00085,0.92827,0.93246,0.93583,0.00305,0.92959,0.94256,0.93014,0.00085,0.92827,0.93246,0.89997,0.00131,0.89688,0.90333,0.95595,0.00129,0.95364,0.95847,0.91085,0.00331,0.90636,0.91796,1.28502,0.13625,1.10455,1.57581
fc_none_opt-01_,0.92907,0.00111,0.92712,0.93072,0.93551,0.00315,0.93042,0.94117,0.92907,0.00111,0.92712,0.93072,0.89857,0.00162,0.89577,0.9011,0.95548,0.00122,0.95358,0.95896,0.90666,0.00285,0.90058,0.91388,1.29725,0.13717,1.12101,1.64027
fc_mm_0-100_opt-01_,0.92854,0.00191,0.92387,0.93246,0.93217,0.00469,0.92153,0.94256,0.92854,0.00191,0.92387,0.93246,0.89755,0.00286,0.89092,0.90333,0.95368,0.00263,0.94843,0.95847,0.90508,0.00653,0.89348,0.91796,1.28543,0.12917,1.10455,1.57581
fc_mm_0-10_opt-01_,0.92795,0.00196,0.92368,0.93246,0.93113,0.0047,0.92005,0.94256,0.92795,0.00196,0.92368,0.93246,0.8967,0.00292,0.89048,0.90333,0.95269,0.00276,0.94648,0.95847,0.90324,0.00608,0.89348,0.91796,1.28762,0.12797,1.10455,1.57625
fc_mm_0-1_opt-01_,0.92759,0.00186,0.92368,0.93246,0.93031,0.00458,0.92005,0.94256,0.92759,0.00186,0.92368,0.93246,0.89616,0.00276,0.89048,0.90333,0.95208,0.00271,0.94648,0.95847,0.90221,0.0057,0.89251,0.91796,1.28936,0.12713,1.10455,1.57625
fc_std_opt-01_,0.92706,0.00105,0.92438,0.92932,0.92969,0.00302,0.92389,0.93503,0.92706,0.00105,0.92438,0.92932,0.89546,0.00155,0.89125,0.89857,0.95196,0.00151,0.94851,0.95588,0.90177,0.0025,0.89698,0.90662,1.30675,0.16683,1.12422,1.88159
fc_mm_0-1000_opt-02_,0.92332,0.00129,0.92132,0.92606,0.91195,0.00324,0.90711,0.91924,0.92332,0.00129,0.92132,0.92606,0.88868,0.00183,0.88605,0.89295,0.93842,0.00305,0.93201,0.94371,0.89507,0.00323,0.88923,0.90138,1.26758,0.14546,1.0885,1.5382
fc_none_opt-02_,0.92123,0.00161,0.917,0.92441,0.90642,0.00556,0.89451,0.9196,0.92123,0.00161,0.917,0.92441,0.88542,0.00249,0.87926,0.89029,0.93455,0.00354,0.92756,0.94055,0.8903,0.00365,0.88476,0.89807,1.26984,0.16148,1.0913,1.76088
fc_mm_0-100_opt-02_,0.9194,0.00418,0.91314,0.92606,0.89812,0.01455,0.87699,0.91924,0.9194,0.00418,0.91314,0.92606,0.88203,0.00702,0.87198,0.89295,0.93202,0.00736,0.9168,0.94371,0.89021,0.00601,0.87721,0.90138,1.26355,0.14721,1.06039,1.5382
fc_mm_0-10_opt-02_,0.91739,0.00458,0.90964,0.92606,0.89139,0.01544,0.86929,0.91924,0.91739,0.00458,0.90964,0.92606,0.87862,0.00767,0.8661,0.89295,0.92857,0.0084,0.91094,0.94371,0.88774,0.00665,0.8746,0.90138,1.24738,0.14377,1.02941,1.5382
fc_mm_0-1000_default_,0.91138,0.00463,0.90424,0.91781,0.86543,0.01478,0.84212,0.88573,0.91138,0.00463,0.90424,0.91781,0.86763,0.00794,0.85573,0.87818,0.91775,0.0099,0.90354,0.92959,0.88662,0.0035,0.88118,0.89222,1.38519,0.19996,1.15076,1.80631
fc_mm_0-1_opt-02_,0.91645,0.00437,0.90964,0.92606,0.88805,0.01467,0.86929,0.91924,0.91645,0.00437,0.90964,0.92606,0.87702,0.00732,0.8661,0.89295,0.9269,0.00821,0.91094,0.94371,0.88655,0.00645,0.87275,0.90138,1.23924,0.14109,1.02941,1.5382
fc_none_default_,0.91062,0.00464,0.90217,0.91679,0.86202,0.01475,0.83622,0.88023,0.91062,0.00464,0.90217,0.91679,0.86619,0.00803,0.85218,0.87677,0.91778,0.01037,0.90021,0.93079,0.88606,0.00403,0.87806,0.89332,1.41768,0.32835,1.15599,2.9114
fc_mm_0-100_default_,0.91013,0.00465,0.90144,0.91781,0.86145,0.01505,0.8353,0.88573,0.91013,0.00465,0.90144,0.91781,0.86544,0.00803,0.85134,0.87818,0.917,0.00987,0.90171,0.9296,0.88539,0.00362,0.87767,0.89222,1.3955,0.21272,1.15076,1.93679
