Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
lr_mm_0-1000_opt-01_,0.92707,0.00208,0.92435,0.93045,0.95537,0.0045,0.9448,0.96159,0.92707,0.00208,0.92435,0.93045,0.92071,0.00185,0.91793,0.92373,0.97046,0.0032,0.96739,0.97584,0.9618,0.0056,0.9565,0.97095,1.94962,0.27223,1.5887,2.36222
lr_mm_0-1000_opt-02_,0.92586,0.00225,0.92303,0.93043,0.95256,0.00347,0.94575,0.95872,0.92586,0.00225,0.92303,0.93043,0.91928,0.00211,0.91659,0.92374,0.96485,0.00215,0.96182,0.96855,0.95529,0.0043,0.94997,0.96263,2.01128,0.34784,1.57779,2.72036
lr_mm_0-1000_default_,0.92495,0.00101,0.92267,0.92686,0.92699,0.00859,0.91327,0.93767,0.92495,0.00101,0.92267,0.92686,0.91628,0.0014,0.9129,0.91853,0.94309,0.00646,0.93334,0.95121,0.93797,0.0013,0.93543,0.94052,2.06878,0.33447,1.66857,2.81044
lr_mm_0-100_opt-01_,0.9225,0.00511,0.91437,0.93045,0.95615,0.00367,0.9448,0.96159,0.9225,0.00511,0.91437,0.93045,0.91627,0.00498,0.90784,0.92373,0.9654,0.00581,0.95716,0.97584,0.95168,0.01147,0.9352,0.97095,1.99455,0.29173,1.5887,2.7831
lr_mm_0-100_default_,0.92158,0.00353,0.91611,0.92686,0.92007,0.01071,0.9016,0.93767,0.92158,0.00353,0.91611,0.92686,0.91223,0.00428,0.90557,0.91853,0.94127,0.0065,0.93042,0.95121,0.93579,0.0025,0.93126,0.94052,2.13464,0.36722,1.66857,3.05176
lr_mm_0-100_opt-02_,0.92155,0.005,0.91266,0.93043,0.95001,0.00424,0.94122,0.95872,0.92155,0.005,0.91266,0.93043,0.91478,0.00519,0.9053,0.92374,0.95843,0.00679,0.94912,0.96855,0.94379,0.01228,0.92649,0.96263,2.0173,0.35737,1.56082,2.8488
lr_std_default_,0.92148,0.00119,0.9193,0.92412,0.92025,0.00957,0.90393,0.93339,0.92148,0.00119,0.9193,0.92412,0.91216,0.00195,0.90855,0.91576,0.94052,0.00681,0.93042,0.94891,0.93601,0.0014,0.93355,0.93881,2.23158,0.42914,1.73399,3.17104
lr_none_opt-01_,0.92079,0.00214,0.91713,0.92608,0.95631,0.00294,0.94985,0.96255,0.92079,0.00214,0.91713,0.92608,0.91454,0.00213,0.91112,0.92022,0.96415,0.00203,0.9617,0.96817,0.95005,0.00377,0.94595,0.95719,2.00443,0.30495,1.63556,2.74407
lr_mm_0-10_default_,0.92035,0.00344,0.91501,0.92686,0.9177,0.01069,0.89829,0.93767,0.92035,0.00344,0.91501,0.92686,0.91077,0.00421,0.90462,0.91853,0.94034,0.00668,0.92868,0.95121,0.93503,0.00244,0.93126,0.94052,2.15772,0.37684,1.66857,3.20428
lr_mm_0-10_opt-01_,0.92007,0.00544,0.91279,0.93045,0.95461,0.00397,0.9448,0.96159,0.92007,0.00544,0.91279,0.93045,0.91373,0.00545,0.90639,0.92373,0.96329,0.00567,0.95716,0.97584,0.94808,0.01084,0.9352,0.97095,2.01551,0.29636,1.5887,2.7831
