Dataset,Precision,Recall,Accuracy,F1,ROC_AUC,P_R_AUC,Runtime(seconds)
fc_none,0.9236644798500468,0.9156341361548099,0.9236644798500468,0.8898058580802272,0.9570835257473321,0.9140237720777087,523.4183447360992
fc_none,0.9246107962086788,0.9178815967208533,0.9246107962086788,0.8908679927667269,0.9575007816268997,0.9141966885758097,521.4507756233215
fc_none,0.9278210511527715,0.9240264579839762,0.9278210511527715,0.8956160549008986,0.9590460126907985,0.9156967051854243,563.5511569976807
fc_none,0.9249964885996536,0.9187131516642681,0.9249964885996536,0.8917226152390393,0.9578777748312356,0.9149934419065523,552.4728589057922
fc_none,0.9230060727164868,0.9148106904231625,0.9230060727164868,0.8888287800919663,0.9573723645726818,0.9149501509105676,513.3162541389465
fc_none,0.9253297947076731,0.9143773532282806,0.9253297947076731,0.8916033994334278,0.9585695634707379,0.9163959248156321,540.4177408218384
fc_none,0.9242492855915926,0.9163459309065616,0.9242492855915926,0.8906767628963558,0.9578865813912196,0.9154648907842201,562.7960906028748
fc_none,0.9263882171219946,0.9185753014863981,0.9263882171219946,0.8928263141156695,0.9586044927176689,0.915251455675377,525.928514957428
fc_none,0.922870305301788,0.9125291103865859,0.922870305301788,0.888062915032976,0.9567274391323806,0.9136112007616001,533.460675239563
fc_none,0.924422236102436,0.9177922682813228,0.924422236102436,0.8906214689265537,0.9578176873860955,0.9132098982542538,555.2187502384186
fc_std,0.9276822391952891,0.9294324925816023,0.9276822391952891,0.896471535262287,0.9585442957449797,0.9170068381059441,506.6079194545746
fc_std,0.9273572978288355,0.9279078409513192,0.9273572978288355,0.8956642604133973,0.9588076275890629,0.9178462072677697,550.9485456943512
fc_std,0.9300732046139198,0.9293013749535489,0.9300732046139198,0.8993077407174324,0.9604972142685617,0.9207088623939862,560.3471124172211
fc_std,0.9287833364561864,0.9313364699305912,0.9287833364561864,0.8976137562574359,0.9597913867130783,0.918747885416008,567.0818631649017
fc_std,0.929019669060256,0.9285251365614295,0.929019669060256,0.898193135257372,0.959652252933716,0.9196687601302631,551.9275584220886
fc_std,0.9289438356592051,0.9309285548056784,0.9289438356592051,0.8978318445032994,0.959430045805825,0.9193650044469794,547.4605469703674
fc_std,0.9281319299122341,0.9278336125069794,0.9281319299122341,0.8965470731049366,0.959417695979764,0.9185823349073872,547.9636313915253
fc_std,0.9290487789644619,0.9295033081725841,0.9290487789644619,0.897754376490707,0.9598208561587702,0.9200114602737102,547.3614869117737
fc_std,0.927825231499555,0.9297472756781823,0.927825231499555,0.8966504181387238,0.9586503781241505,0.9173809549823102,554.6838607788086
fc_std,0.9285045270059319,0.9301916489213962,0.9285045270059319,0.8976947819871336,0.9583746679253162,0.9171034729392946,562.5329780578613
fc_mm_0-1,0.9263601592381547,0.9278110909682518,0.9263601592381547,0.8943253354840155,0.957367602988934,0.9149990705787898,562.9434814453125
fc_mm_0-1,0.9259103182407017,0.9253225656734428,0.9259103182407017,0.8936151139597948,0.9568070283488458,0.9163201042050865,570.9841356277466
fc_mm_0-1,0.9268399281979239,0.9272313550664066,0.9268399281979239,0.8949597723045203,0.9594609831597067,0.9194648981372479,528.0267064571381
fc_mm_0-1,0.9277362349157782,0.928173719376392,0.9277362349157782,0.8962967941393912,0.9588785178947897,0.9180928405307871,544.3681383132935
fc_mm_0-1,0.9278677262720729,0.9275921364502486,0.9278677262720729,0.8962683551124881,0.959332498641627,0.9190184186390398,547.4135751724243
fc_mm_0-1,0.9274936740495454,0.9283818393480792,0.9274936740495454,0.8957228861532931,0.957467235918216,0.9155205206497541,569.6926622390747
fc_mm_0-1,0.9282713600799588,0.9308988244006294,0.9282713600799588,0.8975211405876972,0.9583050401303398,0.918077821200968,549.5637812614441
