Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
fc_std_22_,0.92584,0.00313,0.92051,0.93007,0.919,0.01241,0.8992,0.93134,0.92584,0.00313,0.92051,0.93007,0.89273,0.00534,0.88372,0.89931,0.95504,0.00557,0.94681,0.9605,0.91071,0.01048,0.89404,0.92071,654.28758,165.30082,506.60792,902.28147
fc_mm_0-1_22_,0.92373,0.0037,0.91508,0.92978,0.91295,0.01335,0.88469,0.93093,0.92373,0.0037,0.91508,0.92978,0.88934,0.00611,0.87493,0.89876,0.9539,0.00531,0.94252,0.96015,0.90815,0.01076,0.88266,0.92075,601.03857,259.61611,29.22903,939.85365
fc_mm_0-10_22_,0.92321,0.00379,0.91508,0.92978,0.91085,0.01315,0.88469,0.93063,0.92321,0.00379,0.91508,0.92978,0.88845,0.00619,0.87493,0.89876,0.95358,0.00537,0.94252,0.96015,0.90739,0.01092,0.88266,0.92075,575.52123,282.80774,29.22903,939.85365
fc_mm_0-100_22_,0.92186,0.00346,0.91508,0.92764,0.90681,0.01189,0.88469,0.92436,0.92186,0.00346,0.91508,0.92764,0.88628,0.00562,0.87493,0.89545,0.95274,0.00528,0.94252,0.95981,0.90528,0.01112,0.88266,0.91882,529.12435,319.7967,29.22903,939.85365
fc_none_22_,0.92307,0.00257,0.9182,0.92782,0.90708,0.01124,0.88958,0.92403,0.92307,0.00257,0.9182,0.92782,0.88785,0.00452,0.87958,0.89562,0.95418,0.00514,0.94602,0.95905,0.90727,0.01097,0.89007,0.91661,523.80516,300.10886,139.96837,906.50251
fc_mm_0-1000_22_,0.91934,0.00225,0.91508,0.92324,0.90166,0.01016,0.88469,0.91848,0.91934,0.00225,0.91508,0.92324,0.88248,0.00391,0.87493,0.88937,0.95068,0.00458,0.94252,0.9557,0.90159,0.01059,0.88266,0.9135,501.41076,361.7825,29.22903,939.85365
fc_std_15_,0.92459,0.00379,0.9174,0.93024,0.91635,0.01508,0.89314,0.93522,0.92459,0.00379,0.9174,0.93024,0.89076,0.00651,0.8789,0.8996,0.95363,0.00679,0.94331,0.96111,0.90956,0.01129,0.89193,0.92241,202.58145,237.70155,45.39704,758.40345
fc_mm_0-1_15_,0.92306,0.00395,0.91378,0.92927,0.91074,0.01574,0.87955,0.93194,0.92306,0.00395,0.91378,0.92927,0.88819,0.00677,0.87269,0.89795,0.95284,0.00667,0.94032,0.96072,0.90753,0.01143,0.88312,0.922,135.97701,143.39507,9.56589,613.87003
fc_mm_0-10_15_,0.92257,0.00404,0.91378,0.92927,0.90893,0.01578,0.87955,0.93183,0.92257,0.00404,0.91378,0.92927,0.88735,0.00688,0.87269,0.89795,0.95259,0.00674,0.94032,0.96072,0.90674,0.01182,0.88312,0.922,87.23314,124.82659,9.56589,454.83675
fc_std_10_,0.92484,0.00099,0.92293,0.92659,0.91938,0.00524,0.90923,0.92752,0.92484,0.00099,0.92293,0.92659,0.89148,0.00172,0.88841,0.89464,0.95445,0.00208,0.95089,0.95707,0.90902,0.00568,0.89957,0.91517,42.65852,34.4595,18.03433,100.18912
fc_none_15_,0.92186,0.00307,0.9161,0.92574,0.90356,0.01403,0.88229,0.92217,0.92186,0.00307,0.9161,0.92574,0.88583,0.0055,0.87602,0.89201,0.95274,0.0067,0.94222,0.9593,0.90584,0.01209,0.88544,0.91685,41.93837,38.68613,14.50188,117.0035
fc_mm_0-100_15_,0.92158,0.00401,0.91378,0.92813,0.90521,0.01523,0.87955,0.9258,0.92158,0.00401,0.91378,0.92813,0.88569,0.00682,0.87269,0.89591,0.95205,0.00688,0.94032,0.96072,0.9052,0.01232,0.88312,0.92067,39.80494,50.40364,9.56589,163.31826
fc_mm_0-1_10_,0.92435,0.00191,0.91895,0.92804,0.91698,0.00609,0.90345,0.92988,0.92435,0.00191,0.91895,0.92804,0.89058,0.00295,0.8826,0.89653,0.95402,0.00195,0.9494,0.958,0.90799,0.00548,0.89608,0.91746,36.27847,28.55187,7.82777,118.37605
fc_mm_0-10_10_,0.92406,0.00204,0.91895,0.92804,0.91587,0.00611,0.90345,0.92736,0.92406,0.00204,0.91895,0.92804,0.89008,0.00314,0.8826,0.89653,0.95391,0.00197,0.94957,0.958,0.90768,0.00557,0.89608,0.91746,28.59127,29.08413,7.82777,118.37605
fc_mm_0-100_10_,0.92334,0.00199,0.91895,0.92697,0.91383,0.00565,0.90345,0.92614,0.92334,0.00199,0.91895,0.92697,0.88893,0.00299,0.8826,0.89435,0.9535,0.00179,0.94972,0.95697,0.9067,0.00543,0.89608,0.91474,17.50505,15.19319,7.82777,55.47535
