Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
lr_none_22_,0.91943,0.00157,0.91645,0.92161,0.94347,0.0091,0.93036,0.95634,0.91943,0.00157,0.91645,0.92161,0.91214,0.00106,0.91008,0.91403,0.9566,0.00243,0.95282,0.96015,0.93671,0.00681,0.92549,0.9442,1754.43925,1044.07176,426.51043,3048.0767
lr_none_15_,0.91887,0.00137,0.91618,0.92187,0.93891,0.01033,0.92399,0.95106,0.91887,0.00137,0.91618,0.92187,0.91117,0.00093,0.90938,0.91321,0.95531,0.00305,0.95032,0.95926,0.93485,0.00741,0.92227,0.94205,109.71504,114.17037,29.66161,301.51797
lr_none_10_,0.90795,0.00363,0.90345,0.91452,0.92442,0.00319,0.9196,0.93212,0.90795,0.00363,0.90345,0.91452,0.89903,0.00384,0.89457,0.90615,0.94618,0.00232,0.94265,0.95004,0.92099,0.00163,0.9178,0.92391,40.0506,31.29459,17.20748,98.30046
lr_std_22_,0.91409,0.00177,0.91035,0.91755,0.93543,0.00673,0.92458,0.94327,0.91409,0.00177,0.91035,0.91755,0.90612,0.00144,0.903,0.90884,0.95216,0.0019,0.94865,0.95594,0.93205,0.00563,0.92225,0.93937,2071.94461,639.65044,1431.92078,3080.28097
lr_std_15_,0.91226,0.00146,0.9095,0.91507,0.92966,0.00868,0.91518,0.93837,0.91226,0.00146,0.9095,0.91507,0.90378,0.00109,0.90158,0.90565,0.95011,0.00252,0.94504,0.95355,0.92931,0.00635,0.91781,0.93578,405.21543,429.54402,103.42107,1012.57978
lr_std_10_,0.90807,0.00354,0.90335,0.91467,0.92604,0.00393,0.91834,0.93356,0.90807,0.00354,0.90335,0.91467,0.8993,0.00382,0.89395,0.90658,0.94575,0.00225,0.94258,0.9499,0.92155,0.00166,0.91875,0.92461,104.88874,84.46415,43.82207,231.62575
lr_mm_0-1_22_,0.91636,0.00283,0.91084,0.92197,0.94049,0.00796,0.92622,0.95566,0.91636,0.00283,0.91084,0.92197,0.9088,0.00285,0.9033,0.91403,0.95384,0.00298,0.94804,0.96038,0.93364,0.00656,0.92075,0.94469,1965.20594,913.235,61.72163,3092.6806
lr_mm_0-1_15_,0.91549,0.00297,0.91015,0.92114,0.93623,0.00897,0.92249,0.95065,0.91549,0.00297,0.91015,0.92114,0.90758,0.00288,0.90247,0.91277,0.95257,0.0034,0.94627,0.95917,0.932,0.00688,0.91983,0.94164,330.07036,384.9496,20.60895,1344.17826
lr_mm_0-1_10_,0.9093,0.00338,0.9037,0.91556,0.9279,0.00384,0.91886,0.93494,0.9093,0.00338,0.9037,0.91556,0.90067,0.00364,0.89481,0.90724,0.94679,0.00212,0.94266,0.95077,0.92234,0.00186,0.91662,0.92669,93.20469,90.83972,16.02294,355.70069
lr_mm_0-10_22_,0.91727,0.00254,0.91196,0.92197,0.94155,0.00809,0.92793,0.95566,0.91727,0.00254,0.91196,0.92197,0.90979,0.0025,0.90445,0.91403,0.95466,0.00287,0.9488,0.96038,0.93444,0.0068,0.92075,0.94469,1871.87085,989.51401,61.72163,3079.52967
