Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
fc_mm_0-1000_22_opt-01,0.92091,0.00096,0.91924,0.92277,0.90535,0.00283,0.90168,0.91027,0.92091,0.00096,0.91924,0.92277,0.88494,0.00146,0.88249,0.88772,0.95372,0.00092,0.95231,0.95507,0.90884,0.00181,0.90553,0.91171,910.1731,19.79551,885.4409,939.85365
fc_mm_0-100_22_opt-01,0.9233,0.00261,0.91924,0.92737,0.91133,0.00661,0.90168,0.92177,0.9233,0.00261,0.91924,0.92737,0.88863,0.00401,0.88249,0.89426,0.95594,0.00245,0.95231,0.95981,0.91246,0.00413,0.90553,0.91882,900.16639,20.47075,862.0078,939.85365
fc_mm_0-10_22_opt-01,0.92472,0.00299,0.91924,0.92905,0.91643,0.00921,0.90168,0.93063,0.92472,0.00299,0.91924,0.92905,0.89097,0.00475,0.88249,0.89787,0.95686,0.00244,0.95231,0.96009,0.91415,0.00425,0.90553,0.9195,894.3036,20.20304,859.67486,939.85365
fc_mm_0-1_22_opt-01,0.92537,0.00286,0.91924,0.92905,0.91901,0.00917,0.90168,0.93063,0.92537,0.00286,0.91924,0.92905,0.89207,0.00457,0.88249,0.89787,0.95723,0.00225,0.95231,0.96009,0.91488,0.00405,0.90553,0.91979,892.2192,19.24376,856.85732,939.85365
fc_std_22_opt-01,0.92717,0.00126,0.92545,0.9297,0.92555,0.00148,0.92307,0.92776,0.92717,0.00126,0.92545,0.9297,0.89515,0.00157,0.89297,0.89822,0.95843,0.00093,0.95713,0.96018,0.91717,0.00192,0.91501,0.92062,882.94407,18.3219,853.045,902.28147
fc_none_22_opt-01,0.92463,0.00075,0.92348,0.9257,0.91208,0.00185,0.90947,0.91479,0.92463,0.00075,0.92348,0.9257,0.89051,0.00115,0.88865,0.89216,0.95758,0.00072,0.95609,0.95849,0.91494,0.00129,0.9131,0.91661,876.82187,16.09987,853.91888,906.50251
fc_mm_0-1_22_default,0.9254,0.00332,0.91721,0.92978,0.92219,0.00735,0.90621,0.93093,0.9254,0.00332,0.91721,0.92978,0.89249,0.00504,0.88011,0.89876,0.95739,0.00237,0.95209,0.96015,0.91522,0.00434,0.90584,0.92075,551.17774,15.1267,520.41007,578.97666
fc_mm_0-10_22_default,0.9248,0.00363,0.91721,0.92978,0.92015,0.0074,0.90621,0.93024,0.9248,0.00363,0.91721,0.92978,0.8915,0.00545,0.88011,0.89876,0.95708,0.00261,0.95209,0.96015,0.91445,0.00469,0.90584,0.92075,551.02913,14.67174,521.34463,578.97666
fc_mm_0-100_22_default,0.92328,0.00343,0.91721,0.92764,0.91651,0.00621,0.90621,0.92436,0.92328,0.00343,0.91721,0.92764,0.88915,0.00508,0.88011,0.89545,0.95616,0.00266,0.95209,0.95958,0.91255,0.00441,0.90584,0.91878,550.69042,14.89169,521.34463,578.97666
fc_mm_0-1000_22_default,0.92023,0.00188,0.91721,0.92324,0.91103,0.00338,0.90621,0.91848,0.92023,0.00188,0.91721,0.92324,0.88464,0.0028,0.88011,0.88937,0.95377,0.00133,0.95209,0.9557,0.90872,0.00256,0.90584,0.9135,550.40072,13.34638,521.34463,569.31101
fc_std_22_default,0.92854,0.00081,0.92736,0.93007,0.92947,0.00117,0.92783,0.93134,0.92854,0.00081,0.92736,0.93007,0.89737,0.00105,0.89566,0.89931,0.9593,0.00068,0.95837,0.9605,0.91864,0.00129,0.91701,0.92071,549.69155,16.60643,506.60792,567.08186
fc_none_22_default,0.92474,0.00151,0.92287,0.92782,0.91707,0.00316,0.91253,0.92403,0.92474,0.00151,0.92287,0.92782,0.89106,0.00212,0.88806,0.89562,0.95785,0.00072,0.95673,0.95905,0.91478,0.001,0.91321,0.9164,539.20312,18.33982,513.31625,563.55116
fc_std_22_opt-02,0.9218,0.00109,0.92051,0.92349,0.90199,0.00135,0.8992,0.90377,0.9218,0.00109,0.92051,0.92349,0.88566,0.00151,0.88372,0.88825,0.94737,0.00048,0.94681,0.94817,0.89633,0.00153,0.89404,0.89844,530.22712,9.14194,514.61794,546.34009
fc_std_15_opt-02,0.91958,0.0012,0.9174,0.92091,0.89576,0.00248,0.89314,0.9004,0.91958,0.0012,0.9174,0.92091,0.88206,0.00178,0.8789,0.88408,0.9443,0.00077,0.94331,0.94581,0.89414,0.00161,0.89193,0.89679,510.15542,156.11912,368.59234,758.40345
fc_mm_0-1_22_opt-02,0.92043,0.00243,0.91508,0.92449,0.89766,0.00635,0.88469,0.90599,0.92043,0.00243,0.91508,0.92449,0.88346,0.0038,0.87493,0.88979,0.94707,0.00191,0.94252,0.95002,0.89434,0.005,0.88266,0.90286,359.71877,236.26341,29.22903,611.87394
fc_mm_0-10_22_opt-02,0.9201,0.00264,0.91508,0.92449,0.89598,0.00639,0.88469,0.90599,0.9201,0.00264,0.91508,0.92449,0.88288,0.00411,0.87493,0.88979,0.94679,0.00202,0.94252,0.95001,0.89357,0.00541,0.88266,0.90286,281.23095,222.47009,29.22903,610.80704
fc_mm_0-1_15_opt-02,0.91854,0.00222,0.91378,0.92227,0.89084,0.00656,0.87955,0.90164,0.91854,0.00222,0.91378,0.92227,0.88016,0.00359,0.87269,0.88565,0.94374,0.00162,0.94032,0.94646,0.89234,0.00472,0.88312,0.89996,235.9961,167.06255,27.66151,613.87003
fc_mm_0-10_15_opt-02,0.91802,0.00227,0.91378,0.9219,0.88905,0.00649,0.87955,0.90164,0.91802,0.00227,0.91378,0.9219,0.87926,0.00363,0.87269,0.88546,0.94344,0.00175,0.94032,0.94646,0.89103,0.00465,0.88312,0.89996,199.17438,164.65449,27.66151,454.83675
fc_none_22_opt-02,0.91984,0.00105,0.9182,0.9218,0.89208,0.00228,0.88958,0.89608,0.91984,0.00105,0.9182,0.9218,0.88199,0.00162,0.87958,0.88479,0.9471,0.0008,0.94602,0.94854,0.89211,0.00132,0.89007,0.89351,155.39049,8.57598,139.96837,169.28371
fc_mm_0-100_22_opt-02,0.91902,0.00241,0.91508,0.92281,0.89258,0.00483,0.88469,0.9002,0.91902,0.00241,0.91508,0.92281,0.88105,0.00361,0.87493,0.88627,0.94612,0.0021,0.94252,0.95001,0.89083,0.00427,0.88266,0.89744,136.51624,96.29502,29.22903,256.36853
fc_none_15_opt-02,0.91782,0.00107,0.9161,0.91945,0.88452,0.00268,0.88229,0.89017,0.91782,0.00107,0.9161,0.91945,0.87846,0.00162,0.87602,0.88116,0.94349,0.00064,0.94222,0.94423,0.88918,0.00202,0.88544,0.89204,95.28238,8.82372,84.93948,117.0035
fc_mm_0-100_15_opt-02,0.91696,0.00193,0.91378,0.9204,0.88515,0.00353,0.87955,0.89244,0.91696,0.00193,0.91378,0.9204,0.87742,0.00287,0.87269,0.88211,0.94274,0.00158,0.94032,0.94519,0.88863,0.00338,0.88312,0.89408,90.41739,61.6523,27.66151,163.31826
fc_std_10_opt-02,0.9244,0.00088,0.92321,0.92576,0.91311,0.00283,0.90923,0.91832,0.9244,0.00088,0.92321,0.92576,0.89019,0.00124,0.88841,0.89216,0.9518,0.00064,0.95089,0.95272,0.90155,0.0018,0.89957,0.90574,90.23772,7.2549,80.92159,100.18912
fc_mm_0-1_15_default,0.92545,0.00249,0.92019,0.92927,0.92228,0.00674,0.9089,0.93194,0.92545,0.00249,0.92019,0.92927,0.89255,0.00384,0.8843,0.89795,0.95757,0.00177,0.95309,0.96072,0.9153,0.00352,0.90729,0.922,86.15592,99.96047,9.56589,266.62877
fc_mm_0-1_15_opt-01,0.9252,0.00224,0.92056,0.92813,0.91909,0.00729,0.90656,0.9283,0.9252,0.00224,0.92056,0.92813,0.89188,0.00355,0.88452,0.8964,0.95723,0.00149,0.95432,0.95897,0.91496,0.00293,0.90891,0.91883,85.77902,97.20266,9.96641,258.2113
fc_mm_0-1_10_opt-02,0.92458,0.00146,0.92018,0.92665,0.91265,0.00379,0.90345,0.91916,0.92458,0.00146,0.92018,0.92665,0.89041,0.00226,0.88364,0.8938,0.95187,0.00112,0.9494,0.95444,0.90118,0.00258,0.89608,0.90613,57.6473,30.47678,15.14149,118.37605
fc_mm_0-10_10_opt-02,0.92436,0.00157,0.92018,0.92665,0.91194,0.0041,0.90345,0.91916,0.92436,0.00157,0.92018,0.92665,0.89002,0.0024,0.88364,0.8938,0.95181,0.00118,0.94957,0.95444,0.90088,0.00274,0.89608,0.90613,56.75663,35.1783,15.14149,118.37605
fc_std_15_default,0.92711,0.00161,0.92526,0.93024,0.92768,0.00382,0.92103,0.93522,0.92711,0.00161,0.92526,0.93024,0.8952,0.00246,0.89199,0.8996,0.95831,0.0015,0.95633,0.96111,0.91687,0.00317,0.91233,0.92241,49.37343,3.9002,45.39704,59.53204
fc_std_15_opt-01,0.92707,0.00064,0.92601,0.92819,0.9256,0.00182,0.92259,0.92827,0.92707,0.00064,0.92601,0.92819,0.89503,0.00099,0.89339,0.89671,0.95828,0.00067,0.95696,0.95922,0.91766,0.00122,0.91494,0.91922,48.21549,1.83774,45.56585,51.67515
fc_mm_0-1000_22_opt-02,0.91689,0.00123,0.91508,0.91885,0.88858,0.00321,0.88469,0.89472,0.91689,0.00123,0.91508,0.91885,0.87786,0.0019,0.87493,0.88103,0.94455,0.00158,0.94252,0.94688,0.88721,0.00257,0.88266,0.89022,43.65846,6.1696,29.22903,50.98962
