Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
lr_none_22_default,0.91747,0.00059,0.91645,0.91822,0.95428,0.00136,0.95171,0.95634,0.91747,0.00059,0.91645,0.91822,0.91114,0.00064,0.91008,0.91189,0.95697,0.00053,0.95613,0.958,0.94009,0.00072,0.93919,0.94183,1835.61766,48.9524,1777.88024,1942.70814
lr_mm_0-100_22_default,0.91701,0.00128,0.91532,0.91988,0.95357,0.00141,0.9514,0.95566,0.91701,0.00128,0.91532,0.91988,0.91054,0.00131,0.90883,0.91349,0.95604,0.00089,0.95477,0.95757,0.9386,0.00122,0.93655,0.94075,1855.85143,45.13098,1774.2362,1956.7713
lr_mm_0-1000_22_default,0.91604,0.00048,0.91532,0.91672,0.95328,0.00142,0.95152,0.95566,0.91604,0.00048,0.91532,0.91672,0.90958,0.00055,0.90883,0.91056,0.95536,0.00029,0.95477,0.95571,0.93774,0.0005,0.93655,0.93825,1860.00984,45.72181,1774.2362,1908.40841
lr_mm_0-10_22_default,0.91558,0.00232,0.91196,0.91988,0.95006,0.00524,0.94112,0.95566,0.91558,0.00232,0.91196,0.91988,0.90883,0.0027,0.90445,0.91349,0.95489,0.00182,0.95192,0.95757,0.93747,0.00194,0.93439,0.94075,1847.59917,44.16577,1774.2362,1956.7713
lr_none_15_default,0.91741,0.00089,0.91618,0.91887,0.94997,0.00071,0.94879,0.95106,0.91741,0.00089,0.91618,0.91887,0.91066,0.00092,0.90938,0.91214,0.95671,0.00052,0.95595,0.95761,0.93923,0.00086,0.93779,0.94036,30.26586,0.37603,29.66161,30.71757
lr_mm_0-1000_15_default,0.91489,0.00042,0.91391,0.91555,0.94898,0.00065,0.94781,0.95012,0.91489,0.00042,0.91391,0.91555,0.90813,0.00041,0.90716,0.90878,0.95508,0.00048,0.95414,0.95604,0.93682,0.00062,0.93564,0.93787,21.64721,0.68358,20.78138,22.9049
lr_mm_0-100_15_default,0.9158,0.00122,0.91391,0.91862,0.94887,0.00097,0.94731,0.95065,0.9158,0.00122,0.91391,0.91862,0.90899,0.00122,0.90716,0.91182,0.9554,0.0007,0.95414,0.95724,0.93731,0.00105,0.93564,0.94004,26.72038,5.23756,20.78138,32.86684
lr_mm_0-1_22_default,0.91469,0.00257,0.91084,0.91988,0.94811,0.00571,0.94,0.95566,0.91469,0.00257,0.91084,0.91988,0.90779,0.00298,0.9033,0.91349,0.9541,0.0021,0.95127,0.95757,0.93663,0.00225,0.93325,0.94075,1839.77703,48.78355,1735.19131,1956.7713
lr_mm_0-10_15_default,0.91435,0.00235,0.91037,0.91862,0.94586,0.00451,0.93714,0.95065,0.91435,0.00235,0.91037,0.91862,0.90731,0.00267,0.90271,0.91182,0.95409,0.002,0.95057,0.95724,0.9361,0.002,0.93246,0.94004,57.98882,45.21939,20.78138,126.47524
lr_mm_0-1_15_default,0.91357,0.0025,0.91015,0.91862,0.94425,0.00485,0.93714,0.95065,0.91357,0.0025,0.91015,0.91862,0.90639,0.00284,0.90247,0.91182,0.95334,0.00219,0.95019,0.95724,0.93537,0.00218,0.93197,0.94004,189.66735,234.53579,20.78138,626.9073
lr_none_22_opt-01,0.92027,0.00082,0.91836,0.92123,0.94355,0.00095,0.94243,0.9449,0.92027,0.00082,0.91836,0.92123,0.913,0.00081,0.91105,0.91403,0.95923,0.00073,0.95797,0.96015,0.94259,0.00115,0.94069,0.9442,2967.93648,54.97975,2863.05162,3048.0767
lr_mm_0-100_22_opt-01,0.91919,0.00115,0.91725,0.92132,0.94273,0.00159,0.9393,0.94552,0.91919,0.00115,0.91725,0.92132,0.91183,0.00125,0.90978,0.91403,0.95861,0.00089,0.95748,0.96038,0.94168,0.00143,0.94006,0.94469,2989.94921,55.55505,2897.66112,3079.52967
lr_mm_0-10_22_opt-01,0.9177,0.00244,0.9129,0.92132,0.94245,0.00156,0.9393,0.94552,0.9177,0.00244,0.9129,0.92132,0.91034,0.00249,0.9054,0.91403,0.95716,0.00223,0.95309,0.96038,0.94026,0.00243,0.93606,0.94469,2994.84297,53.0007,2897.66112,3079.52967
lr_mm_0-1_22_opt-01,0.9167,0.00277,0.91231,0.92132,0.94221,0.00165,0.93819,0.94552,0.9167,0.00277,0.91231,0.92132,0.90931,0.00283,0.90454,0.91403,0.95611,0.00269,0.95186,0.96038,0.93906,0.00299,0.93418,0.94469,2999.23946,54.92788,2892.64676,3092.6806
lr_mm_0-1000_22_opt-01,0.91835,0.00061,0.91725,0.91914,0.94168,0.00113,0.9393,0.94309,0.91835,0.00061,0.91725,0.91914,0.91091,0.00066,0.90978,0.91171,0.958,0.00043,0.95748,0.95876,0.94061,0.00055,0.94006,0.94152,3030.46492,32.54924,2960.76668,3079.52967
lr_none_15_opt-01,0.91913,0.00073,0.91821,0.92037,0.94122,0.00131,0.93965,0.94338,0.91913,0.00073,0.91821,0.92037,0.91163,0.00081,0.91043,0.91291,0.95799,0.00066,0.95723,0.95926,0.94064,0.0008,0.93954,0.94205,30.87612,0.29809,30.56211,31.60282
lr_mm_0-100_15_opt-01,0.91857,0.001,0.91629,0.92031,0.94102,0.00191,0.93748,0.94474,0.91857,0.001,0.91629,0.92031,0.91103,0.00113,0.90854,0.91277,0.95787,0.00065,0.9565,0.95917,0.94026,0.00098,0.93773,0.94164,26.48291,5.33794,20.60895,32.754
lr_std_22_default,0.91249,0.00125,0.91035,0.91451,0.94093,0.00131,0.93916,0.94327,0.91249,0.00125,0.91035,0.91451,0.90509,0.00128,0.903,0.90708,0.95255,0.00079,0.95113,0.95369,0.93499,0.00084,0.93361,0.93589,1802.44795,46.25856,1717.54451,1858.93098
lr_mm_0-10_15_opt-01,0.91679,0.00273,0.91182,0.92031,0.94043,0.00187,0.93726,0.94474,0.91679,0.00273,0.91182,0.92031,0.90921,0.00282,0.90421,0.91277,0.95614,0.00258,0.95103,0.95917,0.93849,0.00275,0.93319,0.94164,55.10374,41.40536,20.60895,114.4454
lr_mm_0-1000_15_opt-01,0.91849,0.00091,0.9171,0.92031,0.94013,0.00142,0.93748,0.94254,0.91849,0.00091,0.9171,0.92031,0.91089,0.00099,0.90931,0.91277,0.95789,0.00077,0.9565,0.95917,0.93995,0.00116,0.93773,0.9415,21.33567,0.86976,20.60895,23.65801
lr_mm_0-1_15_opt-01,0.91571,0.00306,0.91098,0.92031,0.93971,0.00227,0.9336,0.94474,0.91571,0.00306,0.91098,0.92031,0.90811,0.00316,0.90298,0.91277,0.9552,0.00279,0.95103,0.95917,0.93764,0.00283,0.93319,0.94164,178.1827,219.10047,20.60895,585.54437
lr_std_22_opt-01,0.91402,0.00116,0.91185,0.91573,0.93902,0.00172,0.93589,0.94182,0.91402,0.00116,0.91185,0.91573,0.90637,0.00124,0.90406,0.90819,0.95399,0.00097,0.95282,0.95594,0.93671,0.00122,0.93506,0.93937,2938.35065,69.19529,2850.62189,3080.28097
lr_std_15_default,0.91104,0.00099,0.9095,0.9131,0.93606,0.00144,0.93383,0.93837,0.91104,0.00099,0.9095,0.9131,0.90319,0.00106,0.90158,0.90554,0.95131,0.00061,0.95041,0.95245,0.93299,0.00095,0.93126,0.9343,108.3673,0.63982,107.17107,109.2185
lr_std_15_opt-01,0.91199,0.00075,0.91071,0.91338,0.9351,0.00132,0.93331,0.93689,0.91199,0.00075,0.91071,0.91338,0.90399,0.00081,0.90264,0.90553,0.95224,0.00063,0.95109,0.95355,0.9343,0.00081,0.93295,0.93578,104.82641,0.87372,103.42107,105.99989
lr_mm_0-100_22_opt-02,0.91952,0.00144,0.91752,0.92197,0.93297,0.00158,0.93031,0.93601,0.91952,0.00144,0.91752,0.92197,0.91129,0.00149,0.90928,0.91397,0.9527,0.00143,0.95008,0.95485,0.92575,0.003,0.92075,0.93082,333.33487,263.25242,61.72163,643.98742
lr_mm_0-1000_10_opt-02,0.91427,0.00082,0.9127,0.91556,0.93265,0.00172,0.92967,0.93474,0.91427,0.00082,0.9127,0.91556,0.90605,0.00081,0.90438,0.90724,0.94966,0.00076,0.9485,0.95077,0.91904,0.00146,0.91662,0.9213,36.31806,6.24728,28.67864,47.29333
lr_none_22_opt-02,0.92053,0.00072,0.91933,0.92161,0.93256,0.00134,0.93036,0.93468,0.92053,0.00072,0.91933,0.92161,0.91229,0.00079,0.91101,0.91333,0.9536,0.00066,0.95282,0.9548,0.92747,0.00126,0.92549,0.92939,459.76361,33.68609,426.51043,514.84057
lr_mm_0-1000_22_opt-02,0.91826,0.00046,0.91752,0.91906,0.93232,0.00126,0.93063,0.93459,0.91826,0.00046,0.91752,0.91906,0.90998,0.0004,0.90928,0.91061,0.95146,0.00068,0.95008,0.95266,0.9231,0.0014,0.92075,0.92605,77.9735,12.60645,61.72163,102.23265
lr_mm_0-10_22_opt-02,0.91853,0.00192,0.91474,0.92197,0.93213,0.00188,0.92793,0.93601,0.91853,0.00192,0.91474,0.92197,0.91022,0.00205,0.90617,0.91397,0.95194,0.00166,0.9488,0.95485,0.92559,0.00257,0.92075,0.93082,773.1704,668.02084,61.72163,1739.63209
lr_mm_0-10_10_opt-02,0.91386,0.00085,0.91193,0.91556,0.93192,0.00174,0.92854,0.93494,0.91386,0.00085,0.91193,0.91556,0.90556,0.00089,0.90378,0.90724,0.94961,0.00072,0.94781,0.95077,0.92039,0.0016,0.91662,0.92271,153.30149,124.71488,28.67864,355.70069
lr_mm_0-1_10_opt-02,0.91374,0.00085,0.91193,0.91556,0.93184,0.00168,0.92854,0.93494,0.91374,0.00085,0.91193,0.91556,0.90542,0.0009,0.90378,0.90724,0.94949,0.00075,0.94781,0.95077,0.92043,0.00148,0.91662,0.92271,157.82386,107.83978,28.67864,355.70069
lr_mm_0-100_10_opt-02,0.9141,0.00078,0.91252,0.91556,0.93183,0.00183,0.92854,0.93474,0.9141,0.00078,0.91252,0.91556,0.90579,0.00084,0.90385,0.90724,0.94975,0.00058,0.9485,0.95077,0.92011,0.00161,0.91662,0.92236,69.14859,34.37524,28.67864,115.81451
lr_mm_0-1_22_opt-02,0.9177,0.00229,0.91373,0.92197,0.93116,0.00246,0.92622,0.93601,0.9177,0.00229,0.91373,0.92197,0.9093,0.00249,0.90483,0.91397,0.95131,0.00186,0.94804,0.95485,0.92525,0.00243,0.92075,0.93082,1056.60133,761.48469,61.72163,2008.67728
lr_std_10_opt-02,0.91278,0.00104,0.91146,0.91467,0.93055,0.00175,0.92794,0.93356,0.91278,0.00104,0.91146,0.91467,0.90437,0.00119,0.90285,0.90658,0.94868,0.00051,0.94821,0.9499,0.91984,0.00087,0.91875,0.92159,222.25492,4.86084,216.25558,231.62575
lr_mm_0-1000_10_default,0.90765,0.00143,0.90464,0.90926,0.92867,0.00288,0.92396,0.93326,0.90765,0.00143,0.90464,0.90926,0.89908,0.0017,0.89559,0.90106,0.94607,0.00101,0.94439,0.94791,0.92329,0.00142,0.92129,0.92605,16.92725,0.10374,16.80087,17.06533
lr_none_10_opt-02,0.91283,0.00079,0.91194,0.91452,0.92781,0.00192,0.92542,0.93212,0.91283,0.00079,0.91194,0.91452,0.90419,0.0009,0.90307,0.90615,0.94918,0.00058,0.94831,0.95004,0.91952,0.00097,0.9178,0.92062,83.3062,5.99874,75.85152,98.30046
lr_mm_0-1_10_default,0.90682,0.00135,0.9037,0.90926,0.92674,0.0032,0.91958,0.93326,0.90682,0.00135,0.9037,0.90926,0.89809,0.0016,0.89481,0.90106,0.94521,0.00094,0.94365,0.94791,0.9229,0.00111,0.92129,0.92605,64.29228,62.90233,16.80087,170.98349
lr_mm_0-100_10_default,0.90688,0.00158,0.9037,0.90926,0.92659,0.00367,0.91958,0.93326,0.90688,0.00158,0.9037,0.90926,0.89813,0.00186,0.89481,0.90106,0.94563,0.00093,0.94439,0.94791,0.92318,0.0011,0.92129,0.92605,17.87488,0.98566,16.80087,19.15985
lr_mm_0-10_10_default,0.90681,0.0014,0.9037,0.90926,0.92649,0.00339,0.91958,0.93326,0.90681,0.0014,0.9037,0.90926,0.89806,0.00166,0.89481,0.90106,0.94537,0.00094,0.94365,0.94791,0.923,0.0011,0.92129,0.92605,29.37487,16.59065,16.80087,56.76996
lr_std_22_opt-02,0.91574,0.00113,0.91389,0.91755,0.92633,0.00122,0.92458,0.92793,0.91574,0.00113,0.91389,0.91755,0.90691,0.00126,0.90489,0.90884,0.94995,0.00085,0.94865,0.95143,0.92444,0.00143,0.92225,0.92708,1475.03521,28.26463,1431.92078,1501.26608
lr_mm_0-1000_10_opt-01,0.90839,0.001,0.90661,0.91008,0.92606,0.00239,0.92169,0.92967,0.90839,0.001,0.90661,0.91008,0.89961,0.0012,0.89739,0.90141,0.94646,0.00065,0.94524,0.94733,0.924,0.00106,0.9228,0.92532,16.42219,0.31094,16.02294,16.94365
lr_mm_0-100_15_opt-02,0.91903,0.00125,0.91699,0.92114,0.92577,0.00144,0.92364,0.92886,0.91903,0.00125,0.91699,0.92114,0.91017,0.00136,0.90788,0.91248,0.95068,0.00111,0.94888,0.95278,0.92376,0.00239,0.91983,0.92831,203.53078,158.8718,42.15845,441.25939
lr_none_15_opt-02,0.92007,0.00084,0.91922,0.92187,0.92555,0.00117,0.92399,0.92796,0.92007,0.00084,0.91922,0.92187,0.91123,0.00089,0.91038,0.91321,0.95122,0.00071,0.95032,0.95237,0.92467,0.00133,0.92227,0.92692,268.00313,15.5656,250.16153,301.51797
lr_mm_0-1000_15_opt-02,0.91803,0.0007,0.91699,0.91886,0.92513,0.00107,0.92364,0.92684,0.91803,0.0007,0.91699,0.91886,0.90909,0.00072,0.90788,0.90983,0.94981,0.00058,0.94888,0.95055,0.92179,0.00114,0.91983,0.92324,51.69412,7.09263,42.15845,65.53993
lr_mm_0-1_10_opt-01,0.90735,0.00135,0.90411,0.91008,0.92511,0.0026,0.91886,0.92967,0.90735,0.00135,0.90411,0.91008,0.8985,0.00151,0.89499,0.90141,0.94568,0.00098,0.94266,0.94779,0.9237,0.0011,0.9206,0.92669,57.49793,56.07926,16.02294,155.86545
lr_mm_0-10_15_opt-02,0.9178,0.00207,0.91437,0.92114,0.92502,0.0017,0.92249,0.92886,0.9178,0.00207,0.91437,0.92114,0.90888,0.0022,0.90512,0.91248,0.94972,0.0017,0.94688,0.95278,0.92334,0.00215,0.91983,0.92831,555.17537,523.38698,42.15845,1344.17826
