Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
fc_std_default_,0.92687,0.00188,0.92293,0.93024,0.92631,0.00431,0.91649,0.93522,0.92687,0.00188,0.92293,0.93024,0.89483,0.00286,0.88903,0.8996,0.95782,0.00182,0.95421,0.96111,0.9161,0.00331,0.90959,0.92241,205.98923,247.69514,18.30321,567.08186
fc_std_opt-01_,0.92646,0.00135,0.9236,0.9297,0.9248,0.00217,0.91922,0.92827,0.92646,0.00135,0.9236,0.9297,0.89417,0.00191,0.88971,0.89822,0.95747,0.00152,0.95456,0.96018,0.91586,0.00282,0.90949,0.92062,316.6649,407.57702,18.03433,902.28147
fc_mm_0-1_default_,0.92494,0.00283,0.91721,0.92978,0.92111,0.00694,0.90601,0.93194,0.92494,0.00283,0.91721,0.92978,0.89177,0.00433,0.88011,0.89876,0.95664,0.00221,0.95165,0.96072,0.91386,0.00411,0.90392,0.922,221.24493,242.88257,7.94308,578.97666
fc_mm_0-1_opt-01_,0.92502,0.00233,0.91924,0.92905,0.91917,0.00741,0.90168,0.93063,0.92502,0.00233,0.91924,0.92905,0.89167,0.00369,0.88249,0.89787,0.95657,0.00192,0.95231,0.96009,0.91385,0.0035,0.90553,0.91979,334.26173,401.16409,7.82777,939.85365
fc_mm_0-10_default_,0.92446,0.00305,0.91721,0.92978,0.91933,0.00697,0.90601,0.93183,0.92446,0.00305,0.91721,0.92978,0.89096,0.00461,0.88011,0.89876,0.95644,0.00237,0.95165,0.96072,0.9134,0.00434,0.90392,0.922,198.73825,251.16518,7.94308,578.97666
fc_none_default_,0.92415,0.00119,0.9224,0.92782,0.91587,0.00315,0.909,0.92403,0.92415,0.00119,0.9224,0.92782,0.89021,0.00174,0.88724,0.89562,0.95676,0.00161,0.95371,0.9593,0.91329,0.00244,0.90741,0.91685,187.67627,253.03394,8.70366,563.55116
fc_none_opt-01_,0.92431,0.00099,0.92216,0.92574,0.91326,0.0033,0.90852,0.92086,0.92431,0.00099,0.92216,0.92574,0.89016,0.0015,0.88725,0.89216,0.95659,0.00134,0.95398,0.95862,0.91325,0.00208,0.90943,0.91661,300.48056,414.60923,8.48555,906.50251
fc_mm_0-10_opt-01_,0.92456,0.0024,0.91924,0.92905,0.91734,0.00756,0.90168,0.93063,0.92456,0.0024,0.91924,0.92905,0.89087,0.0038,0.88249,0.89787,0.95629,0.00197,0.95231,0.96009,0.91325,0.00354,0.90553,0.9195,313.55339,413.45979,7.82777,939.85365
fc_mm_0-100_default_,0.9233,0.0029,0.91721,0.92785,0.91622,0.00599,0.90601,0.92614,0.9233,0.0029,0.91721,0.92785,0.88915,0.00435,0.88011,0.89591,0.95581,0.00238,0.95165,0.96072,0.91204,0.00417,0.90392,0.92067,191.32168,256.41971,7.94308,578.97666
fc_mm_0-100_opt-01_,0.92352,0.00217,0.91924,0.92813,0.91348,0.00609,0.90168,0.9247,0.92352,0.00217,0.91924,0.92813,0.88914,0.00332,0.88249,0.89588,0.95566,0.00195,0.95231,0.95981,0.912,0.00338,0.90553,0.91882,308.03479,422.40787,7.82777,939.85365
fc_mm_0-1000_opt-01_,0.92174,0.00127,0.91924,0.92479,0.90838,0.00339,0.90168,0.91582,0.92174,0.00127,0.91924,0.92479,0.88635,0.00187,0.88249,0.89081,0.95423,0.00104,0.95231,0.95768,0.9095,0.00189,0.90553,0.91565,309.58121,432.08434,7.82777,939.85365
fc_mm_0-1000_default_,0.92077,0.00149,0.91721,0.92324,0.91102,0.00309,0.90601,0.91848,0.92077,0.00149,0.91721,0.92324,0.88534,0.00218,0.88011,0.88937,0.95401,0.00134,0.95165,0.95658,0.90871,0.00229,0.90392,0.9135,189.37341,259.75631,7.94308,569.31101
fc_std_opt-02_,0.92193,0.00225,0.9174,0.92576,0.90362,0.00763,0.89314,0.91832,0.92193,0.00225,0.9174,0.92576,0.88597,0.00369,0.8789,0.89216,0.94782,0.00319,0.94331,0.95272,0.89734,0.00354,0.89193,0.90574,376.87342,223.99193,80.92159,758.40345
fc_mm_0-1_opt-02_,0.92118,0.00327,0.91378,0.92665,0.90038,0.01076,0.87955,0.91916,0.92118,0.00327,0.91378,0.92665,0.88468,0.00539,0.87269,0.8938,0.94756,0.0037,0.94032,0.95444,0.89595,0.00567,0.88266,0.90613,217.78739,207.96216,15.14149,613.87003
fc_mm_0-10_opt-02_,0.92083,0.00343,0.91378,0.92665,0.89899,0.0112,0.87955,0.91916,0.92083,0.00343,0.91378,0.92665,0.88405,0.00565,0.87269,0.8938,0.94734,0.00384,0.94032,0.95444,0.89516,0.00605,0.88266,0.90613,179.05399,184.55696,15.14149,610.80704
fc_none_opt-02_,0.92057,0.0029,0.9161,0.92684,0.89594,0.01174,0.88229,0.91834,0.92057,0.0029,0.9161,0.92684,0.88333,0.00504,0.87602,0.89358,0.9474,0.00344,0.94222,0.953,0.89358,0.00466,0.88544,0.90171,95.02102,50.71837,31.47383,169.28371
