Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
lr_mm_0-1_opt-01_,0.91325,0.00489,0.90411,0.92132,0.93568,0.00789,0.91886,0.94552,0.91325,0.00489,0.90411,0.92132,0.90531,0.0055,0.89499,0.91403,0.95233,0.00526,0.94266,0.96038,0.93347,0.00737,0.9206,0.94469,1078.3067,1371.38453,16.02294,3092.6806
lr_std_opt-01_,0.91051,0.0038,0.90447,0.91573,0.93274,0.00664,0.92101,0.94182,0.91051,0.0038,0.90447,0.91573,0.90232,0.00434,0.89538,0.90819,0.95007,0.00452,0.94258,0.95594,0.93099,0.00668,0.92022,0.93937,1029.26207,1373.7756,43.82207,3080.28097
lr_mm_0-10_opt-01_,0.91398,0.00517,0.90411,0.92132,0.93593,0.00817,0.91886,0.94552,0.91398,0.00517,0.90411,0.92132,0.90605,0.00581,0.89499,0.91403,0.95305,0.00553,0.94266,0.96038,0.93419,0.00773,0.9206,0.94469,1025.38973,1401.01281,16.02294,3079.52967
lr_mm_0-1000_opt-01_,0.91508,0.00488,0.90661,0.92031,0.93595,0.00734,0.92169,0.94309,0.91508,0.00488,0.90661,0.92031,0.90714,0.0055,0.89739,0.91277,0.95412,0.00554,0.94524,0.95917,0.93485,0.00787,0.9228,0.94152,1022.74093,1444.06034,16.02294,3079.52967
lr_mm_0-100_opt-01_,0.91523,0.00534,0.90605,0.92132,0.93619,0.00841,0.91886,0.94552,0.91523,0.00534,0.90605,0.92132,0.9073,0.00603,0.89662,0.91403,0.95421,0.0058,0.94483,0.96038,0.9353,0.00818,0.92272,0.94469,1011.11541,1411.41593,16.02294,3079.52967
lr_none_opt-01_,0.91508,0.00671,0.9047,0.92123,0.93553,0.00999,0.92015,0.9449,0.91508,0.00671,0.9047,0.92123,0.90709,0.00757,0.89534,0.91403,0.95413,0.00651,0.94424,0.96015,0.93522,0.00929,0.92087,0.9442,1005.57554,1411.66271,17.20748,3048.0767
lr_std_opt-02_,0.91409,0.00163,0.91146,0.91755,0.9249,0.00565,0.91518,0.93356,0.91409,0.00163,0.91146,0.91755,0.90514,0.00173,0.90228,0.90884,0.94847,0.00151,0.94504,0.95143,0.92164,0.00237,0.91781,0.92708,899.91423,525.64195,216.25558,1501.26608
lr_mm_0-1_default_,0.91169,0.00412,0.9037,0.91988,0.9397,0.01044,0.91958,0.95566,0.91169,0.00412,0.9037,0.91988,0.90409,0.00499,0.89481,0.91349,0.95089,0.00443,0.94365,0.95757,0.93163,0.00651,0.92129,0.94075,697.91222,824.7133,16.80087,1956.7713
lr_std_default_,0.90981,0.00308,0.90335,0.91451,0.93349,0.00773,0.91834,0.94327,0.90981,0.00308,0.90335,0.91451,0.90174,0.00374,0.89395,0.90708,0.94948,0.00363,0.9435,0.95369,0.93028,0.00546,0.92164,0.93589,652.87247,827.5527,47.26076,1858.93098
lr_mm_0-10_default_,0.91225,0.0044,0.9037,0.91988,0.9408,0.01122,0.91958,0.95566,0.91225,0.0044,0.9037,0.91988,0.90473,0.00534,0.89481,0.91349,0.95145,0.00463,0.94365,0.95757,0.93219,0.00678,0.92129,0.94075,644.98762,856.03269,16.80087,1956.7713
lr_mm_0-100_default_,0.91323,0.00475,0.9037,0.91988,0.94301,0.01209,0.91958,0.95566,0.91323,0.00475,0.9037,0.91988,0.90588,0.00576,0.89481,0.91349,0.95236,0.00488,0.94439,0.95757,0.93303,0.00713,0.92129,0.94075,633.48223,872.02876,16.80087,1956.7713
