Dataset,Precision,Recall,Accuracy,F1,ROC_AUC,P_R_AUC,Runtime(seconds)
fc_none,0.9241516031344635,0.9076288468668892,0.9241516031344635,0.8896308915388984,0.9710037517473312,0.9274802465603925,2.9056026935577393
fc_none,0.9251034590458344,0.9087859871424578,0.9251034590458344,0.8905322742627592,0.9707183624058282,0.9265729294103127,2.9680545330047607
fc_none,0.9257553282847998,0.9086683709040204,0.9257553282847998,0.8915745068977311,0.971105031791478,0.926468065522876,2.7805891036987305
fc_none,0.9230985387785687,0.9069561157796452,0.9230985387785687,0.8874828688899039,0.9701760703968864,0.9242001385927533,2.8118443489074707
fc_none,0.9247592138742761,0.909336061000558,0.9247592138742761,0.8902949745083758,0.9705518031117173,0.9253210277044345,3.0930209159851074
fc_none,0.9243807650887297,0.9081589860677508,0.9243807650887297,0.8894466628636623,0.9696759700805249,0.9233222024676473,2.905538558959961
fc_none,0.9236837994063427,0.9091969576781298,0.9236837994063427,0.8886101926804242,0.969478728185092,0.9227952228354883,3.0305347442626953
fc_none,0.9264522173641474,0.9098276665114112,0.9264522173641474,0.8924117136461236,0.9715131629550342,0.9275185612578248,3.0483226776123047
fc_none,0.9248961878297792,0.9073007616570685,0.9248961878297792,0.8903675683066337,0.9709621677259758,0.9258613138479126,3.108642578125
fc_none,0.9250987802783027,0.9091461419825209,0.9250987802783027,0.8902567388220217,0.9705018132197094,0.9237653284495763,3.223522186279297
fc_std,0.9253447010508893,0.9098700451814243,0.9253447010508893,0.8909667267212478,0.9704469680016506,0.925415843847543,2.983643054962158
fc_std,0.9257935082980749,0.9101426381080704,0.9257935082980749,0.8918076073843073,0.9704651041187605,0.9257947866568061,3.108651638031006
fc_std,0.9256639655253174,0.9068780601538821,0.9256639655253174,0.8909453237739653,0.9715084586973846,0.9294658294817233,2.7806012630462646
fc_std,0.9245674848541627,0.9080700773460069,0.9245674848541627,0.8897258554178364,0.9702471980355238,0.9256879855648251,3.0149264335632324
fc_std,0.9268208922606225,0.9114265766814056,0.9268208922606225,0.8930949557602845,0.9710907761419796,0.9276716595416351,3.421081781387329
fc_std,0.9247498165581628,0.9100018642803878,0.9247498165581628,0.8901299293366765,0.9704074778524087,0.924189796220769,3.12429141998291
fc_std,0.9273921727732352,0.9143603864283381,0.9273921727732352,0.89385678764514,0.9715526321161684,0.9298960739782445,3.1086761951446533
fc_std,0.9232390079445598,0.9058402306333116,0.9232390079445598,0.8879216043755698,0.9701410694778125,0.9244489751866143,2.9993293285369873
fc_std,0.9267363820820977,0.9127888057273024,0.9267363820820977,0.8932308252206352,0.971246415741012,0.9292028617893152,3.0461673736572266
fc_std,0.9260572178149791,0.9100181640352103,0.9260572178149791,0.8919270536142241,0.9709517802466375,0.9276653845746935,2.3588297367095947
fc_mm_0-1,0.9237745863253201,0.90699935191186,0.9237745863253201,0.8891964873266922,0.9695309758267174,0.9244896689940628,3.157627582550049
fc_mm_0-1,0.9251221682721581,0.9091669376945594,0.9251221682721581,0.8908312847127378,0.970144966076852,0.9266132347620903,3.0702996253967285
fc_mm_0-1,0.9249910182914447,0.9068835345108822,0.9249910182914447,0.8901646843549863,0.970933063647082,0.9268813725894189,3.110668420791626
fc_mm_0-1,0.9258154677326171,0.9065220427354406,0.9258154677326171,0.891274000503467,0.9706105986426249,0.9268111086320839,2.999664783477783
fc_mm_0-1,0.9266777004028355,0.9105331720480134,0.9266777004028355,0.8928783247410922,0.9717367812198993,0.9295358920120307,3.18837833404541
fc_mm_0-1,0.9253815185844022,0.9088725693963328,0.9253815185844022,0.8916579817844035,0.9704842031220584,0.9255685487828931,3.0467936992645264
fc_mm_0-1,0.9242923386781995,0.9070037644653065,0.9242923386781995,0.8894965930584992,0.9699251572382269,0.9249362278424457,2.9680516719818115
fc_mm_0-1,0.9247797288008498,0.9080497078735046,0.9247797288008498,0.8905209067551897,0.9709977819781372,0.9272698278643672,3.0172579288482666
fc_mm_0-1,0.9251892904535165,0.9056384511690606,0.9251892904535165,0.8904885963709492,0.9712111992538126,0.9271758739746885,3.1711294651031494
fc_mm_0-1,0.927038626609442,0.9088631090487239,0.927038626609442,0.8933792505758662,0.9721963065263917,0.9302751852336111,3.189112424850464
fc_mm_0-10,0.9249757986447241,0.9097887782637015,0.9249757986447241,0.8905840828873961,0.9700426493536682,0.9260125280914491,3.171159267425537
fc_mm_0-10,0.9239734148776835,0.9053639490564284,0.9239734148776835,0.8888179059526796,0.9701861120373836,0.9250046711615847,3.032167911529541
fc_mm_0-10,0.925490869897999,0.9081884699631821,0.925490869897999,0.8909564740307242,0.9711871066583517,0.9285192040196681,3.108642101287842
fc_mm_0-10,0.9262694397601648,0.9094423999627335,0.9262694397601648,0.8921129592396272,0.9704430110138491,0.9254689185811559,3.0261738300323486
fc_mm_0-10,0.9257102716203559,0.907601148041848,0.9257102716203559,0.8917695754019694,0.9708443439766257,0.9279380579441717,2.907482147216797
fc_mm_0-10,0.9261439950023427,0.9125064093599963,0.9261439950023427,0.8922312618217452,0.9706383497190605,0.9253803141147919,3.2411394119262695
fc_mm_0-10,0.9235886624502225,0.9069225752352558,0.9235886624502225,0.8883615870770494,0.9700997630787039,0.9243779166922866,3.3536267280578613
fc_mm_0-10,0.9248379792301086,0.9082906380996739,0.9248379792301086,0.8901517745064474,0.9704466956507134,0.9267591630549581,2.889948606491089
fc_mm_0-10,0.926467144396047,0.9102885239818165,0.926467144396047,0.8928522680740707,0.9716775900060868,0.930493084534099,2.9836671352386475
fc_mm_0-10,0.9237613561861946,0.9076751946607341,0.9237613561861946,0.8891310269681285,0.9701726621464138,0.925103746947269,3.0479912757873535
