Dataset,Precision,Recall,Accuracy,F1,ROC_AUC,P_R_AUC,Runtime(seconds)
fc_none,0.9248868071818892,0.9078401193974162,0.9248868071818892,0.8900116595413914,0.969342909528223,0.9232570504159071,1.7495980262756348
fc_none,0.924099826754694,0.9078328130096454,0.924099826754694,0.8890460653904948,0.9695902144626951,0.9240041102650065,1.6416161060333252
fc_none,0.9261074516904443,0.9142351900972591,0.9261074516904443,0.8924726298096579,0.9700247783029966,0.9240977971920764,1.702730417251587
fc_none,0.9242187743889114,0.9050677090604495,0.9242187743889114,0.8890361803762027,0.9702647783940195,0.925324404208034,1.6737382411956787
fc_none,0.9235908402666125,0.9088410657723123,0.9235908402666125,0.8885397454288773,0.9690639789754806,0.9231877333656219,1.8433103561401367
fc_none,0.9238432829994222,0.9015534430790633,0.9238432829994222,0.888553735060899,0.9701610339085415,0.9259352815553987,1.6558337211608887
fc_none,0.9252472231335239,0.9109468005952381,0.9252472231335239,0.8911584741714623,0.9696831643170538,0.9240298736419078,1.6896121501922607
fc_none,0.9264956197198495,0.9097222222222222,0.9264956197198495,0.8930397436771422,0.9718919936000991,0.931048111785577,1.7821946144104004
fc_none,0.9236151239243492,0.90760386970136,0.9236151239243492,0.8881571425304705,0.9700018832111821,0.9252718253184802,1.7674026489257812
fc_none,0.9237505072893578,0.905998417795151,0.9237505072893578,0.8885288547109965,0.9700574313654524,0.9260784104005625,1.609004259109497
fc_std,0.9247786919798285,0.9105607954281466,0.9247786919798285,0.8905348298268733,0.9699637839087707,0.9268693728601491,1.7964489459991455
fc_std,0.9269046949676694,0.9115734720416124,0.9269046949676694,0.8934814275309542,0.9704593164537719,0.9266089315205122,1.8752498626708984
fc_std,0.9242717537231884,0.9073936466654282,0.9242717537231884,0.8895667812507113,0.970138861689614,0.9272269432519588,1.7340009212493896
fc_std,0.9251186610042468,0.9101849270513893,0.9251186610042468,0.8909355528266704,0.9700266138262331,0.9251950676250187,1.674391508102417
fc_std,0.9242812100021852,0.9109311740890689,0.9242812100021852,0.8897525056248722,0.969324534578169,0.9245223807785665,1.749619960784912
fc_std,0.9242296525241173,0.9106353269723063,0.9242296525241173,0.8896416878865041,0.9691225276097539,0.9228514914858235,1.6558642387390137
fc_std,0.9256952898211444,0.9113407795337628,0.9256952898211444,0.8920138810134046,0.9704129552993623,0.9265003700837393,2.046426773071289
fc_std,0.9248879798910243,0.9113041862193932,0.9248879798910243,0.8907559208883036,0.9696305298342714,0.9245988390004449,1.8144235610961914
fc_std,0.923791676426954,0.9085530606540576,0.923791676426954,0.8888028072733901,0.969212023100976,0.9227624368488968,1.6871395111083984
fc_std,0.925197464955824,0.9097044449616011,0.925197464955824,0.8907980493140695,0.9700208947778383,0.9248245842408327,1.749619483947754
fc_mm_0-1,0.9228102503240314,0.9041203703703704,0.9228102503240314,0.8876616440535443,0.969945068899519,0.9249081464281861,2.0372798442840576
fc_mm_0-1,0.9248907615480649,0.9139060539887562,0.9248907615480649,0.8909926845287977,0.9694691409122043,0.9241307431084362,2.1884100437164307
fc_mm_0-1,0.9237085720530153,0.907989977728285,0.9237085720530153,0.8889948892674616,0.9701521031588318,0.9265853932110515,2.8231587409973145
fc_mm_0-1,0.9228991662242763,0.902298315809063,0.9228991662242763,0.8870694781137081,0.9700075372232317,0.9269912007650107,2.4491307735443115
fc_mm_0-1,0.9254477041015473,0.913974996514384,0.9254477041015473,0.8917405400503322,0.9703662479103514,0.9263381056806864,2.0651800632476807
fc_mm_0-1,0.9257853975391918,0.9153853322150778,0.9257853975391918,0.8920876376433192,0.9705674290655073,0.9285109533043197,1.6814446449279785
