Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
fc_none_22_,0.92495,0.00111,0.9226,0.92704,0.9101,0.00358,0.90115,0.91695,0.92495,0.00111,0.9226,0.92704,0.89056,0.0017,0.88748,0.89381,0.96991,0.00089,0.9679,0.97151,0.92184,0.0048,0.91234,0.92752,2.37119,0.46869,1.78934,3.22352
fc_none_15_,0.92476,0.00122,0.92189,0.9276,0.90957,0.0033,0.90214,0.91652,0.92476,0.00122,0.92189,0.9276,0.89033,0.00181,0.88628,0.89382,0.96961,0.00115,0.96704,0.97296,0.92284,0.00495,0.91383,0.93179,2.10436,0.44791,1.59345,2.93307
fc_none_10_,0.9246,0.00126,0.92203,0.92671,0.90984,0.00412,0.90155,0.921,0.9246,0.00126,0.92203,0.92671,0.89014,0.00198,0.88617,0.89382,0.96935,0.00109,0.96736,0.97189,0.92199,0.00545,0.91185,0.93105,1.97423,0.46699,1.4528,2.83846
fc_std_22_,0.92508,0.00118,0.92319,0.92739,0.91009,0.0023,0.90584,0.91436,0.92508,0.00118,0.92319,0.92739,0.8908,0.00161,0.88792,0.89386,0.96987,0.00114,0.96756,0.9718,0.9224,0.00576,0.91324,0.93016,2.26561,0.57275,1.61439,3.42108
fc_std_15_,0.925,0.00107,0.92293,0.92752,0.91067,0.00304,0.90423,0.91573,0.925,0.00107,0.92293,0.92752,0.89081,0.00154,0.88777,0.89435,0.96975,0.00114,0.96759,0.97141,0.92295,0.00539,0.91266,0.93007,2.0663,0.48754,1.35716,2.8392
fc_std_10_,0.92472,0.00092,0.92305,0.9269,0.91049,0.00217,0.90629,0.91636,0.92472,0.00092,0.92305,0.9269,0.89035,0.00133,0.88808,0.89348,0.96931,0.00111,0.96673,0.97099,0.92183,0.00554,0.91179,0.92919,1.70375,0.29354,1.26534,2.10992
fc_mm_0-1_22_,0.92513,0.00129,0.92225,0.92949,0.91257,0.00645,0.8979,0.92857,0.92513,0.00129,0.92225,0.92949,0.8911,0.00205,0.88563,0.89806,0.96915,0.00202,0.96526,0.97242,0.91891,0.00939,0.89903,0.93062,2.60083,0.62687,1.49811,3.67392
fc_mm_0-1_15_,0.92452,0.00137,0.91955,0.92709,0.91185,0.00758,0.88398,0.93316,0.92452,0.00137,0.91955,0.92709,0.89022,0.00204,0.88122,0.89417,0.96878,0.00224,0.96315,0.97198,0.91926,0.00968,0.8972,0.93104,2.07842,0.48568,1.23412,3.33815
fc_mm_0-1_10_,0.92416,0.00106,0.92135,0.92641,0.9124,0.00745,0.8981,0.93233,0.92416,0.00106,0.92135,0.92641,0.88989,0.00148,0.88582,0.89443,0.96846,0.00217,0.96371,0.97143,0.91897,0.00927,0.89863,0.92991,1.90476,0.45158,1.24418,3.2492
fc_mm_0-10_22_,0.92507,0.00125,0.92225,0.92862,0.91165,0.00502,0.8979,0.92546,0.92507,0.00125,0.92225,0.92862,0.8909,0.00193,0.88563,0.89567,0.96914,0.00187,0.96526,0.97202,0.91834,0.00936,0.89903,0.93062,2.61985,0.60518,1.60729,3.67392
fc_mm_0-10_15_,0.92463,0.00141,0.91955,0.92709,0.91103,0.00561,0.88398,0.92174,0.92463,0.00141,0.91955,0.92709,0.89028,0.00208,0.88122,0.89417,0.96879,0.00225,0.96315,0.97198,0.91863,0.01021,0.8972,0.93104,2.11504,0.46156,1.3258,3.0329
fc_mm_0-10_10_,0.92414,0.00099,0.92135,0.92633,0.91106,0.00495,0.90351,0.92542,0.92414,0.00099,0.92135,0.92633,0.88971,0.00131,0.88582,0.89253,0.96839,0.0022,0.96371,0.97143,0.9182,0.00986,0.89863,0.92991,1.93725,0.44371,1.24972,3.2492
fc_mm_0-100_22_,0.92501,0.00121,0.92225,0.92752,0.9127,0.00551,0.8979,0.92546,0.92501,0.00121,0.92225,0.92752,0.89093,0.00191,0.88563,0.8946,0.96866,0.00198,0.96526,0.97168,0.9159,0.00991,0.89903,0.93062,2.73403,0.58418,1.81059,3.67392
fc_mm_0-100_15_,0.92435,0.00151,0.91955,0.92682,0.91134,0.00657,0.88398,0.92174,0.92435,0.00151,0.91955,0.92682,0.88994,0.00225,0.88122,0.89343,0.9683,0.00252,0.96315,0.97198,0.91647,0.01132,0.8972,0.93104,2.19692,0.44234,1.53931,3.0329
fc_mm_0-100_10_,0.92405,0.00095,0.92176,0.92633,0.91214,0.00531,0.90351,0.92542,0.92405,0.00095,0.92176,0.92633,0.88972,0.00119,0.8874,0.89253,0.96795,0.0024,0.96371,0.97111,0.91622,0.01075,0.89863,0.92882,2.07099,0.45038,1.4087,3.2492
fc_mm_0-1000_22_,0.9253,0.00113,0.92345,0.92752,0.91633,0.00357,0.90986,0.92546,0.9253,0.00113,0.92345,0.92752,0.8917,0.00149,0.88883,0.8946,0.96762,0.00214,0.96526,0.97153,0.91004,0.00972,0.89903,0.92841,3.01008,0.37613,2.43697,3.67392
fc_mm_0-1000_15_,0.92386,0.00131,0.91955,0.92638,0.91411,0.00549,0.90331,0.92174,0.92386,0.00131,0.91955,0.92638,0.88958,0.00182,0.88367,0.89277,0.96681,0.00264,0.96315,0.97124,0.91007,0.01196,0.8972,0.92948,2.36691,0.37385,1.81336,3.0329
fc_mm_0-1000_10_,0.9237,0.00092,0.92176,0.92568,0.91504,0.00562,0.90436,0.92542,0.9237,0.00092,0.92176,0.92568,0.88961,0.00111,0.8874,0.89199,0.96662,0.00258,0.96371,0.97059,0.91021,0.01138,0.89863,0.92692,2.1879,0.39678,1.67149,3.2492
