Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
lr_mm_0-1000_22_,0.90375,0.00154,0.90082,0.9068,0.92756,0.00225,0.92143,0.93099,0.90375,0.00154,0.90082,0.9068,0.89521,0.00143,0.89249,0.8983,0.95217,0.00251,0.9478,0.95654,0.91125,0.00772,0.90004,0.9257,5.47115,1.45525,3.43782,7.63456
lr_mm_0-100_22_,0.902,0.0023,0.89661,0.9068,0.92167,0.00683,0.90193,0.93099,0.902,0.0023,0.89661,0.9068,0.8929,0.00286,0.88549,0.8983,0.95304,0.00204,0.9478,0.95654,0.91714,0.00824,0.90004,0.92759,4.5968,1.50566,2.71629,7.63456
lr_mm_0-10_22_,0.90105,0.00237,0.89661,0.9068,0.91899,0.00694,0.90193,0.93099,0.90105,0.00237,0.89661,0.9068,0.89169,0.00297,0.88549,0.8983,0.95316,0.00174,0.9478,0.95654,0.9191,0.00743,0.90004,0.92759,4.2961,1.41972,2.43695,7.63456
lr_none_22_,0.90051,0.00112,0.89817,0.9029,0.91588,0.00429,0.90773,0.92694,0.90051,0.00112,0.89817,0.9029,0.89081,0.00148,0.88786,0.89425,0.95416,0.00091,0.95195,0.95548,0.92274,0.00283,0.91622,0.92606,3.75985,0.97869,2.81338,5.57589
lr_mm_0-1_22_,0.90048,0.00236,0.89621,0.9068,0.91813,0.00671,0.90193,0.93099,0.90048,0.00236,0.89621,0.9068,0.89104,0.00286,0.88549,0.8983,0.95302,0.0018,0.9478,0.95654,0.91968,0.00686,0.90004,0.92759,4.29464,1.48691,2.12281,7.79678
lr_std_22_,0.89957,0.00097,0.89748,0.90126,0.914,0.00196,0.90993,0.91767,0.89957,0.00097,0.89748,0.90126,0.8897,0.00102,0.88758,0.89146,0.95366,0.00111,0.9507,0.95534,0.92297,0.00325,0.91538,0.92705,3.377,0.97142,2.26947,4.91184
lr_std_10_,0.89884,0.00094,0.8973,0.90131,0.91385,0.00255,0.90935,0.92003,0.89884,0.00094,0.8973,0.90131,0.889,0.00108,0.88738,0.89146,0.95292,0.00098,0.95072,0.9548,0.92277,0.00289,0.91691,0.92616,2.48784,0.48728,1.78049,3.06316
lr_std_15_,0.89878,0.00111,0.89672,0.9014,0.91394,0.003,0.90847,0.91946,0.89878,0.00111,0.89672,0.9014,0.8889,0.00133,0.88656,0.89219,0.95289,0.00103,0.95066,0.95529,0.92228,0.00318,0.9157,0.92726,3.05851,0.75729,1.90582,4.23491
lr_mm_0-10_15_,0.89872,0.00125,0.89571,0.90172,0.91483,0.00313,0.90724,0.92248,0.89872,0.00125,0.89571,0.90172,0.88896,0.00137,0.88598,0.89225,0.95204,0.00223,0.94647,0.95502,0.91909,0.00736,0.90131,0.92693,3.62233,1.12356,1.8121,5.92279
lr_mm_0-100_15_,0.89863,0.00121,0.89571,0.90172,0.91534,0.00332,0.90781,0.92248,0.89863,0.00121,0.89571,0.90172,0.88891,0.0013,0.88626,0.89225,0.95153,0.00244,0.94647,0.95468,0.91725,0.00812,0.90131,0.92656,3.87758,1.10689,2.4682,5.92279
lr_none_10_,0.89862,0.00126,0.8958,0.90144,0.91372,0.00357,0.90538,0.92329,0.89862,0.00126,0.8958,0.90144,0.88875,0.0015,0.88488,0.89196,0.95286,0.00115,0.9506,0.95459,0.92233,0.00347,0.91608,0.92647,3.04816,0.82184,2.17137,4.75448
lr_mm_0-1_15_,0.89857,0.00133,0.89571,0.90172,0.91527,0.00437,0.90517,0.92678,0.89857,0.00133,0.89571,0.90172,0.88886,0.00141,0.88598,0.89266,0.95214,0.00212,0.94647,0.95502,0.91993,0.00672,0.90131,0.92731,3.56787,1.18324,1.71836,6.7507
lr_none_15_,0.89855,0.0017,0.8935,0.90193,0.9123,0.00599,0.89427,0.92614,0.89855,0.0017,0.8935,0.90193,0.88854,0.00225,0.88165,0.8931,0.95297,0.00102,0.95112,0.95453,0.9222,0.00288,0.91703,0.92544,3.3254,0.8284,2.47594,4.67019
lr_mm_0-10_10_,0.89848,0.00106,0.89625,0.90075,0.91489,0.00387,0.90639,0.92338,0.89848,0.00106,0.89625,0.90075,0.88874,0.00123,0.88573,0.89155,0.95191,0.00219,0.94635,0.95471,0.91937,0.00717,0.90307,0.92691,3.21271,1.03597,1.79516,5.36222
lr_mm_0-100_10_,0.89841,0.00104,0.89625,0.90075,0.91575,0.0039,0.90773,0.92338,0.89841,0.00104,0.89625,0.90075,0.88876,0.0012,0.88573,0.89128,0.9514,0.00243,0.94635,0.95471,0.91764,0.00799,0.90307,0.92683,3.61072,1.01807,2.17138,5.36222
lr_mm_0-1_10_,0.8983,0.00143,0.89109,0.90119,0.91509,0.00556,0.88067,0.93072,0.8983,0.00143,0.89109,0.90119,0.88857,0.00168,0.87763,0.89187,0.952,0.00212,0.94635,0.95504,0.92011,0.00655,0.90307,0.92691,3.09999,1.06474,1.66772,5.36436
lr_mm_0-1000_15_,0.89826,0.00119,0.89571,0.90048,0.9166,0.00308,0.90905,0.92202,0.89826,0.00119,0.89571,0.90048,0.88871,0.00126,0.88626,0.89138,0.94994,0.00246,0.94647,0.95409,0.91182,0.00815,0.90131,0.92536,4.52039,0.97115,3.26487,5.92279
lr_mm_0-1000_10_,0.89814,0.00107,0.89625,0.90075,0.91709,0.00392,0.90915,0.92338,0.89814,0.00107,0.89625,0.90075,0.88864,0.00117,0.88573,0.89093,0.95001,0.00269,0.94635,0.95471,0.91272,0.00848,0.90307,0.92564,4.22025,0.88652,2.87543,5.36222
