Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
fc_mm_0-1000_22_default,0.92626,0.00085,0.92472,0.92752,0.91287,0.00272,0.90986,0.91704,0.92626,0.00085,0.92472,0.92752,0.89262,0.00138,0.88996,0.8946,0.97047,0.00056,0.96961,0.97153,0.92318,0.00246,0.92007,0.92841,3.17691,0.20378,3.01069,3.67392
fc_mm_0-100_22_default,0.92562,0.0012,0.92334,0.92752,0.91068,0.00322,0.90445,0.91704,0.92562,0.0012,0.92334,0.92752,0.89157,0.00181,0.88831,0.8946,0.97041,0.00066,0.9693,0.97168,0.92449,0.00279,0.92007,0.93062,3.23525,0.16606,3.01069,3.67392
fc_std_22_default,0.92564,0.00123,0.92324,0.92739,0.90994,0.00257,0.90584,0.91436,0.92564,0.00123,0.92324,0.92739,0.89136,0.00181,0.88792,0.89386,0.97081,0.00053,0.97014,0.97155,0.92694,0.00212,0.92419,0.9299,2.99462,0.27446,2.35883,3.42108
fc_mm_0-1000_22_opt-02,0.92489,0.00098,0.92356,0.92655,0.91836,0.00273,0.91612,0.92546,0.92489,0.00098,0.92356,0.92655,0.89135,0.00132,0.88936,0.89385,0.96621,0.00071,0.96526,0.96735,0.90402,0.00255,0.90123,0.90925,2.53675,0.10191,2.43697,2.75176
fc_none_22_opt-01,0.92531,0.00127,0.9226,0.92704,0.91291,0.00314,0.90807,0.91695,0.92531,0.00127,0.9226,0.92704,0.89134,0.00183,0.88757,0.89381,0.96896,0.00054,0.9679,0.96978,0.91555,0.00168,0.91234,0.91762,1.93554,0.09955,1.78934,2.08105
fc_mm_0-10_22_default,0.92545,0.00116,0.92334,0.92752,0.90999,0.003,0.90445,0.91704,0.92545,0.00116,0.92334,0.92752,0.89128,0.00175,0.88831,0.8946,0.97047,0.00061,0.9693,0.97168,0.92516,0.00268,0.92007,0.93062,3.18224,0.17457,2.88995,3.67392
fc_mm_0-1_22_default,0.92542,0.00111,0.92334,0.92752,0.90945,0.00284,0.90445,0.91704,0.92542,0.00111,0.92334,0.92752,0.89121,0.00165,0.88831,0.8946,0.97054,0.00067,0.9693,0.9722,0.92561,0.00259,0.92007,0.93062,3.15965,0.16066,2.88995,3.67392
fc_mm_0-1_22_opt-02,0.92526,0.00159,0.92225,0.92949,0.91153,0.00677,0.8979,0.92546,0.92526,0.00159,0.92225,0.92949,0.89116,0.00264,0.88563,0.89806,0.9696,0.0021,0.96526,0.97242,0.92097,0.01012,0.90123,0.93047,2.49385,0.37812,1.95268,3.48616
fc_mm_0-1000_22_opt-01,0.92476,0.00095,0.92345,0.92602,0.91777,0.00247,0.91393,0.9212,0.92476,0.00095,0.92345,0.92602,0.89114,0.00142,0.88883,0.89305,0.96619,0.00063,0.96529,0.96705,0.90292,0.0018,0.89903,0.90472,3.31659,0.14032,3.14007,3.63623
fc_mm_0-1_22_opt-01,0.92472,0.00104,0.92242,0.92632,0.91673,0.00664,0.90586,0.92857,0.92472,0.00104,0.92242,0.92632,0.89094,0.00175,0.88672,0.89393,0.96731,0.0014,0.96526,0.96963,0.91015,0.00553,0.89903,0.91827,2.14899,0.69917,1.49811,3.63623
fc_mm_0-10_22_opt-02,0.92504,0.00139,0.92225,0.92862,0.91141,0.00675,0.8979,0.92546,0.92504,0.00139,0.92225,0.92862,0.89084,0.00227,0.88563,0.89567,0.96917,0.00224,0.96526,0.97202,0.91892,0.01092,0.90123,0.92985,2.35542,0.26533,1.95268,2.86337
fc_std_15_default,0.92511,0.00085,0.92389,0.92646,0.90919,0.00193,0.90643,0.91285,0.92511,0.00085,0.92389,0.92646,0.89083,0.00125,0.88881,0.89281,0.97038,0.00075,0.96913,0.97141,0.92629,0.00234,0.92292,0.93007,2.54578,0.19255,2.13487,2.8392
fc_std_15_opt-01,0.92478,0.00135,0.92293,0.92752,0.91342,0.00221,0.90955,0.91573,0.92478,0.00135,0.92293,0.92752,0.8908,0.00183,0.88787,0.89417,0.96843,0.00071,0.96759,0.96986,0.91587,0.00157,0.91266,0.91821,1.46687,0.10419,1.35716,1.68715
fc_std_15_opt-02,0.9251,0.00104,0.92331,0.92728,0.90938,0.0029,0.90423,0.91407,0.9251,0.00104,0.92331,0.92728,0.89078,0.00166,0.88777,0.89435,0.97044,0.00041,0.96973,0.97126,0.9267,0.00141,0.92429,0.9291,2.18624,0.21749,1.81093,2.42306
fc_none_10_opt-01,0.92472,0.00124,0.92297,0.92671,0.91347,0.00374,0.90894,0.921,0.92472,0.00124,0.92297,0.92671,0.89077,0.00199,0.88817,0.89382,0.96815,0.00057,0.96736,0.96891,0.91504,0.00208,0.91185,0.91891,1.60786,0.11982,1.4528,1.78086
