Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
lr_std_22_opt-02,0.89995,0.00103,0.89864,0.90126,0.9138,0.00218,0.90993,0.91664,0.89995,0.00103,0.89864,0.90126,0.89006,0.00115,0.88852,0.89146,0.95435,0.00058,0.95338,0.95534,0.9251,0.00098,0.92372,0.92632,3.02846,0.12826,2.87431,3.26628
lr_std_22_default,0.89965,0.00069,0.8982,0.90046,0.91283,0.00097,0.91115,0.91441,0.89965,0.00069,0.8982,0.90046,0.88966,0.00071,0.88817,0.89045,0.95417,0.00062,0.95312,0.95506,0.92489,0.00152,0.92298,0.92705,4.66678,0.20454,4.29879,4.91184
lr_none_10_default,0.89869,0.00098,0.8973,0.89994,0.91242,0.00154,0.90997,0.91468,0.89869,0.00098,0.8973,0.89994,0.88871,0.00109,0.88696,0.89006,0.95354,0.00053,0.95276,0.95412,0.92467,0.001,0.92359,0.92647,4.11516,0.45177,3.24173,4.75448
lr_none_22_default,0.90076,0.00065,0.89945,0.90142,0.91531,0.00115,0.91313,0.91679,0.90076,0.00065,0.89945,0.90142,0.891,0.00079,0.88943,0.89189,0.95472,0.00049,0.95404,0.95548,0.92467,0.00071,0.9237,0.92586,5.09288,0.18589,4.86569,5.57589
lr_std_10_default,0.89886,0.00109,0.89756,0.90131,0.91277,0.00194,0.90935,0.91534,0.89886,0.00109,0.89756,0.90131,0.88885,0.00122,0.88738,0.89146,0.95342,0.00055,0.9528,0.9548,0.92463,0.00077,0.92367,0.92564,2.77471,0.34343,2.12683,3.06316
lr_none_10_opt-02,0.89934,0.0012,0.89779,0.90144,0.91508,0.0037,0.90908,0.92329,0.89934,0.0012,0.89779,0.90144,0.8896,0.00137,0.88801,0.89196,0.95356,0.00075,0.9523,0.95459,0.9246,0.00092,0.92288,0.92561,2.55751,0.24505,2.17137,2.97712
lr_std_10_opt-02,0.899,0.00069,0.89789,0.90006,0.91305,0.00235,0.90966,0.91706,0.899,0.00069,0.89789,0.90006,0.88907,0.00084,0.88786,0.89041,0.95354,0.00054,0.95292,0.95445,0.92458,0.00109,0.92247,0.92616,2.8082,0.14736,2.63149,3.04991
lr_std_15_default,0.89862,0.0012,0.89672,0.90018,0.91265,0.00262,0.9095,0.91817,0.89862,0.0012,0.89672,0.90018,0.8886,0.00142,0.88656,0.89041,0.95349,0.00061,0.95235,0.95407,0.92443,0.00113,0.92225,0.92609,3.42584,0.38646,2.72093,4.17429
lr_none_22_opt-02,0.90053,0.00131,0.89817,0.9029,0.9156,0.00467,0.90931,0.92694,0.90053,0.00131,0.89817,0.9029,0.89082,0.00167,0.88832,0.89425,0.95457,0.0006,0.95369,0.95546,0.92438,0.00127,0.92219,0.92606,3.07402,0.22919,2.81338,3.45467
lr_mm_0-1_10_default,0.89842,0.00097,0.89625,0.90075,0.91229,0.00189,0.90814,0.91581,0.89842,0.00097,0.89625,0.90075,0.8884,0.00108,0.88573,0.89082,0.95336,0.00069,0.9521,0.95504,0.9243,0.00126,0.92173,0.92691,3.28597,0.86266,2.23386,4.52211
lr_mm_0-10_10_default,0.89845,0.00094,0.89625,0.90075,0.91229,0.00195,0.90814,0.91581,0.89845,0.00094,0.89625,0.90075,0.88845,0.00106,0.88573,0.89082,0.95338,0.00066,0.95227,0.95471,0.9243,0.00122,0.92185,0.92691,3.57834,0.80191,2.23386,4.52211
lr_none_15_default,0.89932,0.00099,0.89756,0.90067,0.91418,0.00122,0.91266,0.91573,0.89932,0.00099,0.89756,0.90067,0.88952,0.00113,0.88763,0.89121,0.95367,0.00059,0.95286,0.95453,0.92425,0.00083,0.92305,0.92544,4.44848,0.13056,4.24146,4.67019
lr_std_15_opt-02,0.8987,0.00099,0.89735,0.90032,0.91281,0.00315,0.90847,0.91764,0.8987,0.00099,0.89735,0.90032,0.88872,0.00116,0.88685,0.89064,0.95332,0.00076,0.95262,0.95529,0.92418,0.00129,0.92284,0.92726,3.61741,0.3773,3.08577,4.23491
lr_mm_0-1_15_default,0.89884,0.00097,0.89666,0.90053,0.91309,0.00189,0.90862,0.91696,0.89884,0.00097,0.89666,0.90053,0.8889,0.00112,0.88611,0.89076,0.95346,0.00069,0.95115,0.95468,0.9241,0.00202,0.91553,0.92731,4.14161,0.39551,3.36862,4.93771
lr_mm_0-100_10_default,0.89839,0.00096,0.89625,0.90075,0.91257,0.00177,0.90837,0.91581,0.89839,0.00096,0.89625,0.90075,0.88841,0.00108,0.88573,0.89082,0.95334,0.00068,0.95227,0.95471,0.92404,0.00118,0.92185,0.92589,4.08565,0.35077,2.93678,4.52211
lr_mm_0-1000_10_default,0.89828,0.00121,0.89625,0.90075,0.91241,0.00177,0.90915,0.91473,0.89828,0.00121,0.89625,0.90075,0.88828,0.0013,0.88573,0.89082,0.95344,0.00079,0.95227,0.95471,0.924,0.00129,0.92185,0.92564,4.21531,0.187,4.01472,4.52211
lr_none_15_opt-02,0.89839,0.00171,0.89545,0.90193,0.91113,0.00755,0.89644,0.92614,0.89839,0.00171,0.89545,0.90193,0.88819,0.00242,0.88358,0.8931,0.95342,0.00064,0.9521,0.95443,0.92396,0.00076,0.92236,0.92519,2.82657,0.21702,2.4838,3.17112
lr_mm_0-10_15_default,0.89883,0.00094,0.89709,0.90053,0.91312,0.00162,0.90905,0.91696,0.89883,0.00094,0.89709,0.90053,0.8889,0.00105,0.88702,0.89076,0.95339,0.00073,0.95115,0.95468,0.92388,0.00219,0.91553,0.92656,4.33027,0.23127,3.59314,4.93771
lr_mm_0-1_22_default,0.90091,0.00271,0.89727,0.9068,0.91634,0.00546,0.90956,0.92796,0.90091,0.00271,0.89727,0.9068,0.89128,0.00324,0.88697,0.8983,0.95427,0.00088,0.95283,0.95654,0.92369,0.00264,0.9153,0.92684,4.97608,0.17244,4.66916,5.47543
lr_mm_0-10_22_default,0.90144,0.0029,0.89727,0.9068,0.91747,0.00586,0.90956,0.92796,0.90144,0.0029,0.89727,0.9068,0.89192,0.00348,0.88697,0.8983,0.95442,0.00095,0.95283,0.95654,0.92344,0.00298,0.9153,0.92684,4.99098,0.16813,4.66916,5.47543
lr_mm_0-100_15_default,0.89861,0.00085,0.89709,0.90016,0.91306,0.00181,0.90905,0.91696,0.89861,0.00085,0.89709,0.90016,0.88866,0.00093,0.88702,0.89024,0.9532,0.00075,0.95115,0.95468,0.92335,0.00244,0.91553,0.92656,4.36478,0.12709,4.07305,4.54974
lr_mm_0-100_22_default,0.90256,0.00283,0.89727,0.9068,0.9197,0.00577,0.91077,0.92796,0.90256,0.00283,0.89727,0.9068,0.89327,0.00339,0.88697,0.8983,0.95472,0.00092,0.9533,0.95654,0.92271,0.00334,0.9153,0.92649,5.03611,0.16417,4.82868,5.47543
lr_mm_0-1000_15_default,0.89875,0.00068,0.89772,0.89965,0.91325,0.00226,0.90905,0.91696,0.89875,0.00068,0.89772,0.89965,0.88886,0.00077,0.88776,0.89002,0.95302,0.00085,0.95115,0.95409,0.92246,0.00309,0.91553,0.92536,4.35574,0.14604,4.07305,4.54974
lr_mm_0-1000_22_default,0.90517,0.00073,0.9044,0.9068,0.92504,0.00187,0.92143,0.92796,0.90517,0.00073,0.9044,0.9068,0.8964,0.00077,0.89567,0.8983,0.95511,0.00097,0.95351,0.95654,0.92083,0.00368,0.9153,0.9257,5.05422,0.21368,4.82868,5.47543
lr_mm_0-1_10_opt-02,0.89845,0.00173,0.89109,0.90119,0.91453,0.00723,0.88067,0.92338,0.89845,0.00173,0.89109,0.90119,0.88866,0.0023,0.87763,0.89187,0.95194,0.00277,0.94635,0.95467,0.91963,0.00884,0.90307,0.92683,3.16604,0.72366,2.35133,5.36436
