Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
fc_std_default_,0.92517,0.0011,0.92324,0.92739,0.90942,0.00206,0.90584,0.91436,0.92517,0.0011,0.92324,0.92739,0.8908,0.00157,0.88792,0.89386,0.97042,0.00071,0.96907,0.97155,0.92634,0.00207,0.92292,0.93007,2.51014,0.4636,1.76578,3.42108
fc_mm_0-1_default_,0.92504,0.00099,0.92291,0.92752,0.90881,0.0026,0.90331,0.91704,0.92504,0.00099,0.92291,0.92752,0.89061,0.00148,0.88737,0.8946,0.97036,0.0006,0.96891,0.9722,0.92607,0.00198,0.92007,0.93104,2.63437,0.4883,1.62458,3.67392
fc_mm_0-100_default_,0.9251,0.0011,0.92291,0.92752,0.90923,0.00296,0.90331,0.91704,0.9251,0.0011,0.92291,0.92752,0.89074,0.00164,0.88737,0.8946,0.97035,0.00062,0.9691,0.97198,0.92584,0.00235,0.92007,0.93104,2.8419,0.33642,2.23193,3.67392
fc_mm_0-10_default_,0.92503,0.00103,0.92291,0.92752,0.90899,0.00277,0.90331,0.91704,0.92503,0.00103,0.92291,0.92752,0.89062,0.00154,0.88737,0.8946,0.97035,0.00058,0.9691,0.97198,0.92599,0.00209,0.92007,0.93104,2.72223,0.43269,1.62458,3.67392
fc_mm_0-1000_default_,0.92512,0.00121,0.92291,0.92752,0.90958,0.00363,0.90331,0.91704,0.92512,0.00121,0.92291,0.92752,0.89082,0.00189,0.88737,0.8946,0.97032,0.00054,0.9692,0.97153,0.92516,0.00239,0.92007,0.92948,2.84755,0.32575,2.23193,3.67392
fc_none_default_,0.92472,0.00127,0.92203,0.9276,0.90871,0.00202,0.90522,0.91467,0.92472,0.00127,0.92203,0.9276,0.89012,0.0018,0.88617,0.89382,0.97031,0.00082,0.9688,0.97296,0.92589,0.00214,0.92207,0.93179,2.76356,0.20837,2.37445,3.22352
fc_std_opt-02_,0.92494,0.00098,0.92331,0.92728,0.90942,0.00218,0.90423,0.91407,0.92494,0.00098,0.92331,0.92728,0.8906,0.00148,0.88777,0.89435,0.97017,0.00063,0.96889,0.9718,0.92576,0.00189,0.92148,0.93016,2.00917,0.23837,1.65586,2.46622
fc_none_opt-02_,0.92465,0.00104,0.92296,0.9265,0.90833,0.00375,0.90115,0.91652,0.92465,0.00104,0.92296,0.9265,0.88999,0.00168,0.88717,0.89304,0.97007,0.00058,0.96906,0.97189,0.9251,0.00177,0.92259,0.93105,1.93641,0.22111,1.609,2.35885
fc_mm_0-1_opt-02_,0.92453,0.00155,0.91955,0.92949,0.91059,0.00704,0.88398,0.92591,0.92453,0.00155,0.91955,0.92949,0.89015,0.00247,0.88122,0.89806,0.96906,0.00238,0.96315,0.97242,0.92032,0.0107,0.8972,0.93047,2.12248,0.44625,1.49303,3.48616
fc_mm_0-10_opt-02_,0.92445,0.00147,0.91955,0.92862,0.91111,0.00688,0.88398,0.92546,0.92445,0.00147,0.91955,0.92862,0.89006,0.00225,0.88122,0.89567,0.96861,0.00257,0.96315,0.97202,0.91823,0.0116,0.8972,0.92991,1.991,0.33394,1.49303,2.86337
fc_none_opt-01_,0.92493,0.00128,0.92189,0.92704,0.91248,0.00343,0.90387,0.921,0.92493,0.00128,0.92189,0.92704,0.89092,0.0019,0.88628,0.89382,0.96849,0.00066,0.96704,0.96978,0.91568,0.00183,0.91185,0.91891,1.74982,0.16881,1.4528,2.08105
fc_std_opt-01_,0.92469,0.00109,0.92293,0.92752,0.91242,0.00205,0.90903,0.91636,0.92469,0.00109,0.92293,0.92752,0.89056,0.00149,0.88787,0.89417,0.96833,0.00064,0.96673,0.96986,0.91508,0.00162,0.91179,0.91821,1.51635,0.19283,1.26534,1.9323
fc_mm_0-100_opt-02_,0.92406,0.00149,0.91955,0.92721,0.91218,0.00786,0.88398,0.92546,0.92406,0.00149,0.91955,0.92721,0.88968,0.00238,0.88122,0.89456,0.96764,0.00263,0.96315,0.97151,0.91384,0.01196,0.8972,0.92829,1.96333,0.33385,1.53092,2.86337
fc_mm_0-10_opt-01_,0.92436,0.00121,0.92135,0.92709,0.91363,0.00394,0.90586,0.92139,0.92436,0.00121,0.92135,0.92709,0.89021,0.00169,0.88582,0.89417,0.96736,0.00147,0.96394,0.9699,0.91094,0.00598,0.89863,0.92,1.95891,0.59502,1.24972,3.63623
fc_mm_0-1_opt-01_,0.92424,0.00121,0.92135,0.92709,0.91742,0.00753,0.90586,0.93316,0.92424,0.00121,0.92135,0.92709,0.89046,0.0017,0.88582,0.89417,0.96697,0.00147,0.96394,0.9699,0.91075,0.00534,0.89863,0.92,1.82715,0.56878,1.23412,3.63623
fc_mm_0-100_opt-01_,0.92424,0.00105,0.92176,0.92677,0.91477,0.00406,0.90586,0.92139,0.92424,0.00105,0.92176,0.92677,0.89018,0.00142,0.8874,0.89343,0.96692,0.00152,0.96394,0.9699,0.9089,0.00624,0.89863,0.91976,2.19671,0.58831,1.4087,3.63623
fc_mm_0-1000_opt-01_,0.92391,0.00107,0.92176,0.92602,0.9178,0.00218,0.91388,0.92139,0.92391,0.00107,0.92176,0.92602,0.89009,0.00146,0.8874,0.89305,0.96557,0.00076,0.96394,0.96705,0.903,0.00188,0.89863,0.90689,2.63942,0.51963,1.97884,3.63623
fc_mm_0-1000_opt-02_,0.92383,0.00133,0.91955,0.92655,0.91811,0.00327,0.90741,0.92546,0.92383,0.00133,0.91955,0.92655,0.88998,0.00191,0.88367,0.89385,0.96517,0.00099,0.96315,0.96735,0.90216,0.00243,0.8972,0.90925,2.07792,0.34847,1.67149,2.75176
