Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
lr_mm_0-1000_opt-01_,0.90046,0.00276,0.89672,0.90539,0.92204,0.00535,0.91474,0.93099,0.90046,0.00276,0.89672,0.90539,0.89142,0.00321,0.88713,0.89701,0.95017,0.00146,0.94802,0.95282,0.90921,0.00133,0.90607,0.91162,6.13256,0.92137,5.19496,7.63456
lr_none_default_,0.89959,0.00123,0.8973,0.90142,0.91397,0.00175,0.90997,0.91679,0.89959,0.00123,0.8973,0.90142,0.88974,0.00137,0.88696,0.89189,0.95398,0.00075,0.95276,0.95548,0.92453,0.00085,0.92305,0.92647,4.55217,0.49973,3.24173,5.57589
lr_mm_0-1000_default_,0.90073,0.00331,0.89625,0.9068,0.9169,0.00617,0.90905,0.92796,0.90073,0.00331,0.89625,0.9068,0.89118,0.00388,0.88573,0.8983,0.95386,0.00125,0.95115,0.95654,0.92243,0.00307,0.9153,0.9257,4.54176,0.41337,4.01472,5.47543
lr_mm_0-100_default_,0.89985,0.00262,0.89625,0.9068,0.91511,0.00485,0.90837,0.92796,0.89985,0.00262,0.89625,0.9068,0.89011,0.00307,0.88573,0.8983,0.95375,0.00104,0.95115,0.95654,0.92337,0.0025,0.9153,0.92656,4.49551,0.46402,2.93678,5.47543
lr_mm_0-100_opt-01_,0.90008,0.00219,0.89672,0.90539,0.91951,0.00514,0.91018,0.93099,0.90008,0.00219,0.89672,0.90539,0.89078,0.00261,0.88713,0.89701,0.95133,0.00165,0.94802,0.95395,0.91437,0.00535,0.90607,0.92191,4.39098,1.87864,2.17138,7.63456
lr_mm_0-10_default_,0.89957,0.00226,0.89625,0.9068,0.91429,0.0043,0.90814,0.92796,0.89957,0.00226,0.89625,0.9068,0.88976,0.00266,0.88573,0.8983,0.95373,0.00092,0.95115,0.95654,0.92387,0.00225,0.9153,0.92691,4.29987,0.75695,2.23386,5.47543
lr_mm_0-1_default_,0.89939,0.00205,0.89625,0.9068,0.91391,0.0039,0.90814,0.92796,0.89939,0.00205,0.89625,0.9068,0.88953,0.00241,0.88573,0.8983,0.9537,0.00086,0.95115,0.95654,0.92403,0.00205,0.9153,0.92731,4.13455,0.88601,2.23386,5.47543
lr_mm_0-10_opt-01_,0.89961,0.00199,0.89627,0.90539,0.91801,0.00481,0.91018,0.93099,0.89961,0.00199,0.89627,0.90539,0.89016,0.00239,0.88623,0.89701,0.95155,0.00144,0.94802,0.95395,0.9159,0.00492,0.90607,0.92191,3.64131,1.8715,1.79516,7.63456
lr_std_default_,0.89904,0.00108,0.89672,0.90131,0.91275,0.0019,0.90935,0.91817,0.89904,0.00108,0.89672,0.90131,0.88904,0.0012,0.88656,0.89146,0.95369,0.00067,0.95235,0.95506,0.92465,0.00115,0.92225,0.92705,3.62245,0.85625,2.12683,4.91184
lr_mm_0-1_opt-02_,0.89902,0.00181,0.89109,0.90298,0.91523,0.00673,0.88067,0.92976,0.89902,0.00181,0.89109,0.90298,0.88929,0.00232,0.87763,0.89461,0.9523,0.00259,0.94635,0.95511,0.91945,0.00899,0.90004,0.92759,3.60625,1.04962,2.35133,7.79678
lr_mm_0-1000_opt-02_,0.89895,0.00238,0.89571,0.90298,0.9223,0.00484,0.91586,0.92976,0.89895,0.00238,0.89571,0.90298,0.88997,0.0028,0.88626,0.89461,0.94808,0.00124,0.94635,0.95067,0.90415,0.0019,0.90004,0.90774,3.53748,0.40827,2.87543,4.40634
lr_mm_0-1_opt-01_,0.89895,0.00215,0.89495,0.90539,0.91934,0.00491,0.91018,0.93099,0.89895,0.00215,0.89495,0.90539,0.88966,0.00234,0.88599,0.89701,0.95116,0.00146,0.94802,0.95395,0.91623,0.0044,0.90607,0.92191,3.22169,1.77908,1.66772,7.63456
lr_mm_0-100_opt-02_,0.8991,0.00197,0.89571,0.90298,0.91814,0.00618,0.90193,0.92976,0.8991,0.00197,0.89571,0.90298,0.88968,0.00238,0.88549,0.89461,0.95089,0.00301,0.94635,0.95511,0.91429,0.01037,0.90004,0.92759,3.1986,0.5073,2.35133,4.40634
lr_mm_0-10_opt-02_,0.89907,0.00177,0.89571,0.90298,0.9164,0.00599,0.90193,0.92976,0.89907,0.00177,0.89571,0.90298,0.88947,0.00216,0.88549,0.89461,0.95183,0.00282,0.94635,0.95511,0.91779,0.00982,0.90004,0.92759,3.18997,0.50087,2.35133,4.40634
lr_std_opt-02_,0.89922,0.00103,0.89735,0.90126,0.91322,0.00254,0.90847,0.91764,0.89922,0.00103,0.89735,0.90126,0.88928,0.00118,0.88685,0.89146,0.95374,0.00076,0.95262,0.95534,0.92462,0.00115,0.92247,0.92726,3.15136,0.4204,2.63149,4.23491
lr_none_opt-02_,0.89942,0.00163,0.89545,0.9029,0.91394,0.00573,0.89644,0.92694,0.89942,0.00163,0.89545,0.9029,0.88954,0.00211,0.88358,0.89425,0.95385,0.00083,0.9521,0.95546,0.92431,0.00101,0.92219,0.92606,2.81937,0.30915,2.17137,3.45467
lr_none_opt-01_,0.89867,0.0019,0.8935,0.90227,0.914,0.00615,0.89427,0.92668,0.89867,0.0019,0.8935,0.90227,0.88883,0.00244,0.88165,0.89356,0.95216,0.00096,0.9506,0.95432,0.91842,0.00136,0.91608,0.92113,2.76187,0.31415,2.29513,3.50381
lr_std_opt-01_,0.89893,0.00108,0.8973,0.9014,0.91582,0.0019,0.91211,0.92003,0.89893,0.00108,0.8973,0.9014,0.88929,0.00122,0.88758,0.89219,0.95204,0.00082,0.95066,0.95377,0.91875,0.00164,0.91538,0.92137,2.14955,0.30647,1.78049,3.03216
