Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
fc_mm_0-1000_22_,0.93417,0.00121,0.93198,0.93699,0.95408,0.00739,0.93866,0.96635,0.93417,0.00121,0.93198,0.93699,0.90683,0.0018,0.90308,0.91062,0.97297,0.00069,0.97089,0.97423,0.93065,0.00211,0.92378,0.93519,129.20444,65.37832,20.28555,244.49987
fc_mm_0-100_22_,0.93382,0.00115,0.93103,0.93699,0.95305,0.00641,0.93693,0.96635,0.93382,0.00115,0.93103,0.93699,0.90627,0.00172,0.90135,0.91062,0.97265,0.00069,0.97089,0.97423,0.93047,0.00187,0.92378,0.93519,136.71508,80.68322,20.28555,276.60081
fc_mm_0-10_22_,0.93367,0.00111,0.93103,0.93699,0.95233,0.00597,0.93693,0.96635,0.93367,0.00111,0.93103,0.93699,0.906,0.00164,0.90135,0.91062,0.97246,0.00074,0.97089,0.97423,0.9301,0.00229,0.92348,0.93519,137.32249,85.15165,20.28555,276.60081
fc_mm_0-1_22_,0.93347,0.00115,0.93047,0.93699,0.95228,0.00571,0.93693,0.96635,0.93347,0.00115,0.93047,0.93699,0.90574,0.00168,0.90084,0.91062,0.97232,0.00077,0.97074,0.97423,0.92983,0.00237,0.92173,0.93519,143.87423,88.47264,20.28555,385.38338
fc_none_22_,0.93364,0.00132,0.93066,0.936,0.94999,0.00683,0.93629,0.96101,0.93364,0.00132,0.93066,0.936,0.90573,0.00195,0.90239,0.90931,0.97279,0.00089,0.97139,0.97431,0.93139,0.00304,0.9251,0.9363,233.68031,139.9111,40.64221,515.98701
fc_none_15_,0.93339,0.00113,0.92989,0.93584,0.9513,0.00579,0.93666,0.95938,0.93339,0.00113,0.92989,0.93584,0.90558,0.00161,0.90119,0.90875,0.97291,0.00091,0.97075,0.97431,0.93213,0.00301,0.92524,0.93669,205.02698,108.57482,32.57481,327.84135
fc_mm_0-1000_15_,0.93311,0.00133,0.92904,0.9354,0.95022,0.00942,0.92006,0.96585,0.93311,0.00133,0.92904,0.9354,0.90513,0.00222,0.89689,0.90822,0.97252,0.0006,0.97141,0.9735,0.93014,0.00194,0.92479,0.93353,111.36405,53.89498,13.40264,218.11805
fc_std_15_,0.93296,0.00103,0.9299,0.93483,0.95121,0.00368,0.94412,0.9583,0.93296,0.00103,0.9299,0.93483,0.905,0.00141,0.90107,0.90785,0.97194,0.00072,0.97063,0.97318,0.92886,0.00261,0.92405,0.9334,127.19752,90.62036,22.49455,253.10495
fc_mm_0-100_15_,0.93291,0.00122,0.92904,0.9354,0.95075,0.00731,0.92006,0.96585,0.93291,0.00122,0.92904,0.9354,0.90491,0.00192,0.89689,0.90822,0.9723,0.0006,0.97113,0.9735,0.93003,0.00159,0.92479,0.93353,123.29795,80.11312,13.40264,278.79312
fc_mm_0-10_15_,0.93277,0.00108,0.92904,0.9354,0.9506,0.00652,0.92006,0.96585,0.93277,0.00108,0.92904,0.9354,0.90473,0.00171,0.89689,0.90822,0.97223,0.00055,0.97113,0.9735,0.93013,0.00151,0.92479,0.93353,120.60516,85.85887,13.40264,278.79312
fc_mm_0-1_15_,0.93276,0.00108,0.92904,0.9354,0.95059,0.00608,0.92006,0.96585,0.93276,0.00108,0.92904,0.9354,0.90472,0.00165,0.89689,0.90822,0.97219,0.00059,0.97094,0.9735,0.93007,0.00161,0.92479,0.93353,118.22886,85.80382,13.40264,278.79312
fc_std_10_,0.93246,0.00108,0.92951,0.93413,0.95206,0.00313,0.9449,0.95909,0.93246,0.00108,0.92951,0.93413,0.90449,0.00153,0.90016,0.90673,0.9715,0.00071,0.97024,0.97281,0.9293,0.00194,0.92512,0.93329,95.77899,78.32632,15.76371,233.76606
fc_std_22_,0.93243,0.00096,0.93015,0.93507,0.95017,0.00392,0.94019,0.95761,0.93243,0.00096,0.93015,0.93507,0.90424,0.00145,0.90028,0.90778,0.97122,0.00071,0.96973,0.97253,0.92654,0.00287,0.91911,0.9314,174.81357,95.30511,43.62673,396.53575
fc_none_10_,0.93208,0.001,0.93023,0.93463,0.95255,0.00426,0.94255,0.96068,0.93208,0.001,0.93023,0.93463,0.90408,0.00156,0.90125,0.90776,0.9713,0.0005,0.97055,0.9723,0.92864,0.00158,0.92517,0.93181,124.59106,89.67006,21.94842,258.41702
fc_mm_0-1_10_,0.9316,0.00329,0.90315,0.93491,0.95022,0.01706,0.8044,0.97266,0.9316,0.00329,0.90315,0.93491,0.90313,0.00608,0.84803,0.90842,0.97139,0.00071,0.96956,0.97312,0.92875,0.00201,0.92297,0.93264,94.20769,70.64185,15.10651,236.27613
fc_mm_0-10_10_,0.9315,0.00376,0.90315,0.93491,0.94975,0.01963,0.8044,0.97266,0.9315,0.00376,0.90315,0.93491,0.90295,0.00698,0.84803,0.90842,0.97142,0.00073,0.96956,0.97312,0.9287,0.00211,0.92297,0.93264,94.4891,68.39259,15.18052,236.27613
fc_mm_0-100_10_,0.93124,0.00455,0.90315,0.93491,0.94861,0.02395,0.8044,0.97266,0.93124,0.00455,0.90315,0.93491,0.90248,0.00848,0.84803,0.90842,0.97147,0.00073,0.96956,0.97312,0.9285,0.00217,0.92297,0.93264,103.26819,69.91857,15.18052,236.27613
fc_mm_0-1000_10_,0.93036,0.00627,0.90315,0.93491,0.94579,0.03345,0.8044,0.97266,0.93036,0.00627,0.90315,0.93491,0.90098,0.01179,0.84803,0.90842,0.97166,0.00072,0.96983,0.97312,0.92824,0.00225,0.92297,0.93264,111.60473,76.32253,15.18052,236.27613
