Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
lr_none_22_,0.92123,0.00269,0.90928,0.92401,0.95691,0.01657,0.88693,0.97223,0.92123,0.00269,0.90928,0.92401,0.91497,0.00398,0.8966,0.91857,0.97374,0.00126,0.96984,0.97557,0.96349,0.00234,0.95571,0.96675,472.55932,149.55896,170.12371,913.37825
lr_none_15_,0.92182,0.00184,0.91522,0.92469,0.955,0.01329,0.91982,0.97447,0.92182,0.00184,0.91522,0.92469,0.91542,0.0025,0.90863,0.91859,0.97434,0.00225,0.96448,0.97644,0.96448,0.00415,0.94705,0.96807,441.8054,178.76802,163.26737,973.62346
lr_none_10_,0.91334,0.00098,0.91156,0.91519,0.9552,0.00693,0.93956,0.96582,0.91334,0.00098,0.91156,0.91519,0.90717,0.00122,0.90467,0.90947,0.96136,0.00105,0.95915,0.96339,0.94029,0.00229,0.9348,0.94454,345.91689,114.2603,167.06,567.36348
lr_std_22_,0.91016,0.00093,0.90854,0.91236,0.9523,0.00438,0.94402,0.95948,0.91016,0.00093,0.90854,0.91236,0.90383,0.00115,0.9019,0.90642,0.95703,0.00072,0.9552,0.9587,0.92737,0.00219,0.92214,0.9323,497.58325,273.88728,151.0041,958.1283
lr_std_15_,0.90885,0.001,0.9071,0.91064,0.9513,0.00406,0.94067,0.95995,0.90885,0.001,0.9071,0.91064,0.90243,0.00119,0.89963,0.9045,0.95642,0.00073,0.95504,0.95782,0.92753,0.00187,0.92407,0.93029,257.77722,156.40189,56.88656,472.76382
lr_std_10_,0.90715,0.00075,0.90549,0.90887,0.95247,0.00237,0.94851,0.95777,0.90715,0.00075,0.90549,0.90887,0.90089,0.00079,0.89951,0.90254,0.95511,0.0005,0.95399,0.95618,0.92701,0.00102,0.92475,0.92902,183.99464,167.5741,25.71593,435.07552
lr_mm_0-1_22_,0.9144,0.00572,0.90629,0.92517,0.95429,0.00962,0.92587,0.97808,0.9144,0.00572,0.90629,0.92517,0.90811,0.00598,0.8998,0.91924,0.96319,0.00672,0.9554,0.97516,0.94164,0.01392,0.92493,0.96331,442.42988,238.87146,93.91458,1116.32236
lr_mm_0-1_15_,0.91366,0.0056,0.90637,0.92432,0.95399,0.00958,0.89416,0.978,0.91366,0.0056,0.90637,0.92432,0.90735,0.00582,0.89933,0.91901,0.96227,0.00621,0.95526,0.97331,0.94013,0.01249,0.92546,0.96169,338.67025,217.05586,37.14999,1085.78939
lr_mm_0-1_10_,0.9095,0.00398,0.90431,0.91941,0.95642,0.00664,0.94571,0.97661,0.9095,0.00398,0.90431,0.91941,0.90353,0.00433,0.89778,0.91392,0.95674,0.00276,0.95357,0.96549,0.9297,0.00465,0.92379,0.94633,277.98307,225.83791,23.05046,952.81586
lr_mm_0-10_22_,0.9162,0.0055,0.90751,0.92517,0.95518,0.01083,0.92587,0.97808,0.9162,0.0055,0.90751,0.92517,0.90993,0.00583,0.90055,0.91924,0.96539,0.00638,0.95569,0.97516,0.94621,0.01319,0.92545,0.96331,469.9684,242.22999,129.54054,1116.32236
