Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
fc_none_22_opt-01,0.93377,0.00119,0.9321,0.93543,0.95034,0.00777,0.93629,0.96101,0.93377,0.00119,0.9321,0.93543,0.90592,0.00175,0.90337,0.90772,0.97281,0.00087,0.97151,0.97431,0.9308,0.00254,0.92757,0.93475,362.46571,100.27213,254.03125,515.98701
fc_none_15_opt-01,0.93338,0.00107,0.93189,0.93584,0.95078,0.00795,0.93666,0.95938,0.93338,0.00107,0.93189,0.93584,0.90559,0.00171,0.90245,0.90875,0.97309,0.00083,0.97164,0.97431,0.93277,0.00232,0.92865,0.93669,286.7137,50.61487,183.8104,327.84135
fc_none_22_opt-02,0.93376,0.00129,0.93181,0.93568,0.94988,0.00742,0.93727,0.96036,0.93376,0.00129,0.93181,0.93568,0.9058,0.00213,0.90285,0.90924,0.97334,0.00071,0.97211,0.97402,0.93395,0.00193,0.93114,0.9363,275.56195,2.27439,272.85799,278.58075
fc_none_15_opt-02,0.93394,0.00064,0.93268,0.93514,0.95031,0.00546,0.94206,0.95761,0.93394,0.00064,0.93268,0.93514,0.90618,0.0012,0.90388,0.9082,0.97352,0.00043,0.97301,0.9743,0.93446,0.00117,0.93318,0.93611,267.55604,3.69439,260.92278,275.12921
fc_std_22_opt-02,0.93272,0.0008,0.93184,0.93474,0.95109,0.00351,0.94682,0.95761,0.93272,0.0008,0.93184,0.93474,0.90473,0.00119,0.90358,0.90778,0.97146,0.00048,0.97083,0.97253,0.92787,0.00152,0.92452,0.92998,260.41983,4.50319,255.19544,267.66345
fc_std_15_opt-02,0.9332,0.00103,0.93178,0.93483,0.95139,0.00367,0.94551,0.9553,0.9332,0.00103,0.93178,0.93483,0.90535,0.00152,0.90328,0.90785,0.97219,0.00069,0.97118,0.97318,0.93007,0.00184,0.9279,0.9334,246.33702,2.90547,243.204,253.10495
fc_none_10_opt-02,0.93241,0.00125,0.93023,0.93463,0.95171,0.00414,0.94498,0.95695,0.93241,0.00125,0.93023,0.93463,0.90441,0.00188,0.90125,0.90776,0.97153,0.00051,0.97091,0.9723,0.92926,0.00116,0.92751,0.9308,244.23454,17.35894,208.64917,258.41702
fc_mm_0-1_22_opt-02,0.93352,0.00118,0.93073,0.9357,0.95217,0.00583,0.93831,0.96408,0.93352,0.00118,0.93073,0.9357,0.90574,0.00169,0.90084,0.90914,0.97232,0.00075,0.97074,0.97412,0.92976,0.00197,0.92585,0.93418,239.03531,42.46428,102.18114,276.60081
fc_mm_0-10_22_opt-02,0.93381,0.00109,0.93209,0.9357,0.9517,0.00558,0.93951,0.96408,0.93381,0.00109,0.93209,0.9357,0.90607,0.00153,0.90331,0.90914,0.97247,0.00072,0.97134,0.97412,0.92993,0.00194,0.92701,0.93418,237.45674,49.12576,102.18114,276.60081
fc_mm_0-100_22_opt-02,0.93395,0.00103,0.93214,0.9357,0.95118,0.00637,0.93951,0.96408,0.93395,0.00103,0.93214,0.9357,0.90622,0.00152,0.90331,0.90914,0.97268,0.00064,0.97174,0.97412,0.9302,0.00178,0.92764,0.93362,226.17809,57.23314,102.18114,276.60081
fc_mm_0-1_15_opt-02,0.93278,0.00107,0.93053,0.93502,0.95135,0.00477,0.93991,0.9603,0.93278,0.00107,0.93053,0.93502,0.9048,0.00151,0.90158,0.90782,0.97216,0.00061,0.97095,0.9735,0.92983,0.00165,0.92479,0.93282,224.46249,48.74718,97.46181,278.79312
fc_mm_0-10_15_opt-02,0.93287,0.00116,0.93053,0.93502,0.95116,0.00515,0.93991,0.9603,0.93287,0.00116,0.93053,0.93502,0.90491,0.00166,0.90158,0.90782,0.97217,0.00058,0.9712,0.9735,0.92969,0.00164,0.92479,0.93282,223.03868,56.44662,97.46181,278.79312
fc_mm_0-100_15_opt-02,0.93307,0.00128,0.93053,0.93502,0.95196,0.00496,0.93991,0.9603,0.93307,0.00128,0.93053,0.93502,0.90526,0.00174,0.90158,0.90782,0.97224,0.00064,0.97127,0.9735,0.92951,0.00184,0.92479,0.93282,210.42436,65.98807,97.46181,278.79312
fc_std_22_opt-01,0.93234,0.00124,0.93015,0.93507,0.94931,0.00425,0.94019,0.95386,0.93234,0.00124,0.93015,0.93507,0.90406,0.00186,0.90028,0.90773,0.97064,0.00074,0.96973,0.97218,0.92372,0.00256,0.91911,0.92802,199.77529,80.52273,89.40049,396.53575
fc_std_10_opt-02,0.93286,0.001,0.93075,0.93396,0.9532,0.00195,0.95038,0.95608,0.93286,0.001,0.93075,0.93396,0.90512,0.00122,0.90244,0.90626,0.97165,0.00085,0.97024,0.97267,0.92973,0.00262,0.92512,0.93312,192.17446,45.98232,122.72081,233.76606
fc_mm_0-1000_10_opt-02,0.93309,0.0011,0.93166,0.93491,0.95429,0.00633,0.94687,0.96515,0.93309,0.0011,0.93166,0.93491,0.90549,0.00171,0.90353,0.90842,0.97184,0.00073,0.97094,0.97312,0.92866,0.00242,0.92536,0.93264,187.16226,53.4752,56.60991,236.27613
fc_mm_0-1000_22_opt-02,0.9342,0.00104,0.93264,0.9357,0.95279,0.00713,0.94014,0.96408,0.9342,0.00104,0.93264,0.9357,0.90667,0.00139,0.90456,0.90914,0.97292,0.00065,0.97219,0.97412,0.93019,0.00206,0.92811,0.93362,181.84466,50.17081,102.18114,244.49987
fc_mm_0-100_10_opt-02,0.93283,0.00089,0.93153,0.93491,0.95283,0.00524,0.9442,0.96515,0.93283,0.00089,0.93153,0.93491,0.90503,0.00139,0.90329,0.90842,0.97174,0.00056,0.97094,0.97312,0.92934,0.00202,0.92536,0.93264,179.73723,42.90969,56.60991,236.27613
fc_mm_0-1_10_opt-02,0.93245,0.0009,0.93053,0.93491,0.95264,0.00408,0.9442,0.96515,0.93245,0.0009,0.93053,0.93491,0.90451,0.00133,0.90186,0.90842,0.9716,0.00054,0.97071,0.97312,0.92951,0.0018,0.92536,0.93264,178.15847,41.01868,56.60991,236.27613
fc_mm_0-10_10_opt-02,0.93263,0.00089,0.93122,0.93491,0.95303,0.00443,0.9442,0.96515,0.93263,0.00089,0.93122,0.93491,0.90482,0.0013,0.90305,0.90842,0.97167,0.00057,0.97071,0.97312,0.92967,0.00187,0.92536,0.93264,171.15813,44.25556,56.60991,236.27613
fc_mm_0-1000_15_opt-02,0.93335,0.00116,0.93118,0.93502,0.95214,0.00533,0.93991,0.95988,0.93335,0.00116,0.93118,0.93502,0.90566,0.00149,0.90295,0.90747,0.97232,0.00078,0.97141,0.9735,0.92945,0.00246,0.92479,0.93282,152.23815,40.50161,97.46181,218.11805
fc_mm_0-1_22_opt-01,0.9336,0.00136,0.93047,0.93699,0.95253,0.00547,0.93693,0.96311,0.9336,0.00136,0.93047,0.93699,0.90594,0.002,0.90094,0.91062,0.9722,0.00084,0.97075,0.97392,0.92901,0.0029,0.92173,0.93316,135.84009,62.24236,61.91266,385.38338
fc_mm_0-1000_22_opt-01,0.93456,0.00147,0.93216,0.93699,0.95623,0.00573,0.94464,0.96311,0.93456,0.00147,0.93216,0.93699,0.90756,0.00184,0.90473,0.91062,0.97294,0.00088,0.97089,0.97392,0.93068,0.00258,0.92378,0.93316,133.76172,37.11172,82.943,211.04938
fc_mm_0-1000_15_opt-01,0.93342,0.00087,0.932,0.93474,0.95225,0.0074,0.94243,0.96585,0.93342,0.00087,0.932,0.93474,0.9057,0.00151,0.90334,0.90822,0.97265,0.00041,0.97201,0.97317,0.9305,0.00151,0.92788,0.93322,125.63241,30.48403,82.27794,165.18691
fc_mm_0-1000_10_opt-01,0.93201,0.00182,0.92851,0.93451,0.94873,0.01181,0.92331,0.96003,0.93201,0.00182,0.92851,0.93451,0.9036,0.00326,0.89677,0.90728,0.97167,0.00082,0.96983,0.97253,0.92829,0.00233,0.92297,0.93043,119.31254,38.06964,72.85957,206.11961
fc_mm_0-100_22_opt-01,0.93401,0.00143,0.93103,0.93699,0.95406,0.00608,0.93693,0.96311,0.93401,0.00143,0.93103,0.93699,0.90666,0.00205,0.90135,0.91062,0.97262,0.00078,0.97089,0.97392,0.93058,0.00204,0.92378,0.93316,117.22776,37.16499,61.91266,211.04938
fc_mm_0-10_22_opt-01,0.9337,0.00134,0.93103,0.93699,0.9531,0.0058,0.93693,0.96311,0.9337,0.00134,0.93103,0.93699,0.90614,0.00199,0.90135,0.91062,0.97231,0.00083,0.97089,0.97392,0.92938,0.00272,0.92348,0.93316,116.43085,35.92661,61.91266,211.04938
fc_mm_0-100_15_opt-01,0.93302,0.00103,0.93115,0.93474,0.95169,0.00621,0.94164,0.96585,0.93302,0.00103,0.93115,0.93474,0.90513,0.00158,0.90262,0.90822,0.97224,0.0006,0.97113,0.97317,0.92996,0.0014,0.92788,0.93322,108.30976,33.29942,55.30442,165.18691
fc_std_15_opt-01,0.93258,0.0013,0.9299,0.93407,0.95302,0.00372,0.94587,0.9583,0.93258,0.0013,0.9299,0.93407,0.90471,0.00174,0.90107,0.90641,0.97131,0.0006,0.97063,0.9721,0.92601,0.00163,0.92405,0.9293,99.37531,20.36016,75.14125,147.71495
fc_mm_0-100_10_opt-01,0.93191,0.00141,0.92851,0.93451,0.95008,0.00942,0.92331,0.96003,0.93191,0.00141,0.92851,0.93451,0.90361,0.00254,0.89677,0.90728,0.97136,0.00087,0.96956,0.97253,0.92817,0.0023,0.92297,0.9309,98.95035,38.27541,56.6135,206.11961
fc_mm_0-10_15_opt-01,0.93278,0.00093,0.93115,0.93474,0.95135,0.00593,0.94164,0.96585,0.93278,0.00093,0.93115,0.93474,0.90483,0.00147,0.90252,0.90822,0.97219,0.00057,0.97113,0.97317,0.93009,0.00145,0.9274,0.93322,95.22438,33.86059,51.67137,165.18691
fc_mm_0-1_15_opt-01,0.93291,0.00105,0.93115,0.93528,0.95071,0.00589,0.94137,0.96585,0.93291,0.00105,0.93115,0.93528,0.90492,0.00154,0.90252,0.90822,0.97219,0.00062,0.97094,0.97346,0.92995,0.00173,0.92547,0.93353,89.85135,31.03316,51.67137,165.18691
fc_none_10_opt-01,0.93202,0.00095,0.93055,0.93358,0.95319,0.00478,0.94255,0.96068,0.93202,0.00095,0.93055,0.93358,0.90394,0.00153,0.90193,0.9067,0.97114,0.00057,0.97055,0.97208,0.92767,0.00167,0.92517,0.92995,88.44061,19.12134,68.46788,126.62077
fc_mm_0-10_10_opt-01,0.93197,0.00133,0.92851,0.93469,0.9509,0.00783,0.92331,0.96003,0.93197,0.00133,0.92851,0.93469,0.90374,0.00223,0.89677,0.90728,0.97139,0.00083,0.96956,0.97253,0.92846,0.00215,0.92297,0.9309,84.88237,37.29422,46.63506,206.11961
fc_mm_0-1_10_opt-01,0.93198,0.00122,0.92851,0.93469,0.9514,0.0069,0.92331,0.96003,0.93198,0.00122,0.92851,0.93469,0.90379,0.00201,0.89677,0.90728,0.97135,0.00083,0.96956,0.97253,0.92851,0.00214,0.92297,0.93161,78.11001,34.41598,46.63506,206.11961
fc_std_10_opt-01,0.93273,0.0009,0.93144,0.93413,0.95201,0.00421,0.9449,0.95909,0.93273,0.0009,0.93144,0.93413,0.90476,0.00145,0.90297,0.90673,0.97172,0.00063,0.97053,0.97281,0.92968,0.00182,0.9273,0.93329,77.01863,15.4551,51.82511,96.87111
fc_mm_0-1000_22_default,0.93375,0.00105,0.93198,0.93508,0.95322,0.00918,0.93866,0.96635,0.93375,0.00105,0.93198,0.93508,0.90627,0.00204,0.90308,0.90848,0.97305,0.00055,0.97203,0.97423,0.93109,0.00173,0.92871,0.93519,72.00694,56.04835,20.28555,202.07808
fc_mm_0-100_22_default,0.9335,0.0009,0.93198,0.93508,0.95392,0.00667,0.93866,0.96635,0.9335,0.0009,0.93198,0.93508,0.90593,0.00154,0.90308,0.90848,0.97267,0.00068,0.97125,0.97423,0.93063,0.00184,0.9274,0.93519,66.73939,39.73395,20.28555,202.07808
fc_std_22_default,0.93222,0.00079,0.93129,0.93388,0.95011,0.00417,0.94275,0.95692,0.93222,0.00079,0.93129,0.93388,0.90393,0.00122,0.90252,0.90659,0.97156,0.0005,0.97075,0.97245,0.92802,0.00209,0.92455,0.9314,64.2456,18.56874,43.62673,99.40506
fc_none_22_default,0.93339,0.00155,0.93066,0.936,0.94976,0.00588,0.93644,0.95892,0.93339,0.00155,0.93066,0.936,0.90548,0.00213,0.90239,0.90931,0.9722,0.00078,0.97139,0.97351,0.92943,0.00278,0.9251,0.93302,63.01327,16.57102,40.64221,99.0695
fc_none_15_default,0.93285,0.00137,0.92989,0.93455,0.95281,0.00332,0.94352,0.95476,0.93285,0.00137,0.92989,0.93455,0.90496,0.00178,0.90119,0.90704,0.97213,0.00082,0.97075,0.97331,0.92916,0.00246,0.92524,0.93349,60.81121,23.28256,32.57481,108.61627
fc_mm_0-10_22_default,0.9335,0.00088,0.93157,0.93508,0.95217,0.0066,0.93866,0.96635,0.9335,0.00088,0.93157,0.93508,0.90579,0.00137,0.90308,0.90848,0.97262,0.00066,0.97125,0.97423,0.93098,0.0019,0.9274,0.93519,58.07988,35.04784,20.28555,202.07808
fc_mm_0-1_22_default,0.9333,0.00087,0.93157,0.93508,0.95214,0.00597,0.93866,0.96635,0.9333,0.00087,0.93157,0.93508,0.90554,0.00128,0.90308,0.90848,0.97243,0.00071,0.97098,0.97423,0.93071,0.00183,0.92682,0.93519,56.74728,32.65771,20.28555,202.07808
