Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
lr_mm_0-1000_22_opt-01,0.92327,0.00155,0.92094,0.92517,0.9621,0.00695,0.94904,0.97231,0.92327,0.00155,0.92094,0.92517,0.91743,0.00162,0.91492,0.91924,0.9715,0.00216,0.96792,0.97416,0.95785,0.00419,0.95213,0.96303,976.66882,117.76693,674.39418,1116.32236
lr_std_22_opt-01,0.91074,0.00091,0.90903,0.91236,0.95371,0.00424,0.94402,0.95789,0.91074,0.00091,0.90903,0.91236,0.90451,0.0011,0.90266,0.90642,0.95688,0.0008,0.9552,0.95766,0.92514,0.00174,0.92214,0.92792,804.07889,206.02101,431.68315,958.1283
lr_mm_0-1000_10_opt-01,0.91751,0.00119,0.91516,0.91941,0.96634,0.00638,0.95826,0.9763,0.91751,0.00119,0.91516,0.91941,0.91213,0.00125,0.90934,0.91339,0.96253,0.00131,0.96059,0.96549,0.93962,0.00315,0.93537,0.94633,790.32415,151.69216,521.57783,952.81586
lr_mm_0-100_22_opt-01,0.92127,0.00239,0.91738,0.92517,0.96094,0.00693,0.94697,0.97231,0.92127,0.00239,0.91738,0.92517,0.91536,0.00249,0.91133,0.91924,0.9702,0.00209,0.96772,0.97416,0.95599,0.00368,0.95171,0.96303,781.91861,275.813,169.96575,1116.32236
lr_mm_0-1000_15_opt-01,0.92014,0.00354,0.91153,0.92432,0.95358,0.02426,0.89416,0.978,0.92014,0.00354,0.91153,0.92432,0.9136,0.00555,0.89948,0.91901,0.97066,0.00253,0.96564,0.97331,0.95636,0.00558,0.94429,0.96169,657.49654,362.35641,230.59213,1085.78939
lr_mm_0-10_22_opt-01,0.91728,0.00607,0.90773,0.92517,0.95803,0.00769,0.94177,0.97231,0.91728,0.00607,0.90773,0.92517,0.91125,0.00628,0.90055,0.91924,0.96575,0.00662,0.95593,0.97416,0.94668,0.01374,0.92545,0.96303,640.96861,328.92309,136.50553,1116.32236
lr_mm_0-1_22_opt-01,0.9152,0.00639,0.90699,0.92517,0.95625,0.00749,0.94177,0.97231,0.9152,0.00639,0.90699,0.92517,0.90907,0.00665,0.90055,0.91924,0.96343,0.00703,0.9554,0.97416,0.94164,0.01479,0.92493,0.96303,603.02167,315.04189,136.50553,1116.32236
lr_mm_0-100_10_opt-01,0.91382,0.00391,0.90905,0.91941,0.96145,0.00719,0.95192,0.9763,0.91382,0.00391,0.90905,0.91941,0.90815,0.00422,0.90286,0.91339,0.9599,0.00286,0.95657,0.96549,0.93548,0.00485,0.92947,0.94633,574.89102,275.0192,152.30289,952.81586
lr_mm_0-100_15_opt-01,0.91915,0.00268,0.91153,0.92432,0.95478,0.01726,0.89416,0.978,0.91915,0.00268,0.91153,0.92432,0.91276,0.00399,0.89948,0.91901,0.96886,0.00262,0.96564,0.97331,0.95336,0.00511,0.94429,0.96169,552.60538,329.46425,189.78481,1085.78939
lr_none_15_opt-01,0.92115,0.00228,0.91522,0.92354,0.95622,0.01081,0.92997,0.9692,0.92115,0.00228,0.91522,0.92354,0.91486,0.00259,0.90863,0.91723,0.97256,0.00316,0.96448,0.97584,0.96095,0.00562,0.94705,0.96693,531.55504,250.05166,163.26737,973.62346
lr_none_22_opt-01,0.92127,0.00179,0.91772,0.9234,0.95894,0.01205,0.93052,0.97027,0.92127,0.00179,0.91772,0.9234,0.91524,0.0024,0.90934,0.91764,0.97281,0.00135,0.96984,0.97384,0.96159,0.00246,0.95571,0.96344,520.94097,239.96176,170.12371,913.37825
lr_none_15_opt-02,0.92221,0.00167,0.91994,0.92469,0.95494,0.01537,0.9278,0.97447,0.92221,0.00167,0.91994,0.92469,0.91578,0.00245,0.91142,0.91859,0.9755,0.00062,0.97453,0.97644,0.96676,0.00091,0.96538,0.96807,496.42218,8.12852,479.7072,506.67302
lr_none_22_opt-02,0.9221,0.00148,0.91958,0.92401,0.95922,0.01163,0.92954,0.97223,0.9221,0.00148,0.91958,0.92401,0.91605,0.00207,0.91122,0.91857,0.9748,0.00049,0.97421,0.97557,0.96554,0.00071,0.96459,0.96675,489.35497,7.87734,474.03245,498.23662
lr_std_22_opt-02,0.9096,0.00058,0.90866,0.91033,0.9505,0.00373,0.94444,0.95604,0.9096,0.00058,0.90866,0.91033,0.90313,0.00066,0.9019,0.90395,0.95696,0.00056,0.95622,0.95779,0.92831,0.00102,0.92711,0.93004,480.85477,6.09616,472.5038,492.67586
lr_std_15_opt-02,0.90865,0.00121,0.9071,0.91044,0.94932,0.00469,0.94067,0.95383,0.90865,0.00121,0.9071,0.91044,0.90204,0.00158,0.89963,0.90424,0.9565,0.00062,0.95532,0.9573,0.92813,0.0012,0.92608,0.93029,465.19909,5.29119,459.11391,472.76382
lr_none_10_opt-02,0.91359,0.00096,0.91242,0.91519,0.955,0.00453,0.94828,0.96149,0.91359,0.00096,0.91242,0.91519,0.90745,0.00109,0.90586,0.90939,0.96219,0.00065,0.96119,0.96339,0.94216,0.00128,0.94037,0.94454,463.85559,8.30439,450.99848,473.66372
lr_mm_0-10_22_opt-02,0.91668,0.00574,0.90775,0.92378,0.95491,0.01155,0.93114,0.97808,0.91668,0.00574,0.90775,0.92378,0.91036,0.00608,0.90107,0.91863,0.96633,0.00705,0.9561,0.97516,0.94813,0.01428,0.92735,0.96331,452.33357,67.41705,168.74574,500.24326
lr_mm_0-1_22_opt-02,0.91477,0.00601,0.90629,0.92378,0.95422,0.01014,0.93114,0.97808,0.91477,0.00601,0.90629,0.92378,0.90846,0.00625,0.8998,0.91863,0.96392,0.00742,0.95562,0.97516,0.9433,0.01496,0.92728,0.96331,451.36963,58.24816,168.74574,500.24326
lr_mm_0-10_15_opt-01,0.91562,0.00557,0.90644,0.92432,0.95339,0.01447,0.89416,0.978,0.91562,0.00557,0.90644,0.92432,0.9092,0.00612,0.89933,0.91901,0.9647,0.00636,0.95535,0.97331,0.94474,0.01309,0.92588,0.96169,446.55047,315.67687,103.60802,1085.78939
lr_mm_0-10_15_opt-02,0.91606,0.00573,0.90723,0.92266,0.95506,0.00863,0.93952,0.97403,0.91606,0.00573,0.90723,0.92266,0.90978,0.00587,0.90075,0.91753,0.96493,0.0063,0.95575,0.97154,0.9455,0.01261,0.92695,0.95819,439.66824,55.30151,316.97787,502.24085
lr_mm_0-1_15_opt-02,0.91416,0.00597,0.90723,0.92266,0.954,0.00783,0.93952,0.97403,0.91416,0.00597,0.90723,0.92266,0.90784,0.00611,0.90075,0.91753,0.96275,0.00665,0.95566,0.97154,0.94115,0.01329,0.92662,0.95819,436.57817,48.08851,316.97787,502.24085
lr_mm_0-100_22_opt-02,0.92055,0.00147,0.91842,0.92378,0.9577,0.01326,0.93114,0.97808,0.92055,0.00147,0.91842,0.92378,0.91439,0.00208,0.9111,0.91863,0.97112,0.00184,0.96726,0.97516,0.95786,0.00339,0.94951,0.96331,436.16062,78.04456,168.74574,499.32864
lr_mm_0-100_15_opt-02,0.9199,0.00176,0.91511,0.92266,0.95635,0.01036,0.93952,0.97403,0.9199,0.00176,0.91511,0.92266,0.91365,0.00221,0.90917,0.91753,0.96916,0.00204,0.96299,0.97154,0.9539,0.00444,0.93976,0.95819,429.78807,65.88405,316.97787,502.24085
lr_mm_0-100_10_opt-02,0.91335,0.00297,0.90897,0.91866,0.9602,0.0073,0.94862,0.97661,0.91335,0.00297,0.90897,0.91866,0.90761,0.00344,0.90239,0.91392,0.9594,0.00206,0.95652,0.96347,0.93447,0.00344,0.93009,0.94241,413.63868,57.69682,293.63313,476.21971
lr_mm_0-10_10_opt-01,0.91144,0.00468,0.90541,0.91941,0.95814,0.00759,0.94891,0.9763,0.91144,0.00468,0.90541,0.91941,0.90555,0.00508,0.89892,0.91339,0.95821,0.00339,0.95371,0.96549,0.93253,0.00581,0.92527,0.94633,412.41776,322.78326,75.0975,952.81586
lr_std_10_opt-02,0.90722,0.00091,0.90587,0.90887,0.95241,0.00173,0.94851,0.95451,0.90722,0.00091,0.90587,0.90887,0.90095,0.00094,0.89963,0.9025,0.95502,0.00063,0.95404,0.95618,0.92687,0.00128,0.92475,0.92865,411.18966,18.91662,373.84492,435.07552
lr_none_22_default,0.92031,0.00402,0.90928,0.92272,0.95257,0.02394,0.88693,0.96645,0.92031,0.00402,0.90928,0.92272,0.91361,0.00613,0.8966,0.91698,0.97361,0.00091,0.97214,0.9752,0.96335,0.00153,0.96099,0.9659,407.38202,82.43902,269.64555,519.66139
lr_mm_0-10_10_opt-02,0.91101,0.00421,0.90431,0.91866,0.95779,0.00709,0.94675,0.97661,0.91101,0.00421,0.90431,0.91866,0.90512,0.00461,0.89778,0.91392,0.95787,0.00281,0.95372,0.96347,0.93196,0.00462,0.92515,0.94241,401.06888,63.74603,214.31531,476.21971
lr_mm_0-1000_22_default,0.91662,0.00297,0.91208,0.92133,0.95447,0.01568,0.93024,0.97288,0.91662,0.00297,0.91208,0.92133,0.9103,0.00387,0.90371,0.91579,0.96569,0.00222,0.96316,0.97105,0.94665,0.00435,0.94151,0.95736,385.31097,92.32058,263.42092,520.80584
