Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
fc_none_opt-02_,0.93337,0.00127,0.93023,0.93568,0.95063,0.00568,0.93727,0.96036,0.93337,0.00127,0.93023,0.93568,0.90546,0.00188,0.90125,0.90924,0.97279,0.00106,0.97091,0.9743,0.93256,0.00277,0.92751,0.9363,262.45084,16.79426,208.64917,278.58075
fc_none_opt-01_,0.93306,0.00129,0.93055,0.93584,0.95144,0.00686,0.93629,0.96101,0.93306,0.00129,0.93055,0.93584,0.90515,0.00183,0.90193,0.90875,0.97235,0.00115,0.97055,0.97431,0.93041,0.00301,0.92517,0.93669,245.87334,133.55946,68.46788,515.98701
fc_mm_0-10_default_,0.93201,0.00388,0.90315,0.9354,0.94892,0.0198,0.8044,0.97266,0.93201,0.00388,0.90315,0.9354,0.90351,0.00709,0.84803,0.90848,0.97205,0.00089,0.96973,0.97423,0.92986,0.0022,0.92317,0.93519,43.01969,28.65555,13.40264,202.07808
fc_mm_0-1000_opt-01_,0.93333,0.00175,0.92851,0.93699,0.9524,0.00896,0.92331,0.96585,0.93333,0.00175,0.92851,0.93699,0.90562,0.00279,0.89677,0.91062,0.97242,0.0009,0.96983,0.97392,0.92982,0.00238,0.92297,0.93322,126.23556,34.6669,72.85957,211.04938
fc_mm_0-1_default_,0.9321,0.00339,0.90315,0.9354,0.94949,0.01726,0.8044,0.97266,0.9321,0.00339,0.90315,0.9354,0.90369,0.00618,0.84803,0.90848,0.97196,0.00084,0.96973,0.97423,0.92979,0.00205,0.92317,0.93519,41.15821,26.80148,13.40264,202.07808
fc_mm_0-1000_default_,0.93077,0.00642,0.90315,0.9354,0.94461,0.03367,0.8044,0.97266,0.93077,0.00642,0.90315,0.9354,0.90139,0.01193,0.84803,0.90848,0.97236,0.00088,0.97042,0.97423,0.92978,0.00232,0.92317,0.93519,52.18932,42.80822,13.40264,202.07808
fc_mm_0-10_opt-02_,0.9331,0.00116,0.93053,0.9357,0.95197,0.00508,0.93951,0.96515,0.9331,0.00116,0.93053,0.9357,0.90527,0.00159,0.90158,0.90914,0.9721,0.00071,0.97071,0.97412,0.92976,0.00181,0.92479,0.93418,210.55118,57.29238,56.60991,278.79312
fc_mm_0-100_default_,0.93171,0.00467,0.90315,0.9354,0.94848,0.02417,0.8044,0.97266,0.93171,0.00467,0.90315,0.9354,0.90302,0.0086,0.84803,0.90848,0.97213,0.00088,0.96973,0.97423,0.92974,0.00215,0.92317,0.93519,49.67204,32.25892,13.40264,202.07808
fc_mm_0-1_opt-02_,0.93292,0.00114,0.93053,0.9357,0.95205,0.00493,0.93831,0.96515,0.93292,0.00114,0.93053,0.9357,0.90502,0.0016,0.90084,0.90914,0.97203,0.0007,0.97071,0.97412,0.9297,0.0018,0.92479,0.93418,213.88542,50.99445,56.60991,278.79312
fc_mm_0-100_opt-02_,0.93328,0.00117,0.93053,0.9357,0.95199,0.0055,0.93951,0.96515,0.93328,0.00117,0.93053,0.9357,0.90551,0.00162,0.90158,0.90914,0.97222,0.00072,0.97094,0.97412,0.92969,0.00188,0.92479,0.93362,205.44656,58.55109,56.60991,278.79312
