Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
lr_mm_0-1000_opt-01_,0.9203,0.00328,0.91153,0.92517,0.96067,0.01547,0.89416,0.978,0.9203,0.00328,0.91153,0.92517,0.91439,0.004,0.89948,0.91924,0.96823,0.00457,0.96059,0.97416,0.95128,0.00943,0.93537,0.96303,808.16317,264.42936,230.59213,1116.32236
lr_mm_0-1000_opt-02_,0.91893,0.00289,0.91396,0.92378,0.96252,0.01074,0.93114,0.97808,0.91893,0.00289,0.91396,0.92378,0.91321,0.00301,0.90817,0.91863,0.96691,0.00494,0.95876,0.97516,0.94854,0.01016,0.93033,0.96331,371.29855,51.56792,168.74574,442.32438
lr_none_opt-02_,0.9193,0.00432,0.91242,0.92469,0.95639,0.01121,0.9278,0.97447,0.9193,0.00432,0.91242,0.92469,0.91309,0.00448,0.90586,0.91859,0.97083,0.00625,0.96119,0.97644,0.95816,0.01155,0.94037,0.96807,483.21091,16.23422,450.99848,506.67302
lr_none_opt-01_,0.91861,0.00411,0.91197,0.92354,0.95743,0.01031,0.92997,0.97027,0.91861,0.00411,0.91197,0.92354,0.91249,0.00424,0.90583,0.91764,0.96879,0.00594,0.95979,0.97584,0.954,0.01105,0.93654,0.96693,462.3453,222.72033,163.26737,973.62346
lr_mm_0-100_opt-01_,0.91808,0.00437,0.90905,0.92517,0.95905,0.01172,0.89416,0.978,0.91808,0.00437,0.90905,0.92517,0.91209,0.00468,0.89948,0.91924,0.96632,0.00524,0.95657,0.97416,0.94828,0.01024,0.92947,0.96303,636.47167,307.65535,152.30289,1116.32236
lr_none_default_,0.91848,0.00469,0.90928,0.92368,0.95329,0.01612,0.88693,0.96645,0.91848,0.00469,0.90928,0.92368,0.91197,0.00542,0.8966,0.91816,0.96982,0.0065,0.95915,0.97591,0.95611,0.0123,0.9348,0.96737,314.72539,95.32743,167.06,519.66139
lr_mm_0-100_opt-02_,0.91793,0.00391,0.90897,0.92378,0.95808,0.01053,0.93114,0.97808,0.91793,0.00391,0.90897,0.92378,0.91188,0.00402,0.90239,0.91863,0.96656,0.00552,0.95652,0.97516,0.94874,0.01096,0.93009,0.96331,426.52912,67.25138,168.74574,502.24085
lr_mm_0-1000_default_,0.91537,0.00273,0.91086,0.92133,0.95913,0.01199,0.93024,0.97518,0.91537,0.00273,0.91086,0.92133,0.90947,0.00292,0.90371,0.91579,0.96286,0.00364,0.95735,0.97105,0.93991,0.00834,0.92715,0.95736,327.46264,102.69608,31.19553,520.80584
lr_mm_0-100_default_,0.91509,0.00434,0.90473,0.92133,0.95668,0.01121,0.92587,0.97518,0.91509,0.00434,0.90473,0.92133,0.90899,0.00449,0.89823,0.91579,0.96355,0.00543,0.95377,0.97105,0.94252,0.0114,0.92551,0.95853,306.65828,120.43716,31.19553,520.80584
lr_mm_0-10_opt-01_,0.91478,0.00594,0.90541,0.92517,0.95652,0.01054,0.89416,0.978,0.91478,0.00594,0.90541,0.92517,0.90866,0.00625,0.89892,0.91924,0.96289,0.00651,0.95371,0.97416,0.94132,0.01296,0.92527,0.96303,499.97895,334.54476,75.0975,1116.32236
