Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
fc_mm_0-1000_22_,0.93119,0.00446,0.92509,0.93735,0.94089,0.02381,0.90966,0.97144,0.93119,0.00446,0.92509,0.93735,0.90162,0.00797,0.8907,0.91218,0.97221,0.00383,0.96646,0.978,0.93634,0.0089,0.92319,0.95022,23.58573,5.39833,16.37663,30.29051
fc_mm_0-1000_10_,0.93056,0.00302,0.92669,0.93652,0.94538,0.01651,0.92265,0.96767,0.93056,0.00302,0.92669,0.93652,0.90134,0.00535,0.89438,0.91103,0.96576,0.00327,0.96272,0.97145,0.91918,0.00535,0.91303,0.92911,18.09538,5.19349,11.76841,25.01323
fc_mm_0-100_22_,0.93051,0.00437,0.92212,0.93735,0.93985,0.023,0.9076,0.97144,0.93051,0.00437,0.92212,0.93735,0.90067,0.00779,0.88662,0.91218,0.97104,0.0038,0.96365,0.978,0.93089,0.00988,0.91145,0.95022,23.77651,5.48541,16.37663,34.08699
fc_none_22_,0.93042,0.00451,0.92262,0.9368,0.93976,0.02394,0.90773,0.96927,0.93042,0.00451,0.92262,0.9368,0.90057,0.00803,0.88744,0.91159,0.97098,0.00351,0.96586,0.97656,0.93087,0.0079,0.91929,0.94359,23.82494,5.64071,16.34777,33.41123
fc_mm_0-1000_15_,0.93022,0.00468,0.92438,0.93797,0.93771,0.02229,0.90908,0.96853,0.93022,0.00468,0.92438,0.93797,0.9001,0.00815,0.89023,0.91272,0.96964,0.00399,0.96505,0.97547,0.92913,0.00869,0.91967,0.94259,20.57637,5.37685,13.73521,27.37776
fc_mm_0-100_10_,0.92964,0.00296,0.92387,0.93652,0.94296,0.01641,0.91701,0.96767,0.92964,0.00296,0.92387,0.93652,0.89994,0.00526,0.89006,0.91103,0.96526,0.00328,0.96133,0.97145,0.91702,0.00551,0.90828,0.92911,18.12514,5.01329,11.76841,25.01323
fc_mm_0-10_22_,0.92977,0.00438,0.92212,0.93735,0.9383,0.02257,0.9076,0.97144,0.92977,0.00438,0.92212,0.93735,0.89958,0.00775,0.88662,0.91218,0.97032,0.00376,0.96365,0.978,0.92798,0.00991,0.91145,0.95022,23.68523,5.46547,16.16582,34.08699
fc_none_10_,0.92938,0.00339,0.92468,0.93531,0.94268,0.0167,0.92163,0.9656,0.92938,0.00339,0.92468,0.93531,0.89954,0.00588,0.89147,0.90915,0.96515,0.00366,0.96135,0.97095,0.91662,0.00592,0.90818,0.92679,18.23353,5.01048,11.96929,24.92929
fc_mm_0-10_10_,0.92921,0.00302,0.92271,0.93652,0.94204,0.01643,0.91618,0.96767,0.92921,0.00302,0.92271,0.93652,0.8993,0.00535,0.88848,0.91103,0.9649,0.00327,0.95961,0.97145,0.91561,0.00528,0.90697,0.92911,18.15459,5.03093,11.76841,25.08637
fc_mm_0-1_10_,0.92903,0.00306,0.92271,0.93652,0.94157,0.01639,0.91618,0.96767,0.92903,0.00306,0.92271,0.93652,0.89903,0.00539,0.88848,0.91103,0.96474,0.00319,0.95961,0.97145,0.91497,0.005,0.90468,0.92911,18.23972,5.10499,11.76841,26.778
fc_none_15_,0.92947,0.00465,0.92335,0.93757,0.93618,0.02319,0.90716,0.96794,0.92947,0.00465,0.92335,0.93757,0.899,0.00816,0.88832,0.91214,0.96903,0.00401,0.96398,0.97523,0.92582,0.00838,0.91682,0.93992,20.55165,5.27001,13.85838,26.98597
fc_mm_0-1_22_,0.9293,0.0044,0.92192,0.93735,0.93725,0.02239,0.90537,0.97144,0.9293,0.0044,0.92192,0.93735,0.8989,0.00776,0.88662,0.91218,0.96992,0.00367,0.96365,0.978,0.92642,0.00958,0.91145,0.95022,23.66904,5.46961,16.00341,34.08699
fc_mm_0-100_15_,0.92919,0.00467,0.92178,0.93797,0.93612,0.02241,0.90469,0.96853,0.92919,0.00467,0.92178,0.93797,0.89867,0.00811,0.88606,0.91272,0.96869,0.00393,0.96291,0.97547,0.9249,0.00907,0.91079,0.94259,20.55724,5.17195,13.73521,27.37776
fc_mm_0-10_15_,0.92852,0.00462,0.92143,0.93797,0.93501,0.02249,0.90469,0.96853,0.92852,0.00462,0.92143,0.93797,0.89771,0.00804,0.88606,0.91272,0.96807,0.00384,0.96291,0.97547,0.92254,0.00886,0.91067,0.94259,20.53054,5.15662,13.70666,27.37776
fc_mm_0-1_15_,0.9282,0.00453,0.92136,0.93797,0.93445,0.02238,0.90469,0.96853,0.9282,0.00453,0.92136,0.93797,0.89723,0.00793,0.88597,0.91272,0.96772,0.00373,0.96284,0.97547,0.92115,0.00852,0.90876,0.94259,20.5417,5.20351,13.52565,27.6299
fc_std_10_,0.92767,0.0026,0.92441,0.93266,0.93923,0.01643,0.91764,0.96355,0.92767,0.0026,0.92441,0.93266,0.89707,0.00479,0.89102,0.90546,0.96398,0.00337,0.96053,0.96939,0.91371,0.00471,0.90734,0.92234,18.18827,5.09026,11.74219,27.04145
fc_std_22_,0.92779,0.00452,0.92102,0.93411,0.93456,0.02249,0.90587,0.96403,0.92779,0.00452,0.92102,0.93411,0.89674,0.008,0.88503,0.9077,0.96867,0.00324,0.96426,0.97373,0.92197,0.00665,0.91324,0.93252,23.6649,5.45448,16.14068,29.97254
fc_std_15_,0.92676,0.00397,0.92131,0.93375,0.93207,0.02287,0.90662,0.96448,0.92676,0.00397,0.92131,0.93375,0.8951,0.00728,0.88572,0.90723,0.96659,0.00326,0.96261,0.97167,0.91758,0.00608,0.9106,0.92857,20.62573,5.17675,13.79989,26.65686
