Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
lr_mm_0-1000_22_,0.93411,0.00142,0.93146,0.93621,0.95103,0.01307,0.9337,0.96899,0.93411,0.00142,0.93146,0.93621,0.92748,0.00229,0.92357,0.93087,0.98456,0.00206,0.98133,0.98688,0.98078,0.00285,0.97603,0.9836,49.42995,12.36255,33.39223,67.32991
lr_mm_0-100_22_,0.93247,0.00241,0.92705,0.93621,0.9544,0.01437,0.9337,0.97452,0.93247,0.00241,0.92705,0.93621,0.92607,0.00255,0.92195,0.93087,0.98197,0.00315,0.97701,0.98688,0.97551,0.00604,0.96583,0.9836,51.28511,12.46462,33.39223,68.16747
lr_mm_0-1000_15_,0.93224,0.00171,0.92977,0.93528,0.95103,0.01018,0.939,0.96507,0.93224,0.00171,0.92977,0.93528,0.92556,0.00245,0.92227,0.92971,0.98091,0.00237,0.97757,0.98425,0.97491,0.0035,0.96955,0.97927,42.78876,11.59513,28.43086,56.92391
lr_none_22_,0.93184,0.00163,0.92916,0.93499,0.95594,0.01537,0.93473,0.97494,0.93184,0.00163,0.92916,0.93499,0.92552,0.00197,0.92172,0.92891,0.9811,0.00174,0.97848,0.98337,0.974,0.00321,0.96911,0.978,51.93991,12.28394,36.44492,67.03734
lr_mm_0-10_22_,0.9299,0.00478,0.91783,0.93621,0.95487,0.01368,0.9337,0.97452,0.9299,0.00478,0.91783,0.93621,0.92354,0.00466,0.91269,0.93087,0.97932,0.00464,0.97198,0.98688,0.97017,0.00916,0.95629,0.9836,52.25682,12.60796,33.39223,68.53705
lr_none_15_,0.92992,0.00097,0.92791,0.9318,0.95218,0.01182,0.93685,0.96983,0.92992,0.00097,0.92791,0.9318,0.92331,0.00167,0.9202,0.92653,0.97816,0.00184,0.97521,0.98089,0.96923,0.00326,0.96374,0.97352,45.21578,12.24416,29.8127,60.65909
lr_mm_0-100_15_,0.93059,0.00219,0.92724,0.93528,0.95244,0.01173,0.93694,0.9714,0.93059,0.00219,0.92724,0.93528,0.92401,0.00254,0.91988,0.92971,0.97826,0.00332,0.97262,0.98425,0.96915,0.00658,0.95829,0.97927,44.68382,11.97501,28.43086,61.50843
lr_mm_0-1_22_,0.92846,0.00515,0.91783,0.93621,0.95465,0.01317,0.9337,0.97452,0.92846,0.00515,0.91783,0.93621,0.92208,0.00499,0.91263,0.93087,0.97788,0.00478,0.97167,0.98688,0.9673,0.00942,0.95581,0.9836,52.71326,12.71584,33.39223,71.47078
lr_mm_0-10_15_,0.92828,0.00388,0.92071,0.93528,0.95191,0.01192,0.93564,0.9714,0.92828,0.00388,0.92071,0.93528,0.92165,0.00403,0.91461,0.92971,0.97577,0.00449,0.96893,0.98425,0.96387,0.00926,0.95094,0.97927,45.54982,11.9541,28.43086,61.50843
lr_mm_0-1_15_,0.92723,0.00389,0.92071,0.93528,0.95151,0.01196,0.93463,0.9714,0.92723,0.00389,0.92071,0.93528,0.92057,0.00404,0.91389,0.92971,0.97457,0.00445,0.96861,0.98425,0.96132,0.00919,0.95066,0.97927,45.99148,12.03978,28.43086,61.71413
lr_mm_0-1000_10_,0.92659,0.00106,0.92473,0.9285,0.95976,0.00535,0.95238,0.9681,0.92659,0.00106,0.92473,0.9285,0.92055,0.00137,0.91815,0.92294,0.97064,0.00189,0.96856,0.97377,0.95659,0.00278,0.9537,0.96113,38.30268,11.16045,24.82615,52.2203
lr_std_22_,0.9224,0.00365,0.91665,0.9277,0.95333,0.01405,0.93231,0.96705,0.9224,0.00365,0.91665,0.9277,0.91588,0.00345,0.91126,0.92171,0.9721,0.0016,0.96947,0.97469,0.95609,0.00267,0.9519,0.9605,54.50248,12.78071,37.45763,69.14276
lr_mm_0-100_10_,0.92471,0.00215,0.9207,0.9285,0.95781,0.0069,0.94493,0.96947,0.92471,0.00215,0.9207,0.9285,0.91854,0.00245,0.91361,0.92294,0.96826,0.00289,0.96339,0.97377,0.95063,0.0064,0.94178,0.96113,40.12879,11.56511,24.82615,56.22299
lr_std_15_,0.9206,0.00172,0.91735,0.92327,0.94593,0.01444,0.92754,0.96653,0.9206,0.00172,0.91735,0.92327,0.91348,0.00183,0.90896,0.91595,0.96879,0.00095,0.96693,0.97038,0.9498,0.00136,0.94722,0.95225,47.90168,12.3061,31.57746,63.76955
lr_none_10_,0.92343,0.00106,0.92159,0.92594,0.95523,0.00676,0.9456,0.96568,0.92343,0.00106,0.92159,0.92594,0.91706,0.00142,0.9144,0.92021,0.96761,0.00146,0.96544,0.97051,0.94978,0.00214,0.94634,0.95431,40.68192,11.70686,26.12489,55.7885
lr_mm_0-10_10_,0.92372,0.00231,0.91971,0.9285,0.95694,0.00745,0.94359,0.96947,0.92372,0.00231,0.91971,0.9285,0.91749,0.00259,0.9133,0.92294,0.96704,0.00298,0.96308,0.97377,0.94768,0.00672,0.93999,0.96113,40.80929,11.70324,24.82615,59.70949
lr_mm_0-1_10_,0.92327,0.00222,0.91969,0.9285,0.95643,0.00746,0.94359,0.96947,0.92327,0.00222,0.91969,0.9285,0.917,0.00252,0.91261,0.92294,0.96645,0.00282,0.96308,0.97377,0.94621,0.00638,0.93816,0.96113,41.22705,11.8537,24.82615,59.70949
lr_std_10_,0.91829,0.00121,0.91573,0.9208,0.9503,0.00948,0.9389,0.96491,0.91829,0.00121,0.91573,0.9208,0.91154,0.00177,0.90806,0.91405,0.9627,0.00126,0.96044,0.96468,0.93849,0.00149,0.93579,0.94079,43.15142,12.67851,27.27934,61.14226
