Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
fc_none_22_default,0.92474,0.00095,0.92262,0.92581,0.91012,0.00164,0.90773,0.91328,0.92474,0.00095,0.92262,0.92581,0.8904,0.00131,0.88744,0.89162,0.96693,0.00057,0.96586,0.96769,0.92184,0.00136,0.91929,0.92433,16.79225,0.38048,16.34777,17.41345
fc_none_22_opt-01,0.93134,0.00065,0.93032,0.93229,0.94155,0.00132,0.93991,0.94379,0.93134,0.00065,0.93032,0.93229,0.90202,0.00095,0.90043,0.9034,0.97076,0.00058,0.96994,0.97197,0.93038,0.00205,0.928,0.93481,24.4617,0.43547,23.92307,25.37633
fc_none_22_opt-02,0.93518,0.00148,0.93295,0.9368,0.96761,0.00109,0.96528,0.96927,0.93518,0.00148,0.93295,0.9368,0.90929,0.00194,0.90631,0.91159,0.97525,0.00074,0.97418,0.97656,0.9404,0.00181,0.93747,0.94359,30.22087,1.15381,29.46746,33.41123
fc_none_15_default,0.92483,0.00114,0.92335,0.92668,0.91143,0.00274,0.90716,0.91538,0.92483,0.00114,0.92335,0.92668,0.89068,0.0017,0.88832,0.89323,0.96532,0.00078,0.96398,0.96654,0.91901,0.00165,0.91682,0.92243,14.03207,0.07525,13.85838,14.11559
fc_none_15_opt-01,0.92807,0.00046,0.92738,0.92877,0.9308,0.0019,0.92631,0.93271,0.92807,0.00046,0.92738,0.92877,0.8967,0.00068,0.89563,0.89759,0.96734,0.00037,0.96664,0.96774,0.92125,0.00139,0.91881,0.92363,20.9451,0.58172,20.28847,22.39997
fc_none_15_opt-02,0.93551,0.00127,0.93332,0.93757,0.96631,0.00104,0.96464,0.96794,0.93551,0.00127,0.93332,0.93757,0.90963,0.00163,0.90663,0.91214,0.97441,0.0006,0.97322,0.97523,0.9372,0.00172,0.9343,0.93992,26.67779,0.21783,26.42598,26.98597
fc_none_10_default,0.92623,0.00089,0.92468,0.92745,0.9234,0.00165,0.92163,0.92598,0.92623,0.00089,0.92468,0.92745,0.89361,0.00131,0.89147,0.89554,0.96232,0.00063,0.96154,0.96307,0.91245,0.00122,0.91024,0.91448,12.22819,0.17556,11.96929,12.48399
fc_none_10_opt-01,0.92819,0.00116,0.92649,0.93065,0.94131,0.00196,0.93918,0.94403,0.92819,0.00116,0.92649,0.93065,0.89797,0.00174,0.89561,0.9018,0.96301,0.00103,0.96135,0.96456,0.91297,0.00248,0.90818,0.91748,18.19271,0.32126,17.70962,18.75614
fc_none_10_opt-02,0.93372,0.00119,0.93195,0.93531,0.96334,0.00152,0.96149,0.9656,0.93372,0.00119,0.93195,0.93531,0.90704,0.00154,0.90469,0.90915,0.97011,0.0006,0.9691,0.97095,0.92445,0.00175,0.92051,0.92679,24.27967,0.26255,23.979,24.92929
fc_std_22_default,0.92253,0.00115,0.92102,0.92476,0.90853,0.00212,0.90587,0.91155,0.92253,0.00115,0.92102,0.92476,0.8873,0.00171,0.88503,0.8907,0.96526,0.00073,0.96426,0.96685,0.91607,0.00174,0.91324,0.91981,16.67103,0.5214,16.14068,17.89479
fc_std_22_opt-01,0.92778,0.00141,0.92537,0.92991,0.9327,0.00167,0.9301,0.93488,0.92778,0.00141,0.92537,0.92991,0.89672,0.00183,0.89367,0.89955,0.96795,0.00083,0.96671,0.96896,0.91916,0.00233,0.91492,0.92254,24.80411,1.26947,23.63601,28.16084
fc_std_22_opt-02,0.93307,0.00083,0.93168,0.93411,0.96246,0.00108,0.96054,0.96403,0.93307,0.00083,0.93168,0.93411,0.90621,0.00106,0.90463,0.9077,0.97279,0.00049,0.97204,0.97373,0.93067,0.00148,0.92767,0.93252,29.51955,0.32479,29.03149,29.97254
fc_std_15_default,0.92306,0.001,0.92131,0.92513,0.90832,0.00142,0.90662,0.91055,0.92306,0.001,0.92131,0.92513,0.88795,0.00138,0.88572,0.8908,0.96379,0.00081,0.96261,0.96508,0.91391,0.00179,0.91171,0.91691,13.94055,0.17026,13.79989,14.28389
fc_std_15_opt-01,0.92524,0.001,0.92344,0.92724,0.92577,0.00241,0.92293,0.92973,0.92524,0.001,0.92344,0.92724,0.89266,0.00133,0.89038,0.89532,0.96499,0.00048,0.96441,0.96598,0.91311,0.00145,0.9106,0.91542,21.6886,0.45769,20.954,22.28618
fc_std_15_opt-02,0.93196,0.001,0.93039,0.93375,0.96213,0.00163,0.95935,0.96448,0.93196,0.001,0.93039,0.93375,0.90468,0.00125,0.90312,0.90723,0.971,0.00045,0.97033,0.97167,0.92573,0.00171,0.9232,0.92857,26.24805,0.27906,25.81375,26.65686
fc_std_10_default,0.92545,0.00086,0.92441,0.92664,0.92087,0.00213,0.91764,0.9252,0.92545,0.00086,0.92441,0.92664,0.89251,0.00128,0.89102,0.89467,0.96185,0.00073,0.96095,0.96348,0.91164,0.0018,0.90979,0.91594,12.03434,0.24121,11.74219,12.51122
fc_std_10_opt-01,0.92657,0.00105,0.92516,0.92873,0.93686,0.00189,0.93413,0.94022,0.92657,0.00105,0.92516,0.92873,0.89547,0.00151,0.89343,0.89856,0.96155,0.00088,0.96053,0.96304,0.90985,0.00228,0.90734,0.91398,18.33744,0.46129,17.51335,18.85245
fc_std_10_opt-02,0.93099,0.00095,0.92944,0.93266,0.95997,0.00169,0.95785,0.96355,0.93099,0.00095,0.92944,0.93266,0.90323,0.00137,0.90102,0.90546,0.96855,0.00065,0.96751,0.96939,0.91963,0.00163,0.91686,0.92234,24.19302,1.02583,23.47486,27.04145
fc_mm_0-1_22_default,0.92443,0.00145,0.92192,0.92713,0.91134,0.00241,0.90537,0.91727,0.92443,0.00145,0.92192,0.92713,0.89007,0.00204,0.88662,0.89399,0.96632,0.00132,0.96365,0.96937,0.91881,0.00465,0.91145,0.92927,16.66155,0.46885,16.00341,18.98379
fc_mm_0-1_22_opt-01,0.92913,0.00195,0.92586,0.93222,0.93531,0.00505,0.92708,0.94472,0.92913,0.00195,0.92586,0.93222,0.89862,0.00296,0.89341,0.90342,0.96916,0.0017,0.96604,0.97259,0.92444,0.00735,0.91611,0.93885,24.68037,1.64004,23.70397,34.08699
fc_mm_0-1_22_opt-02,0.93433,0.00173,0.93049,0.93735,0.9651,0.00325,0.95996,0.97144,0.93433,0.00173,0.93049,0.93735,0.90801,0.00243,0.90264,0.91218,0.97428,0.00177,0.97209,0.978,0.93601,0.00684,0.92874,0.95022,29.66521,0.29253,29.14819,30.29051
fc_mm_0-1_15_default,0.92375,0.0015,0.92136,0.92774,0.91022,0.00303,0.90469,0.91787,0.92375,0.0015,0.92136,0.92774,0.88916,0.00218,0.88597,0.89477,0.96462,0.00114,0.96284,0.96717,0.91627,0.00377,0.91079,0.92349,14.03716,0.28661,13.52565,14.75406
fc_mm_0-1_15_opt-01,0.92697,0.00155,0.92403,0.92999,0.92945,0.00296,0.92437,0.93553,0.92697,0.00155,0.92403,0.92999,0.8952,0.00223,0.89124,0.89927,0.96601,0.0013,0.96366,0.96837,0.91673,0.00526,0.90876,0.92656,20.90273,0.31092,20.37029,21.6283
fc_mm_0-1_15_opt-02,0.93388,0.00177,0.93077,0.93797,0.96369,0.00231,0.9594,0.96853,0.93388,0.00177,0.93077,0.93797,0.90734,0.00246,0.9032,0.91272,0.97253,0.00171,0.9696,0.97547,0.93044,0.00683,0.91901,0.94259,26.68521,0.44867,25.3879,27.6299
fc_mm_0-1_10_default,0.92636,0.0014,0.92271,0.92941,0.92258,0.00337,0.91618,0.92899,0.92636,0.0014,0.92271,0.92941,0.89377,0.00207,0.88848,0.89797,0.96243,0.00106,0.95961,0.96479,0.9126,0.00267,0.90697,0.91854,12.08051,0.22811,11.76841,12.63654
fc_mm_0-1_10_opt-01,0.92799,0.00146,0.92462,0.93055,0.94028,0.00278,0.9348,0.94579,0.92799,0.00146,0.92462,0.93055,0.89763,0.00209,0.89251,0.9015,0.96277,0.0009,0.96099,0.96459,0.91212,0.00282,0.90468,0.91723,18.15152,0.4553,17.61557,20.37452
fc_mm_0-1_10_opt-02,0.93274,0.00139,0.93012,0.93652,0.96185,0.00271,0.95824,0.96767,0.93274,0.00139,0.93012,0.93652,0.9057,0.00198,0.90192,0.91103,0.96901,0.001,0.96717,0.97145,0.92019,0.00438,0.91319,0.92911,24.48712,0.55894,23.4526,26.778
fc_mm_0-10_22_default,0.92478,0.0014,0.92212,0.92713,0.91184,0.00219,0.9076,0.91727,0.92478,0.0014,0.92212,0.92713,0.89055,0.00196,0.88662,0.89399,0.96658,0.00138,0.96365,0.96937,0.91972,0.00497,0.91145,0.92927,16.73792,0.50114,16.16582,18.98379
