Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
lr_mm_0-1000_22_opt-02,0.93532,0.00068,0.93423,0.93621,0.96694,0.00121,0.96537,0.96899,0.93532,0.00068,0.93423,0.93621,0.92982,0.00078,0.92847,0.93087,0.98656,0.00022,0.98617,0.98688,0.98318,0.00029,0.98265,0.9836,63.92707,1.2369,62.8994,67.32991
lr_mm_0-1000_15_opt-02,0.93419,0.00076,0.93333,0.93528,0.96438,0.00064,0.96285,0.96507,0.93419,0.00076,0.93333,0.93528,0.92852,0.00081,0.92771,0.92971,0.98367,0.00033,0.98322,0.98425,0.97854,0.00045,0.97789,0.97927,56.51683,0.23694,56.15755,56.92391
lr_mm_0-1000_22_opt-01,0.93455,0.00068,0.93369,0.93552,0.95054,0.00102,0.94882,0.95191,0.93455,0.00068,0.93369,0.93552,0.92789,0.00074,0.92695,0.92904,0.98529,0.00029,0.98492,0.98584,0.98227,0.00036,0.98178,0.98301,50.11537,0.73798,49.19925,51.74383
lr_none_22_opt-01,0.93369,0.00082,0.9324,0.93499,0.9592,0.00089,0.95799,0.96042,0.93369,0.00082,0.9324,0.93499,0.92762,0.00085,0.92631,0.92891,0.98273,0.00036,0.98215,0.98337,0.97705,0.00052,0.97649,0.978,52.7369,0.42836,52.24076,53.49148
lr_mm_0-100_22_opt-01,0.93376,0.00114,0.93208,0.93552,0.95628,0.00596,0.94882,0.9628,0.93376,0.00114,0.93208,0.93552,0.92751,0.00094,0.92614,0.92904,0.9832,0.00218,0.98053,0.98584,0.97793,0.00448,0.97262,0.98301,52.14058,2.15422,49.19925,54.93535
lr_mm_0-100_22_opt-02,0.93188,0.0036,0.92705,0.93621,0.97014,0.00343,0.96537,0.97452,0.93188,0.0036,0.92705,0.93621,0.92662,0.00337,0.92196,0.93087,0.98294,0.00373,0.97868,0.98688,0.97679,0.00658,0.96952,0.9836,65.78406,2.10013,62.8994,68.16747
lr_mm_0-10_22_opt-01,0.93204,0.00267,0.92723,0.93552,0.95749,0.00517,0.94882,0.9628,0.93204,0.00267,0.92723,0.93552,0.92586,0.00253,0.92111,0.92904,0.98079,0.00389,0.97521,0.98584,0.97287,0.00814,0.96149,0.98301,53.72804,2.88148,49.19925,57.43785
lr_mm_0-100_15_opt-02,0.93122,0.00311,0.92724,0.93528,0.96723,0.00302,0.96285,0.9714,0.93122,0.00311,0.92724,0.93528,0.92577,0.0029,0.92196,0.92971,0.98021,0.00356,0.97639,0.98425,0.97184,0.0069,0.96423,0.97927,58.68754,2.25418,56.15755,61.50843
lr_none_22_opt-02,0.93058,0.00112,0.92916,0.93303,0.97256,0.00103,0.97092,0.97494,0.93058,0.00112,0.92916,0.93303,0.92549,0.00119,0.92394,0.92813,0.98178,0.0004,0.98126,0.98253,0.97522,0.00064,0.97421,0.97648,66.30919,0.5,65.58385,67.03734
lr_mm_0-1000_15_opt-01,0.93208,0.00082,0.93029,0.9329,0.94827,0.0013,0.94624,0.95,0.93208,0.00082,0.93029,0.9329,0.92523,0.00092,0.92321,0.92622,0.98107,0.00016,0.98067,0.98123,0.97585,0.00029,0.9752,0.97617,43.23921,0.38839,42.75125,43.71638
