Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
fc_mm_0-1000_opt-02_,0.93578,0.00139,0.93259,0.93797,0.96749,0.00215,0.96396,0.97144,0.93578,0.00139,0.93259,0.93797,0.91007,0.00192,0.90567,0.91272,0.97412,0.00298,0.96938,0.978,0.93818,0.00893,0.92508,0.95022,27.08316,2.26294,24.12519,30.29051
fc_none_opt-02_,0.93481,0.0015,0.93195,0.93757,0.96575,0.00218,0.96149,0.96927,0.93481,0.0015,0.93195,0.93757,0.90865,0.00202,0.90469,0.91214,0.97326,0.00238,0.9691,0.97656,0.93401,0.00721,0.92051,0.94359,27.05944,2.57108,23.979,33.41123
fc_mm_0-100_opt-02_,0.93456,0.00184,0.93012,0.93797,0.96533,0.00319,0.95824,0.97144,0.93456,0.00184,0.93012,0.93797,0.90833,0.0026,0.90192,0.91272,0.97303,0.0028,0.96829,0.978,0.93341,0.00895,0.91686,0.95022,26.84244,2.31344,23.4526,30.29051
fc_mm_0-10_opt-02_,0.93394,0.00183,0.93012,0.93797,0.96427,0.00315,0.95824,0.97144,0.93394,0.00183,0.93012,0.93797,0.90744,0.00259,0.90192,0.91272,0.97236,0.00274,0.96737,0.978,0.93053,0.00917,0.91324,0.95022,26.85178,2.24854,23.4526,30.29051
fc_mm_0-1_opt-02_,0.93365,0.00176,0.93012,0.93797,0.96355,0.00306,0.95824,0.97144,0.93365,0.00176,0.93012,0.93797,0.90702,0.00248,0.90192,0.91272,0.97194,0.00268,0.96717,0.978,0.92888,0.00895,0.91319,0.95022,26.94584,2.17646,23.4526,30.29051
fc_mm_0-1000_opt-01_,0.92969,0.00137,0.92698,0.93222,0.93876,0.00525,0.92887,0.94579,0.92969,0.00137,0.92698,0.93222,0.89962,0.00208,0.89511,0.90342,0.96766,0.00327,0.96276,0.97259,0.9254,0.00851,0.91303,0.93885,20.87521,2.54818,17.61557,24.45252
fc_std_opt-02_,0.93201,0.00125,0.92944,0.93411,0.96152,0.00183,0.95785,0.96448,0.93201,0.00125,0.92944,0.93411,0.90471,0.00171,0.90102,0.9077,0.97078,0.00185,0.96751,0.97373,0.92534,0.00485,0.91686,0.93252,26.65354,2.31522,23.47486,29.97254
fc_none_opt-01_,0.9292,0.00173,0.92649,0.93229,0.93789,0.00537,0.92631,0.94403,0.9292,0.00173,0.92649,0.93229,0.89889,0.00258,0.89561,0.9034,0.96704,0.00329,0.96135,0.97197,0.92154,0.00749,0.90818,0.93481,21.19984,2.64677,17.70962,25.37633
fc_mm_0-100_opt-01_,0.92919,0.00163,0.92531,0.93222,0.93764,0.00525,0.9259,0.94579,0.92919,0.00163,0.92531,0.93222,0.89888,0.00244,0.89324,0.90342,0.96693,0.00319,0.96173,0.97259,0.92149,0.0083,0.90828,0.93885,21.26593,3.03298,17.61557,34.08699
fc_mm_0-1000_default_,0.92649,0.00127,0.92438,0.92941,0.91773,0.00665,0.90908,0.92899,0.92649,0.00127,0.92438,0.92941,0.89338,0.00219,0.89023,0.89797,0.96583,0.00206,0.96272,0.96937,0.92108,0.00461,0.91419,0.92927,14.2991,2.1197,11.76841,18.98379
