Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
lr_mm_0-1000_opt-02_,0.93242,0.00346,0.92618,0.93621,0.96588,0.00143,0.96285,0.96899,0.93242,0.00346,0.92618,0.93621,0.92684,0.00347,0.92065,0.93087,0.98115,0.00584,0.97261,0.98688,0.97403,0.01002,0.95945,0.9836,57.4647,5.06982,51.4562,67.32991
lr_mm_0-1000_opt-01_,0.93093,0.00365,0.92523,0.93552,0.95273,0.00497,0.94624,0.96027,0.93093,0.00365,0.92523,0.93552,0.92439,0.00339,0.91901,0.92904,0.97864,0.00677,0.96875,0.98584,0.97101,0.01188,0.9537,0.98301,43.74109,5.12279,37.33007,51.74383
lr_mm_0-100_opt-02_,0.92952,0.00421,0.92137,0.93621,0.9678,0.00325,0.96285,0.97452,0.92952,0.00421,0.92137,0.93621,0.9241,0.00417,0.91561,0.93087,0.97781,0.00646,0.96629,0.98688,0.96726,0.01235,0.94407,0.9836,59.46241,5.34463,51.4562,68.16747
lr_mm_0-100_opt-01_,0.92986,0.00408,0.9221,0.93552,0.95454,0.00494,0.94624,0.9628,0.92986,0.00408,0.9221,0.93552,0.92346,0.00405,0.91582,0.92904,0.9765,0.00702,0.96462,0.98584,0.966,0.01317,0.94283,0.98301,45.91143,5.40008,37.33007,54.93535
lr_none_opt-01_,0.92929,0.00418,0.92295,0.93499,0.95433,0.00408,0.94858,0.96042,0.92929,0.00418,0.92295,0.93499,0.92287,0.0043,0.91648,0.92891,0.97626,0.00664,0.96593,0.98337,0.96579,0.012,0.94688,0.978,46.32396,5.11565,39.88903,53.49148
lr_none_opt-02_,0.92829,0.00341,0.92199,0.93303,0.96791,0.00384,0.96238,0.97494,0.92829,0.00341,0.92199,0.93303,0.92285,0.00361,0.9162,0.92813,0.97704,0.00562,0.96834,0.98253,0.96646,0.01046,0.95033,0.97648,60.28461,4.80186,53.81346,67.03734
lr_mm_0-1000_default_,0.9296,0.0029,0.92473,0.93393,0.9432,0.00778,0.9337,0.95466,0.9296,0.0029,0.92473,0.93393,0.92236,0.00236,0.91815,0.92627,0.97632,0.00541,0.96856,0.98227,0.96723,0.00958,0.95387,0.97732,29.3156,3.84712,24.82615,34.8634
lr_mm_0-10_opt-01_,0.92837,0.00428,0.9205,0.93552,0.9541,0.00515,0.94541,0.9628,0.92837,0.00428,0.9205,0.93552,0.92192,0.00434,0.9141,0.92904,0.97458,0.00692,0.96338,0.98584,0.96172,0.01332,0.94056,0.98301,47.25074,5.87272,37.33007,57.43785
lr_mm_0-10_opt-02_,0.92665,0.0054,0.91783,0.93621,0.96758,0.00282,0.96285,0.97452,0.92665,0.0054,0.91783,0.93621,0.92124,0.00536,0.91269,0.93087,0.97511,0.00673,0.96463,0.98688,0.96176,0.01328,0.94012,0.9836,60.143,5.3138,51.4562,68.53705
lr_mm_0-100_default_,0.92839,0.00359,0.9207,0.93393,0.94231,0.00643,0.9337,0.95466,0.92839,0.00359,0.9207,0.93393,0.92106,0.00327,0.91361,0.92627,0.97419,0.00582,0.96339,0.98227,0.96202,0.01092,0.94178,0.97732,30.72387,4.2877,24.82615,38.48862
lr_mm_0-1_opt-01_,0.92755,0.00412,0.9205,0.93552,0.95359,0.00492,0.94541,0.9628,0.92755,0.00412,0.9205,0.93552,0.92105,0.00421,0.9141,0.92904,0.97358,0.00663,0.96338,0.98584,0.95955,0.01279,0.94045,0.98301,47.84854,5.93434,37.33007,57.43785
lr_none_default_,0.92762,0.00379,0.92159,0.93249,0.94111,0.00521,0.93473,0.95053,0.92762,0.00379,0.92159,0.93249,0.92017,0.00348,0.9144,0.92493,0.97357,0.00549,0.96544,0.97943,0.96076,0.00962,0.94634,0.97094,31.22902,4.25792,26.12489,37.36808
lr_mm_0-1_opt-02_,0.92539,0.00524,0.91783,0.93621,0.96716,0.0027,0.96065,0.97452,0.92539,0.00524,0.91783,0.93621,0.91998,0.00521,0.91263,0.93087,0.97377,0.00645,0.96403,0.98688,0.95895,0.01291,0.93816,0.9836,60.66878,5.23904,51.4562,71.47078
