Dataset,Precision,Recall,Accuracy,F1,ROC_AUC,P_R_AUC,Runtime(seconds)
fc_none,0.9238991355366226,0.9113204932797562,0.9238991355366226,0.8900065405173775,0.964663505199673,0.9168164351957141,14.075374841690063
fc_none,0.923541624389254,0.9086851404128696,0.923541624389254,0.8886463874869277,0.9655757169058647,0.9193381705325872,14.059505939483643
fc_none,0.9233543592305771,0.9071647616392529,0.9233543592305771,0.888322678981732,0.9647526371781641,0.9181075525913693,13.981355667114258
fc_none,0.9239656518345043,0.909146028636724,0.9239656518345043,0.8889547610361183,0.9639831667470226,0.9176230333901784,14.07027006149292
fc_none,0.924844206350446,0.9100487352053841,0.924844206350446,0.8907009494389679,0.9653507642607271,0.9184165674920675,14.115591526031494
fc_none,0.9266818664501218,0.914675608960924,0.9266818664501218,0.893229936551975,0.9665370066387546,0.9224298151491699,13.858380317687988
fc_none,0.9252100053086844,0.9112310412208058,0.9252100053086844,0.8910422637732587,0.9657707033690309,0.9192209955357529,14.039605140686035
fc_none,0.9257796030543888,0.9125434732204962,0.9257796030543888,0.8922490988642289,0.9663396527378444,0.9210318204913512,14.107791185379028
fc_none,0.9248263482400687,0.9140893470790378,0.9248263482400687,0.8910012674271229,0.9649862538216624,0.9181765836633706,14.001220226287842
fc_none,0.9261496675096,0.9153828252269025,0.9261496675096,0.8926358788153863,0.9652868289077531,0.9189290240799808,14.011565208435059
fc_std,0.9251252594939673,0.908816425120773,0.9251252594939673,0.8907960935187925,0.965080651196691,0.9169081748121847,14.210739374160767
fc_std,0.923919488219691,0.907668013561841,0.923919488219691,0.8890860288430917,0.9637011073347274,0.9156027904670379,13.817693948745728
fc_std,0.9222685467122624,0.9066561088080488,0.9222685467122624,0.8866265828550607,0.9636227220448529,0.9137331487599639,13.931289434432983
fc_std,0.9231213782546898,0.9066209198813057,0.9231213782546898,0.8882125823302294,0.9647089876669904,0.9158090518131228,13.863004207611084
fc_std,0.9228595516143133,0.9095472715441109,0.9228595516143133,0.8879007191959526,0.9640836792911883,0.9133193888831592,13.828767776489258
