Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
fc_mm_0-1_22_,0.93578,0.00217,0.93125,0.93939,0.94948,0.00716,0.93633,0.9584,0.93578,0.00217,0.93125,0.93939,0.90847,0.00339,0.90179,0.91377,0.97711,0.00156,0.97428,0.97939,0.94912,0.00378,0.94171,0.95488,10.78049,4.9654,6.31202,20.21944
fc_mm_0-10_22_,0.9358,0.00225,0.93125,0.93939,0.94957,0.00724,0.93633,0.9584,0.9358,0.00225,0.93125,0.93939,0.90849,0.0035,0.90179,0.91377,0.97716,0.00161,0.97428,0.97939,0.94931,0.00391,0.94171,0.95488,10.70878,4.94772,6.31202,20.21944
fc_mm_0-100_22_,0.93589,0.00239,0.93125,0.93939,0.94949,0.00726,0.93633,0.9584,0.93589,0.00239,0.93125,0.93939,0.90861,0.00369,0.90179,0.91377,0.97726,0.00169,0.97428,0.97939,0.9497,0.00405,0.94228,0.95488,10.58946,4.90103,6.31202,20.21944
fc_std_22_,0.93501,0.00148,0.93226,0.93688,0.94882,0.00636,0.9381,0.95631,0.93501,0.00148,0.93226,0.93688,0.90739,0.00245,0.90288,0.91041,0.97617,0.0009,0.97448,0.97742,0.94506,0.00204,0.94115,0.94896,10.51794,4.71443,6.4985,17.75931
fc_mm_0-1000_22_,0.93584,0.00221,0.93208,0.93939,0.94925,0.00685,0.93633,0.95715,0.93584,0.00221,0.93208,0.93939,0.9085,0.00338,0.90246,0.91336,0.97739,0.00166,0.97463,0.97939,0.9504,0.00397,0.94392,0.95488,10.48612,4.82139,6.31202,18.09973
fc_none_22_,0.93593,0.00193,0.93202,0.93847,0.95043,0.00692,0.93915,0.95794,0.93593,0.00193,0.93202,0.93847,0.90877,0.00307,0.90313,0.91254,0.97697,0.00122,0.97417,0.97829,0.94827,0.00293,0.94259,0.95221,10.15992,5.02879,4.89179,20.82384
fc_mm_0-1000_15_,0.93483,0.00144,0.93222,0.93689,0.95126,0.00457,0.94081,0.95841,0.93483,0.00144,0.93222,0.93689,0.90741,0.00221,0.90355,0.91033,0.97399,0.00129,0.97156,0.97546,0.9378,0.00381,0.93107,0.94202,8.73813,4.09399,5.23938,15.15581
fc_none_15_,0.93416,0.00167,0.93061,0.93669,0.95106,0.00488,0.94318,0.95775,0.93416,0.00167,0.93061,0.93669,0.90655,0.00255,0.90132,0.91019,0.97358,0.00136,0.97098,0.97533,0.93651,0.00412,0.92873,0.94224,8.69321,4.01526,5.42123,14.84265
fc_mm_0-100_15_,0.93459,0.00151,0.9313,0.93704,0.95106,0.00463,0.94081,0.95841,0.93459,0.00151,0.9313,0.93704,0.90708,0.0023,0.90234,0.91079,0.97367,0.00137,0.97074,0.97546,0.93647,0.00413,0.92581,0.94202,8.65897,3.99948,5.19662,15.15581
fc_mm_0-10_15_,0.93437,0.00142,0.9313,0.93704,0.95064,0.0044,0.94081,0.95841,0.93437,0.00142,0.9313,0.93704,0.90676,0.00216,0.90234,0.91079,0.97352,0.00126,0.97074,0.97546,0.93553,0.00397,0.92581,0.94202,8.56787,3.91497,5.19662,15.15581
fc_mm_0-1_15_,0.93417,0.00141,0.93069,0.93704,0.95031,0.00427,0.9407,0.95841,0.93417,0.00141,0.93069,0.93704,0.90647,0.00215,0.90096,0.91079,0.97339,0.00122,0.97071,0.97546,0.93495,0.00392,0.92581,0.94202,8.4758,3.83852,5.19662,15.15581
fc_std_15_,0.93354,0.00103,0.93141,0.93588,0.94941,0.00388,0.94021,0.95437,0.93354,0.00103,0.93141,0.93588,0.90561,0.00157,0.90192,0.90904,0.97308,0.00098,0.97073,0.97481,0.93349,0.00299,0.92625,0.93743,8.25686,3.74949,5.19661,13.62939
fc_std_10_,0.93299,0.00105,0.93134,0.93592,0.95029,0.00256,0.94487,0.95543,0.93299,0.00105,0.93134,0.93592,0.90496,0.00148,0.90271,0.90916,0.97193,0.00093,0.97041,0.97396,0.92895,0.00337,0.92305,0.93468,7.65251,3.37322,4.74405,13.16351
fc_none_10_,0.93389,0.00122,0.92946,0.93582,0.95296,0.00313,0.94556,0.95891,0.93389,0.00122,0.92946,0.93582,0.90634,0.00181,0.89981,0.90939,0.97242,0.00112,0.9699,0.97403,0.93118,0.00348,0.92502,0.9364,7.63446,3.38836,4.78493,13.40471
fc_mm_0-1000_10_,0.93446,0.00118,0.93255,0.93622,0.95317,0.00324,0.9466,0.95787,0.93446,0.00118,0.93255,0.93622,0.90711,0.00181,0.90397,0.90968,0.97261,0.00135,0.97002,0.97452,0.93171,0.00426,0.92201,0.93715,7.59844,3.34476,4.79062,12.85953
fc_mm_0-100_10_,0.93397,0.00125,0.93093,0.93622,0.9525,0.00326,0.94523,0.95787,0.93397,0.00125,0.93093,0.93622,0.9064,0.00186,0.90176,0.90968,0.97228,0.00123,0.96937,0.97452,0.93045,0.00406,0.92029,0.93715,7.5966,3.28145,4.76558,12.90603
fc_mm_0-10_10_,0.93363,0.00135,0.92984,0.93622,0.95192,0.00326,0.9437,0.95787,0.93363,0.00135,0.92984,0.93622,0.90593,0.00197,0.90035,0.90968,0.9721,0.0012,0.96937,0.97452,0.92974,0.00398,0.92029,0.93715,7.59391,3.28143,4.7478,13.04722
fc_mm_0-1_10_,0.9335,0.00138,0.92984,0.93622,0.95156,0.00319,0.94315,0.95787,0.9335,0.00138,0.92984,0.93622,0.90572,0.00202,0.90035,0.90968,0.97205,0.00116,0.96937,0.97452,0.92952,0.00386,0.92029,0.93715,7.58252,3.23706,4.7478,13.04722
