Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
lr_mm_0-1000_22_,0.93478,0.00081,0.93273,0.93631,0.9496,0.004,0.94274,0.95544,0.93478,0.00081,0.93273,0.93631,0.92809,0.00101,0.92567,0.92992,0.98662,0.0004,0.98583,0.98721,0.9836,0.00043,0.98281,0.98421,20.06836,9.94423,11.83161,34.77151
lr_mm_0-100_22_,0.93426,0.00113,0.93155,0.93631,0.95249,0.00547,0.94274,0.96171,0.93426,0.00113,0.93155,0.93631,0.92776,0.00103,0.92553,0.92992,0.98607,0.00075,0.98451,0.98721,0.98276,0.00109,0.98042,0.98421,20.62767,10.13257,11.83161,38.96265
lr_mm_0-10_22_,0.93403,0.0013,0.93068,0.93651,0.95346,0.00551,0.94274,0.96192,0.93403,0.0013,0.93068,0.93651,0.92759,0.00114,0.92452,0.92992,0.98584,0.00084,0.98396,0.98721,0.98241,0.00122,0.97976,0.98421,21.47067,10.53123,11.83161,39.51703
lr_mm_0-1_22_,0.93388,0.00129,0.93068,0.93651,0.95381,0.00548,0.94274,0.96192,0.93388,0.00129,0.93068,0.93651,0.92746,0.00112,0.92452,0.92992,0.98575,0.00083,0.98396,0.98721,0.98226,0.0012,0.97976,0.98421,21.90046,10.65887,11.83161,39.51703
lr_none_22_,0.93354,0.00098,0.93203,0.93587,0.95399,0.00512,0.94522,0.95961,0.93354,0.00098,0.93203,0.93587,0.92711,0.00081,0.92586,0.9291,0.9855,0.00051,0.98451,0.98649,0.98192,0.00076,0.98053,0.98337,19.94884,10.21089,11.66835,42.03254
lr_std_22_,0.93243,0.00215,0.92763,0.93604,0.95794,0.00675,0.94782,0.9655,0.93243,0.00215,0.92763,0.93604,0.92631,0.0018,0.92182,0.92936,0.98485,0.00123,0.98283,0.98664,0.98085,0.00186,0.97778,0.98348,20.03565,9.57061,12.00277,33.87107
lr_mm_0-1000_15_,0.92454,0.00101,0.92251,0.92692,0.96308,0.0022,0.95913,0.9675,0.92454,0.00101,0.92251,0.92692,0.91877,0.001,0.91678,0.9211,0.97321,0.00041,0.97235,0.97404,0.96185,0.00065,0.96055,0.96321,15.49142,7.50037,9.40871,26.56737
lr_none_15_,0.9237,0.00123,0.92194,0.926,0.96243,0.0018,0.95851,0.96557,0.9237,0.00123,0.92194,0.926,0.91794,0.00113,0.91617,0.92021,0.97254,0.0006,0.97149,0.97354,0.96075,0.00078,0.95901,0.96218,14.99622,6.98911,9.12451,25.54728
lr_mm_0-100_15_,0.9239,0.00143,0.9201,0.92692,0.96346,0.002,0.95913,0.9675,0.9239,0.00143,0.9201,0.92692,0.91818,0.00135,0.9147,0.9211,0.97241,0.00118,0.9695,0.97404,0.96017,0.00229,0.95501,0.96321,15.08318,7.14583,8.93222,26.56737
lr_mm_0-10_15_,0.92324,0.00201,0.91834,0.92692,0.96366,0.00209,0.95913,0.96792,0.92324,0.00201,0.91834,0.92692,0.91754,0.00192,0.91269,0.9211,0.9716,0.00198,0.96685,0.97404,0.95844,0.00395,0.94898,0.96321,14.77101,6.89399,8.91626,26.56737
lr_mm_0-1_15_,0.92287,0.00229,0.91752,0.92692,0.96383,0.00212,0.95913,0.96857,0.92287,0.00229,0.91752,0.92692,0.9172,0.0022,0.91189,0.9211,0.97117,0.00219,0.96671,0.97404,0.95752,0.00436,0.94898,0.96321,14.7064,6.88479,8.78509,28.96967
lr_std_15_,0.92206,0.00269,0.91811,0.9277,0.96457,0.00221,0.96108,0.97019,0.92206,0.00269,0.91811,0.9277,0.91646,0.00263,0.91256,0.92208,0.96994,0.00233,0.9669,0.97366,0.95478,0.00453,0.94903,0.96192,14.37287,6.85536,8.88114,26.29073
lr_mm_0-1000_10_,0.9192,0.00094,0.9174,0.92105,0.96612,0.0019,0.96296,0.96942,0.9192,0.00094,0.9174,0.92105,0.91377,0.00096,0.91167,0.91549,0.96504,0.00065,0.96364,0.96615,0.94563,0.00117,0.94242,0.94757,13.0787,5.78644,8.26412,21.842
lr_none_10_,0.91825,0.00113,0.91583,0.92105,0.96496,0.0016,0.96168,0.96718,0.91825,0.00113,0.91583,0.92105,0.91275,0.00112,0.91026,0.91554,0.96444,0.00066,0.96312,0.96605,0.94462,0.00108,0.94247,0.94685,12.99301,5.84072,8.19411,21.71443
lr_mm_0-100_10_,0.91858,0.00122,0.91568,0.92105,0.96551,0.00174,0.96202,0.96942,0.91858,0.00122,0.91568,0.92105,0.91311,0.00126,0.91014,0.91549,0.96432,0.00102,0.96221,0.96615,0.94391,0.00213,0.93921,0.94757,12.95666,5.67628,8.01448,21.842
lr_mm_0-10_10_,0.91817,0.00165,0.91377,0.92105,0.96486,0.00204,0.95926,0.96942,0.91817,0.00165,0.91377,0.92105,0.91267,0.00172,0.90813,0.91549,0.96383,0.00137,0.96074,0.96615,0.94261,0.00295,0.93621,0.94757,12.88235,5.76171,7.95472,24.67206
lr_mm_0-1_10_,0.91796,0.00172,0.91377,0.92158,0.96462,0.00203,0.95926,0.96942,0.91796,0.00172,0.91377,0.92158,0.91244,0.00179,0.90813,0.91604,0.96355,0.00144,0.96029,0.96615,0.94188,0.00309,0.93558,0.94757,12.81476,5.72312,7.88569,24.67206
lr_std_10_,0.91729,0.00186,0.91421,0.92085,0.96371,0.00184,0.95961,0.96743,0.91729,0.00186,0.91421,0.92085,0.91172,0.00188,0.90852,0.91534,0.96285,0.00131,0.96025,0.96485,0.94007,0.00241,0.93496,0.94396,12.54025,5.54349,7.97461,21.06522
