Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
fc_mm_0-100_22_opt-01,0.93764,0.00088,0.93589,0.93939,0.95472,0.00166,0.95198,0.9584,0.93764,0.00088,0.93589,0.93939,0.9113,0.00116,0.9089,0.91377,0.97855,0.00055,0.97757,0.97939,0.95268,0.00151,0.95004,0.95488,6.67306,0.30961,6.31202,7.47422
fc_mm_0-1000_22_opt-01,0.93754,0.00094,0.93589,0.93939,0.95403,0.00179,0.95198,0.95715,0.93754,0.00094,0.93589,0.93939,0.9111,0.0012,0.9089,0.91336,0.97884,0.00047,0.97784,0.97939,0.95377,0.00101,0.95215,0.95488,6.63992,0.33544,6.31202,7.47422
fc_none_22_opt-01,0.93736,0.00065,0.93651,0.93847,0.9561,0.00124,0.95416,0.95794,0.93736,0.00065,0.93651,0.93847,0.91116,0.00093,0.91002,0.91254,0.97784,0.00027,0.97732,0.97815,0.95029,0.00081,0.94914,0.9514,6.12796,0.69462,4.89179,7.3447
fc_mm_0-10_22_opt-01,0.93731,0.00097,0.93568,0.93939,0.95453,0.00186,0.94993,0.9584,0.93731,0.00097,0.93568,0.93939,0.91086,0.00128,0.90855,0.91377,0.97833,0.0006,0.97731,0.97939,0.95206,0.00158,0.9497,0.95488,6.74094,0.31123,6.31202,7.49651
fc_mm_0-1_22_opt-01,0.93723,0.00091,0.93554,0.93939,0.95452,0.00176,0.94993,0.9584,0.93723,0.00091,0.93554,0.93939,0.91078,0.0012,0.90855,0.91377,0.97823,0.00058,0.97731,0.97939,0.95178,0.00153,0.94958,0.95488,6.76577,0.28052,6.31202,7.49651
fc_mm_0-100_22_default,0.93722,0.00116,0.93468,0.93924,0.95417,0.00145,0.95165,0.95676,0.93722,0.00116,0.93468,0.93924,0.91076,0.0016,0.90743,0.91368,0.97818,0.00071,0.97671,0.97911,0.95197,0.00166,0.94823,0.95452,7.69996,0.32437,7.28328,8.45383
fc_mm_0-10_22_default,0.93714,0.00108,0.93468,0.93924,0.95447,0.00167,0.95138,0.95724,0.93714,0.00108,0.93468,0.93924,0.91068,0.00148,0.90743,0.91368,0.97809,0.00071,0.97671,0.97911,0.9516,0.00168,0.94823,0.95452,7.7813,0.31739,7.28328,8.50047
fc_mm_0-1_22_default,0.93709,0.00097,0.93468,0.93924,0.95419,0.00171,0.95047,0.95724,0.93709,0.00097,0.93468,0.93924,0.91058,0.00133,0.90743,0.91368,0.97803,0.00065,0.97671,0.97911,0.95135,0.00157,0.94823,0.95452,7.86454,0.34893,7.28328,8.86462
fc_none_22_default,0.93696,0.00084,0.93583,0.93838,0.95404,0.00201,0.95002,0.95661,0.93696,0.00084,0.93583,0.93838,0.91037,0.00118,0.90889,0.91228,0.97766,0.00041,0.97704,0.97829,0.95006,0.00104,0.94873,0.95221,7.35696,0.47233,6.98276,8.23502
fc_mm_0-1000_22_default,0.93686,0.00125,0.93468,0.93851,0.95365,0.00145,0.95165,0.95609,0.93686,0.00125,0.93468,0.93851,0.91022,0.00166,0.90743,0.91272,0.97808,0.00073,0.97671,0.97906,0.9522,0.00159,0.9492,0.95452,7.6795,0.3423,7.29255,8.45383
