Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
lr_mm_0-1000_22_default,0.93508,0.00073,0.93375,0.93631,0.95191,0.00161,0.94977,0.95405,0.93508,0.00073,0.93375,0.93631,0.92854,0.00076,0.92718,0.92992,0.98688,0.0002,0.98655,0.98716,0.98388,0.00023,0.98354,0.98415,14.25441,0.38528,13.92444,15.01789
lr_mm_0-1000_22_opt-01,0.93513,0.00058,0.93408,0.93589,0.95256,0.00127,0.95128,0.95544,0.93513,0.00058,0.93408,0.93589,0.92866,0.00058,0.92774,0.92955,0.98683,0.00024,0.98639,0.98721,0.98382,0.00028,0.98337,0.98421,12.12372,0.34024,11.83161,12.76164
lr_std_22_opt-02,0.93477,0.00072,0.93388,0.93604,0.94874,0.00094,0.94782,0.95045,0.93477,0.00072,0.93388,0.93604,0.92803,0.00074,0.92712,0.92936,0.98626,0.00025,0.9859,0.98664,0.98302,0.00028,0.98268,0.98348,33.2768,0.40257,32.49951,33.87107
lr_mm_0-100_22_default,0.93444,0.00097,0.93236,0.93631,0.95496,0.0034,0.94977,0.95978,0.93444,0.00097,0.93236,0.93631,0.9281,0.00087,0.92598,0.92992,0.98624,0.00069,0.9852,0.98716,0.98293,0.00102,0.98139,0.98415,14.66682,0.52849,13.92444,15.49939
lr_mm_0-10_22_opt-02,0.93469,0.00086,0.93273,0.93651,0.94708,0.00229,0.94274,0.95112,0.93469,0.00086,0.93273,0.93651,0.92781,0.00095,0.92567,0.92989,0.98622,0.00026,0.98578,0.9867,0.98303,0.00029,0.98242,0.98351,36.07276,2.2315,32.98811,39.51703
lr_mm_0-1_22_opt-02,0.93461,0.00082,0.93273,0.93651,0.94723,0.00205,0.94274,0.95112,0.93461,0.00082,0.93273,0.93651,0.92775,0.0009,0.92567,0.92989,0.98622,0.00024,0.98578,0.9867,0.98301,0.00028,0.98242,0.98351,36.69565,2.22268,32.98811,39.51703
lr_mm_0-100_22_opt-02,0.9345,0.00082,0.93273,0.93598,0.94634,0.0023,0.94274,0.95022,0.9345,0.00082,0.93273,0.93598,0.92757,0.0009,0.92567,0.92933,0.98615,0.00023,0.98578,0.98657,0.98298,0.00028,0.98242,0.98349,34.72895,1.35397,32.98811,38.96265
lr_mm_0-1000_22_opt-02,0.93414,0.00074,0.93273,0.93511,0.94433,0.00087,0.94274,0.94549,0.93414,0.00074,0.93273,0.93511,0.92707,0.00078,0.92567,0.92806,0.98614,0.00021,0.98583,0.98657,0.98311,0.00021,0.98281,0.98349,33.82696,0.59418,32.98811,34.77151
lr_none_22_opt-02,0.93453,0.00081,0.93342,0.93587,0.94709,0.00097,0.94522,0.94869,0.93453,0.00081,0.93342,0.93587,0.92766,0.0009,0.9265,0.9291,0.98601,0.00028,0.98553,0.98649,0.98276,0.00036,0.98217,0.98337,33.90914,2.97172,31.97518,42.03254
lr_mm_0-10_22_default,0.93417,0.00091,0.93236,0.93631,0.95596,0.00319,0.94977,0.96112,0.93417,0.00091,0.93236,0.93631,0.9279,0.00081,0.92598,0.92992,0.98593,0.00072,0.98504,0.98716,0.98248,0.00106,0.98111,0.98415,15.31038,1.0297,13.92444,17.13898
lr_mm_0-1_22_default,0.93407,0.00086,0.93236,0.93631,0.95635,0.00294,0.94977,0.96112,0.93407,0.00086,0.93236,0.93631,0.92783,0.00078,0.92598,0.92992,0.98586,0.00065,0.98504,0.98716,0.98236,0.00095,0.98111,0.98415,15.67879,1.11679,13.92444,17.79897
lr_mm_0-100_22_opt-01,0.93385,0.00144,0.93155,0.93589,0.95618,0.00394,0.95128,0.96171,0.93385,0.00144,0.93155,0.93589,0.92761,0.00125,0.92553,0.92955,0.98582,0.00105,0.98451,0.98721,0.98236,0.00152,0.98042,0.98421,12.48725,0.48386,11.83161,13.40583
