Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
fc_none_default_,0.93559,0.0013,0.93319,0.93838,0.95451,0.00197,0.95002,0.95891,0.93559,0.0013,0.93319,0.93838,0.90868,0.00168,0.9056,0.91228,0.97503,0.00204,0.97207,0.97829,0.94085,0.00723,0.92965,0.95221,6.41098,0.80332,5.36429,8.23502
fc_none_opt-01_,0.93565,0.00137,0.9337,0.93847,0.95479,0.00194,0.95006,0.95794,0.93565,0.00137,0.9337,0.93847,0.9088,0.0019,0.90611,0.91254,0.97519,0.00201,0.97255,0.97815,0.94101,0.00718,0.93093,0.9514,5.55578,0.61479,4.78493,7.3447
fc_none_opt-02_,0.93274,0.00111,0.92946,0.93478,0.94514,0.00388,0.93915,0.95184,0.93274,0.00111,0.92946,0.93478,0.90419,0.0015,0.89981,0.90674,0.97275,0.002,0.9699,0.97613,0.9341,0.00775,0.92502,0.94627,14.52082,2.13321,11.87445,20.82384
fc_std_default_,0.93445,0.00137,0.93184,0.93688,0.95242,0.0016,0.94794,0.95543,0.93445,0.00137,0.93184,0.93688,0.90706,0.00183,0.90392,0.91041,0.97426,0.002,0.97099,0.97736,0.93757,0.00704,0.92642,0.94896,6.50585,0.99186,5.37804,8.40704
fc_std_opt-01_,0.93428,0.00142,0.93205,0.93681,0.95187,0.00188,0.94874,0.95631,0.93428,0.00142,0.93205,0.93681,0.90676,0.00191,0.90354,0.90992,0.97422,0.00185,0.97172,0.97742,0.9373,0.00633,0.92969,0.94754,5.65984,0.77193,4.74405,7.26612
fc_std_opt-02_,0.93281,0.00102,0.93134,0.93547,0.94424,0.00371,0.9381,0.95009,0.93281,0.00102,0.93134,0.93547,0.90414,0.00129,0.90192,0.90741,0.97271,0.00187,0.97041,0.97638,0.93263,0.00786,0.92305,0.94612,14.26162,2.07381,11.67202,17.75931
fc_mm_0-1_default_,0.93529,0.00168,0.9316,0.93924,0.9534,0.00215,0.94859,0.95841,0.93529,0.00168,0.9316,0.93924,0.9082,0.00229,0.90319,0.91368,0.97493,0.00237,0.97135,0.97911,0.93996,0.00864,0.92669,0.95452,6.52805,1.01987,5.32906,8.86462
fc_mm_0-1_opt-01_,0.93537,0.00177,0.92986,0.93939,0.95357,0.00222,0.94559,0.9584,0.93537,0.00177,0.92986,0.93939,0.90832,0.00237,0.90047,0.91377,0.97503,0.00244,0.97113,0.97939,0.94031,0.00869,0.92838,0.95488,5.75952,0.79345,4.7478,7.49651
fc_mm_0-1_opt-02_,0.93278,0.00103,0.92984,0.93519,0.94438,0.00407,0.93633,0.95259,0.93278,0.00103,0.92984,0.93519,0.90415,0.0014,0.90035,0.90757,0.97259,0.00194,0.96937,0.97623,0.9333,0.00833,0.92029,0.94765,14.55125,2.42325,11.49819,20.21944
fc_mm_0-10_default_,0.93547,0.00163,0.93216,0.93924,0.95381,0.00209,0.94859,0.95841,0.93547,0.00163,0.93216,0.93924,0.90845,0.00223,0.90425,0.91368,0.97505,0.00235,0.97135,0.97911,0.94043,0.00855,0.92669,0.95452,6.50875,0.98401,5.3603,8.50047
