Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
lr_mm_0-1000_default_,0.92603,0.00686,0.91752,0.93631,0.96089,0.0067,0.94977,0.96904,0.92603,0.00686,0.91752,0.93631,0.92016,0.00637,0.91234,0.92992,0.97511,0.00908,0.96403,0.98716,0.964,0.01572,0.94466,0.98415,11.63173,1.99708,9.2804,15.01789
lr_mm_0-1000_opt-01_,0.92619,0.00688,0.9174,0.93589,0.96139,0.00666,0.95128,0.96942,0.92619,0.00688,0.9174,0.93589,0.92038,0.0064,0.91167,0.92955,0.97505,0.00918,0.96406,0.98721,0.96391,0.0159,0.94402,0.98421,10.08002,1.56731,8.26412,12.76164
lr_mm_0-1000_opt-02_,0.92631,0.00615,0.91806,0.93511,0.95651,0.00895,0.94274,0.96641,0.92631,0.00615,0.91806,0.93511,0.9201,0.00554,0.91249,0.92806,0.97471,0.00891,0.96364,0.98657,0.96317,0.0159,0.94242,0.98349,26.92673,5.37538,20.56165,34.77151
lr_none_opt-02_,0.92626,0.00654,0.91753,0.93587,0.95739,0.0077,0.94522,0.96699,0.92626,0.00654,0.91753,0.93587,0.92013,0.00599,0.91195,0.9291,0.97463,0.00894,0.96371,0.98649,0.96295,0.0159,0.9435,0.98337,26.55221,5.75044,20.537,42.03254
lr_mm_0-100_opt-02_,0.9263,0.00637,0.91784,0.93598,0.95742,0.00818,0.94274,0.96641,0.9263,0.00637,0.91784,0.93598,0.92017,0.0058,0.91232,0.92933,0.97459,0.00895,0.96364,0.98657,0.96279,0.01603,0.94242,0.98349,26.87164,5.94671,20.22275,38.96265
lr_mm_0-10_opt-02_,0.92635,0.0064,0.91784,0.93651,0.95778,0.0079,0.94274,0.96641,0.92635,0.0064,0.91784,0.93651,0.92025,0.00585,0.91232,0.92989,0.97459,0.00896,0.96364,0.9867,0.96263,0.01613,0.94194,0.98351,27.11835,6.70514,19.98411,39.51703
lr_mm_0-1_opt-02_,0.92633,0.00637,0.91784,0.93651,0.95797,0.00788,0.94274,0.96682,0.92633,0.00637,0.91784,0.93651,0.92024,0.00582,0.91229,0.92989,0.97456,0.00898,0.96318,0.9867,0.96246,0.01625,0.94047,0.98351,27.26544,7.02711,19.9477,39.51703
lr_mm_0-100_default_,0.92539,0.00686,0.91568,0.93631,0.96189,0.00545,0.94977,0.96904,0.92539,0.00686,0.91568,0.93631,0.9196,0.00647,0.91014,0.92992,0.97433,0.00914,0.96245,0.98716,0.96241,0.01613,0.94027,0.98415,11.66371,2.26904,9.00016,15.49939
lr_none_default_,0.92466,0.00667,0.91691,0.93421,0.96164,0.00384,0.9547,0.96648,0.92466,0.00667,0.91691,0.93421,0.91887,0.00633,0.91133,0.92801,0.97403,0.00895,0.96337,0.98582,0.96232,0.01562,0.94309,0.98229,11.40828,1.93024,9.23222,14.5313
lr_std_opt-02_,0.9264,0.00661,0.91755,0.93604,0.95852,0.00711,0.94782,0.9661,0.9264,0.00661,0.91755,0.93604,0.92038,0.00612,0.91192,0.92936,0.97447,0.00924,0.96329,0.98664,0.96212,0.01682,0.94084,0.98348,25.77559,5.6416,19.70116,33.87107
lr_none_opt-01_,0.92457,0.00623,0.91583,0.93305,0.96236,0.00336,0.9568,0.96718,0.92457,0.00623,0.91583,0.93305,0.91879,0.00596,0.91026,0.92691,0.97382,0.00862,0.96312,0.98537,0.96203,0.01515,0.94247,0.98162,9.97759,1.5614,8.19411,12.56729
lr_mm_0-100_opt-01_,0.92505,0.00676,0.9161,0.93589,0.96215,0.00506,0.95128,0.96942,0.92505,0.00676,0.9161,0.93589,0.91928,0.00642,0.91054,0.92955,0.97389,0.00921,0.96221,0.98721,0.96165,0.01635,0.93921,0.98421,10.13215,1.77734,8.01448,13.40583
lr_mm_0-10_default_,0.925,0.00692,0.91486,0.93631,0.9622,0.00498,0.94977,0.96904,0.925,0.00692,0.91486,0.93631,0.91923,0.00657,0.90912,0.92992,0.9737,0.00932,0.962,0.98716,0.96103,0.01673,0.93848,0.98415,11.76555,2.67126,8.93766,17.13898
lr_mm_0-1_default_,0.92474,0.007,0.91486,0.93631,0.96236,0.00479,0.94977,0.96904,0.92474,0.007,0.91486,0.93631,0.91899,0.00666,0.90912,0.92992,0.97339,0.00944,0.96186,0.98716,0.96035,0.01703,0.93784,0.98415,11.85155,2.86287,8.93766,17.79897
lr_mm_0-10_opt-01_,0.92408,0.00704,0.91377,0.93589,0.962,0.00431,0.95128,0.96942,0.92408,0.00704,0.91377,0.93589,0.91832,0.00676,0.90813,0.92955,0.97297,0.0095,0.96074,0.98721,0.9598,0.01714,0.93621,0.98421,10.24014,2.11423,7.95472,14.58641
lr_mm_0-1_opt-01_,0.92364,0.00711,0.91377,0.93589,0.96193,0.00387,0.95128,0.96942,0.92364,0.00711,0.91377,0.93589,0.91787,0.00686,0.90813,0.92955,0.97252,0.00961,0.96029,0.98721,0.95885,0.01747,0.93558,0.98421,10.30464,2.27496,7.88569,14.73153
lr_std_default_,0.92383,0.00651,0.91522,0.9334,0.96435,0.00264,0.96057,0.97019,0.92383,0.00651,0.91522,0.9334,0.91821,0.00631,0.90973,0.92763,0.97232,0.00942,0.96145,0.98546,0.95808,0.0173,0.93789,0.9816,11.32963,2.33847,8.951,15.06133
lr_std_opt-01_,0.92155,0.00641,0.91421,0.93246,0.96335,0.00172,0.95961,0.96763,0.92155,0.00641,0.91421,0.93246,0.91591,0.00637,0.90852,0.9269,0.97085,0.00942,0.96025,0.98421,0.95551,0.01753,0.93496,0.98003,9.84355,1.83449,7.97461,12.59395
