Dataset,Precision,Recall,Accuracy,F1,ROC_AUC,P_R_AUC,Runtime(seconds)
fc_none,0.9372199409826851,0.9572895849793187,0.9372199409826851,0.9110732689032887,0.9774567709855447,0.9493532703836826,4.891793251037598
fc_none,0.9372931109861969,0.9564447757022406,0.9372931109861969,0.9109139307897071,0.9781457866860874,0.9511813953558106,5.078351736068726
fc_none,0.9375409989691688,0.9564369310793238,0.9375409989691688,0.9115010954478058,0.9778402521422066,0.9497081899318369,6.107954025268555
fc_none,0.9381256539596771,0.9564472831620846,0.9381256539596771,0.9125231829020578,0.9779514690572366,0.95120441146218,6.2329089641571045
fc_none,0.936651159886353,0.9541612483745123,0.936651159886353,0.9101178346770621,0.9777234022710491,0.94975637827052,6.250909805297852
fc_none,0.9365138875870903,0.9571495109455054,0.9365138875870903,0.9100168275617748,0.9778969230222847,0.9500992455784496,6.40697455406189
fc_none,0.9372307211988761,0.9552819183408944,0.9372307211988761,0.9112224847106617,0.9779614870189454,0.9505436694801443,7.344703197479248
fc_none,0.9384668217223671,0.9579373951928452,0.9384668217223671,0.9125399361022364,0.9780578165099799,0.9514017405375044,6.418051719665527
fc_none,0.9378532837825178,0.9552370759852962,0.9378532837825178,0.9116301789599893,0.9780147998267763,0.9505028767393728,6.250944137573242
fc_none,0.9366831659978452,0.9545644988594572,0.9366831659978452,0.9100188616442916,0.9773171322862548,0.949141142962333,6.296958684921265
fc_std,0.9356556225213128,0.9526844700846748,0.9356556225213128,0.9085745978924016,0.9770952581624365,0.9468379970593019,6.6416175365448
fc_std,0.9368149882903981,0.9533603843104332,0.9368149882903981,0.9099245476195775,0.9767020528673841,0.9451218330316027,7.266116142272949
fc_std,0.9343256075466984,0.9512932638630442,0.9343256075466984,0.9067689510675565,0.9760165995420649,0.944981182743089,6.578798532485962
fc_std,0.9363625011706678,0.9536041695751315,0.9363625011706678,0.9095226470784049,0.977422748183011,0.9475447815350702,6.563220024108887
fc_std,0.9350083542841081,0.9536285648040806,0.9350083542841081,0.9081073920339132,0.9757570133520451,0.944876690291781,6.49849796295166
fc_std,0.9358007339736082,0.9563111318118305,0.9358007339736082,0.9089983397897067,0.9766652973990682,0.9452742917078003,6.576616048812866
fc_std,0.9361555992632138,0.9540144286711659,0.9361555992632138,0.9092804542631532,0.9769603805437439,0.9464847548373155,6.610040903091431
fc_std,0.9366712998391404,0.9532177408047857,0.9366712998391404,0.9095814658728566,0.9766693046283106,0.9450322672134626,6.8040571212768555
fc_std,0.9351645091272506,0.952886621840946,0.9351645091272506,0.908243093922652,0.9763984275548296,0.9450746947615825,6.713344097137451
fc_std,0.9362306623581386,0.9528761780955476,0.9362306623581386,0.9094897303525137,0.9765330059145376,0.9459171890763104,6.597965717315674
fc_mm_0-1,0.9363483040789556,0.9543570397280052,0.9363483040789556,0.9095388166363354,0.9775005734544033,0.949846167925326,6.8877174854278564
fc_mm_0-1,0.9373955942734923,0.9542629186380925,0.9373955942734923,0.9111928068388183,0.9778539615467058,0.9510520025709367,6.886279344558716
fc_mm_0-1,0.9375214716262219,0.9549432135542729,0.9375214716262219,0.9111540425909889,0.9782827406161987,0.951179675667035,6.763856410980225
fc_mm_0-1,0.9375781054736316,0.9541438005766906,0.9375781054736316,0.9112552189748601,0.9782957564385593,0.9516537759581707,7.136060476303101
fc_mm_0-1,0.9355392807507925,0.9512172501738929,0.9355392807507925,0.9085795278380654,0.9773056701531054,0.949582833794345,6.954493522644043
fc_mm_0-1,0.9378629863236121,0.9537510458306219,0.9378629863236121,0.9115909191878804,0.9785158047751019,0.9524646893011837,6.643742322921753
fc_mm_0-1,0.9367201286836475,0.9555678978061649,0.9367201286836475,0.9106386732533521,0.977842189107234,0.9503270016684,6.771001577377319
fc_mm_0-1,0.936962124170246,0.954528547517203,0.936962124170246,0.9105020400922478,0.9785411815210245,0.952535348705161,6.670938968658447
fc_mm_0-1,0.9372727130839226,0.9552585166620254,0.9372727130839226,0.9110506163822677,0.9773693973213349,0.949782743028902,6.883518218994141
fc_mm_0-1,0.9366804046459348,0.9570494864612512,0.9366804046459348,0.9099786931818181,0.9778358913694007,0.9508513987092635,6.804900646209717
fc_mm_0-10,0.9375019516003122,0.9576045893381838,0.9375019516003122,0.9111766924800853,0.977992859973864,0.9506148423374661,6.65979528427124
fc_mm_0-10,0.9373428495572457,0.9549469551806328,0.9373428495572457,0.9106020767413878,0.977305886769247,0.9497007041167381,7.244742155075073
fc_mm_0-10,0.9364050838459858,0.9554294221643249,0.9364050838459858,0.9097795990696644,0.9777057007107691,0.9502640973420868,7.49650502204895
fc_mm_0-10,0.9361911301145407,0.9499305233904586,0.9361911301145407,0.9093488815483184,0.977442925038294,0.950130110215165,6.945556163787842
fc_mm_0-10,0.9374112063447457,0.9538124533929903,0.9374112063447457,0.910790182247046,0.9781573661977818,0.9509236964569245,6.744266748428345
fc_mm_0-10,0.9361891524682585,0.955012496528742,0.9361891524682585,0.9099087180844028,0.9777125999485083,0.9508830740730192,6.721824645996094
fc_mm_0-10,0.9356767134406169,0.9528520995912301,0.9356767134406169,0.9087204022415666,0.978098378501538,0.9514672481703801,6.805989027023315
fc_mm_0-10,0.9357201993220551,0.9539811444039952,0.9357201993220551,0.9085453939326592,0.9777966920398506,0.9507866280481452,6.70797324180603
fc_mm_0-10,0.938069529397079,0.956430470681532,0.938069529397079,0.911750972762646,0.9787588494091607,0.952479361719905,6.809270620346069
fc_mm_0-10,0.936133010693935,0.9515641705015572,0.936133010693935,0.909155508182888,0.9777795043106611,0.9508451819052239,6.631106376647949
fc_mm_0-100,0.9374502178700277,0.9543489377527776,0.9374502178700277,0.9111244258038745,0.9781785266972246,0.9515401435383182,6.665219783782959
fc_mm_0-100,0.938049504177403,0.954439578868909,0.938049504177403,0.911732639120664,0.9785748936834953,0.9518972101585408,6.889344930648804
fc_mm_0-100,0.9368628124463318,0.9561399433164521,0.9368628124463318,0.9105349320826511,0.9780502864111946,0.9509540920936295,7.42612624168396
fc_mm_0-100,0.9389558483731968,0.9542158594403645,0.9389558483731968,0.9130492794876357,0.9782042267875539,0.9514461514627846,6.451947927474976
fc_mm_0-100,0.9393584823239415,0.9554627696590118,0.9393584823239415,0.913769771723939,0.9793917154176751,0.9540643671603266,6.605612277984619
fc_mm_0-100,0.9369214679300064,0.95840320476989,0.9369214679300064,0.9105795401739284,0.9781467665094691,0.9512419410069576,6.505121946334839
fc_mm_0-100,0.9368279779646999,0.9552517381363446,0.9368279779646999,0.9100284495021338,0.9782391809607291,0.9517013627044643,6.544650554656982
fc_mm_0-100,0.9377966525106171,0.9547439829012173,0.9377966525106171,0.9116237799467611,0.9784286674797127,0.9523204847957616,6.563377857208252
fc_mm_0-100,0.9377273933886104,0.9558898877451208,0.9377273933886104,0.911440753242139,0.9778787995208656,0.9500442101219685,6.894236326217651
fc_mm_0-100,0.9373692264451454,0.9551905448792518,0.9373692264451454,0.9109991790001553,0.9775727636144217,0.9507117638055705,6.516333818435669
fc_mm_0-1000,0.938014399275351,0.9522830303313549,0.938014399275351,0.91124974844033,0.9785941660477925,0.953241703397545,6.857543230056763
fc_mm_0-1000,0.9377088081930871,0.9559929440163402,0.9377088081930871,0.9116826774093585,0.9792337460170498,0.9548591923898923,6.6152002811431885
fc_mm_0-1000,0.9371623942298686,0.9571534676446013,0.9371623942298686,0.9110752711928066,0.9786454556462982,0.9532243261470966,6.591847896575928
fc_mm_0-1000,0.935890633290677,0.9524097225449645,0.935890633290677,0.9089014059520112,0.9778437666262068,0.9521526339134039,7.474220275878906
fc_mm_0-1000,0.9366900858704137,0.9530805466162959,0.9366900858704137,0.9097384529771841,0.978918788079859,0.954256293799057,6.548759698867798
fc_mm_0-1000,0.9377947836951429,0.9533398592271477,0.9377947836951429,0.9112660681266291,0.978922881365072,0.9535197388369819,6.601914167404175
